,0,1
0,"[(268, 271, '财色二者'), (280, 280, '他')]","[(788, 788, '我'), (792, 792, '我')]"
1,"[(268, 271, '财色二者'), (280, 280, '他')]","[(618, 624, '那一种好色的人'), (804, 806, '这样人')]"
2,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1033, 1035, '金刚经'), (1043, 1043, '他')]"
3,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1091, 1091, '你'), (1113, 1113, '你'), (1135, 1135, '你'), (1162, 1162, '你')]"
4,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1135, 1142, '你闭月羞花的容貌'), (1158, 1158, '之')]"
5,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1444, 1449, '一个风流子弟'), (1477, 1478, '这人'), (1491, 1491, '他'), (1592, 1595, '这个儿子'), (1604, 1604, '其'), (1610, 1611, '这人')]"
6,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1694, 1700, '第一个最相契的'), (1755, 1755, '他'), (2164, 2164, '他')]"
7,"[(268, 271, '财色二者'), (280, 280, '他')]","[(1847, 1849, '西门庆'), (1941, 1943, '西门庆'), (2143, 2145, '西门庆')]"
8,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2002, 2005, '这白赉光'), (2013, 2013, '他'), (2023, 2023, '他'), (2025, 2026, '自己'), (2034, 2034, '我'), (2059, 2059, '我'), (2117, 2117, '我')]"
9,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2277, 2280, '这西门庆'), (2315, 2315, '他'), (2321, 2321, '他'), (2353, 2353, '他'), (2356, 2356, '他'), (2365, 2365, '他'), (2373, 2378, '这西门大官人'), (2502, 2504, '西门庆'), (2511, 2511, '他'), (2548, 2550, '西门庆'), (2682, 2684, '西门庆'), (2860, 2862, '西门庆'), (3056, 3058, '西门庆')]"
10,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2329, 2329, '县'), (2456, 2457, '本县'), (2571, 2572, '家里'), (2754, 2755, '咱家')]"
11,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2456, 2466, '本县清河左卫吴千户之女'), (2473, 2475, '这吴氏'), (2517, 2519, '这月娘')]"
12,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2502, 2505, '西门庆家'), (2605, 2605, '家')]"
13,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2588, 2590, '卓二姐'), (2614, 2616, '卓二姐'), (2629, 2629, '他'), (2839, 2841, '卓二姐')]"
14,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2718, 2721, '我兄弟们'), (2757, 2759, '兄弟们')]"
15,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2693, 2695, '吴月娘'), (2767, 2767, '你'), (2776, 2778, '吴月娘'), (2866, 2866, '你'), (2890, 2890, '他'), (2893, 2893, '你'), (3001, 3003, '吴月娘')]"
16,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2769, 2769, '我'), (2819, 2819, '我'), (2847, 2847, '我'), (2882, 2882, '我')]"
17,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2783, 2783, '你'), (2821, 2821, '你'), (2849, 2849, '你'), (3026, 3026, '你'), (3033, 3033, '你')]"
18,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2790, 2792, '这干人'), (2825, 2827, '这起人')]"
19,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2896, 2900, '这些兄弟们')]"
20,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2903, 2904, '好人'), (2908, 2908, '他')]"
21,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2950, 2950, '咱'), (2975, 2975, '咱'), (3078, 3078, '咱')]"
22,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2987, 2988, '兄弟'), (3012, 3013, '兄弟')]"
23,"[(268, 271, '财色二者'), (280, 280, '他')]","[(2456, 2464, '本县清河左卫吴千户'), (3082, 3083, '二哥'), (3087, 3087, '他')]"
24,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3101, 3105, '一个小厮儿'), (3169, 3169, '他'), (3171, 3171, '他')]"
25,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3121, 3123, '西门庆'), (3154, 3154, '爹'), (3160, 3162, '西门庆'), (3166, 3166, '我'), (3251, 3253, '西门庆'), (3271, 3271, '哥'), (3281, 3283, '西门庆'), (3309, 3309, '我'), (3346, 3357, '哥哥要说哩。」因对西门庆'), (3361, 3361, '哥'), (3363, 3363, '你'), (3400, 3403, '西门庆因'), (3408, 3408, '你'), (3439, 3439, '哥'), (3503, 3503, '我'), (3528, 3528, '哥'), (3535, 3537, '西门庆'), (3565, 3565, '哥'), (3579, 3581, '西门庆'), (3620, 3620, '咱'), (3643, 3643, '我'), (3647, 3647, '我'), (3650, 3650, '哥'), (3653, 3653, '哥'), (3686, 3686, '哥'), (3698, 3700, '西门庆'), (3706, 3706, '我'), (3724, 3724, '我'), (3730, 3730, '我'), (3739, 3739, '我')]"
26,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3148, 3150, '谢大叔'), (3243, 3248, '姓谢的谢希大'), (3285, 3285, '他'), (3336, 3337, '希大'), (3556, 3558, '谢希大')]"
27,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3300, 3301, '你们'), (3322, 3323, '你们')]"
28,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3190, 3192, '应伯爵'), (3333, 3334, '伯爵'), (3344, 3344, '我'), (3418, 3419, '伯爵'), (3603, 3604, '伯爵')]"
29,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3369, 3369, '咱'), (3383, 3384, '咱们'), (3547, 3547, '咱')]"
30,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3431, 3435, '了个孩子儿'), (3466, 3466, '他'), (3519, 3519, '他')]"
31,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3498, 3499, '他妈'), (3589, 3589, '他'), (3622, 3622, '他')]"
32,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3589, 3590, '他家'), (3622, 3623, '他家')]"
33,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3612, 3616, '卜志道兄弟'), (3633, 3633, '他'), (3665, 3665, '他'), (3709, 3709, '他'), (3728, 3728, '他'), (3751, 3751, '他')]"
34,"[(268, 271, '财色二者'), (280, 280, '他')]","[(3759, 3761, '谢希大'), (3782, 3782, '他'), (4330, 4330, '我'), (4789, 4791, '应伯爵'), (4840, 4841, '伯爵'), (4846, 4847, '希大')]"
