Cluster Idx,canonical,string,start_idx,end_idx
0,我的爸爸妈妈,我的爸爸妈妈,923,928
1,爸爸,我的父亲宋学连牧师,34,42
1,爸爸,耕书,45,46
1,爸爸,他,145,145
1,爸爸,爸爸,201,202
1,爸爸,他,233,233
1,爸爸,他,313,313
1,爸爸,他,351,351
1,爸爸,你,354,354
1,爸爸,他,417,417
1,爸爸,我的仆人,431,434
1,爸爸,你,444,444
1,爸爸,他,463,463
1,爸爸,爸爸,612,613
1,爸爸,爸爸,725,726
1,爸爸,丈夫,899,900
1,爸爸,爸爸,1074,1075
1,爸爸,兴化福音书院的副校长,1078,1087
1,爸爸,爸爸,2252,2253
1,爸爸,爸爸,2276,2277
1,爸爸,爸爸,2325,2326
1,爸爸,命在旦夕的爸爸,2366,2372
2,主,神,152,152
2,主,主,263,263
2,主,耶和华,360,362
2,主,我,442,442
2,主,我,450,450
2,主,父神,494,495
2,主,他,497,497
2,主,我,707,707
2,主,父神,753,754
2,主,主,850,850
2,主,主,894,894
2,主,主,906,906
2,主,橄榄山下客西马尼园的耶稣,1310,1321
2,主,基督,1369,1370
2,主,圣灵,1892,1893
2,主,圣灵,1923,1924
2,主,圣灵,1943,1944
2,主,救主,2007,2008
2,主,五旬节的圣灵,2162,2167
2,主,神,2290,2290
2,主,你,2294,2294
2,主,父神,2355,2356
3,妈妈,佛门子弟家庭的姑娘陈若兰,218,229
3,妈妈,妈妈,245,246
3,妈妈,妈妈,252,253
3,妈妈,妈妈,465,466
3,妈妈,她,562,562
3,妈妈,妈妈,615,616
3,妈妈,她,626,626
3,妈妈,她,632,632
3,妈妈,已经奄奄一息的妈妈,663,671
3,妈妈,妇人,693,694
3,妈妈,你,710,710
3,妈妈,妈妈,716,717
3,妈妈,妈妈,738,739
3,妈妈,她,777,777
3,妈妈,女儿,798,799
3,妈妈,女儿,809,810
3,妈妈,女儿,818,819
3,妈妈,女儿,827,828
3,妈妈,他的女儿,843,846
3,妈妈,妈妈,861,862
3,妈妈,妈妈,960,961
3,妈妈,眼泪汪汪的妈妈,2238,2244
4,寻求耶和华的,寻求耶和华的,393,398
5,一位武先生,一位武先生,510,514
6,医生,医生,607,608
7,家人,家人,629,630
8,我的外祖父陈梦二,我的外祖父陈梦二,786,793
9,郑师娘,郑师娘,912,914
10,天恩,我,964,964
10,天恩,天恩,972,973
10,天恩,尚节,979,980
10,天恩,我,1048,1048
10,天恩,我,1102,1102
10,天恩,我,1132,1132
10,天恩,我,1140,1140
10,天恩,我,1171,1171
10,天恩,我,1213,1213
10,天恩,我,1219,1219
10,天恩,我,1229,1229
10,天恩,我,1243,1243
10,天恩,我,1272,1272
10,天恩,我,1325,1325
10,天恩,九岁的我,2058,2061
10,天恩,我,2154,2154
10,天恩,我,2171,2171
10,天恩,我,2246,2246
10,天恩,我,2270,2270
10,天恩,我,2307,2307
10,天恩,我,2423,2423
11,林鸿万牧师,主日学老师,1121,1125
11,林鸿万牧师,主讲人,1292,1294
11,林鸿万牧师,我主日学的老师,1296,1302
11,林鸿万牧师,林鸿万牧师,1376,1380
11,林鸿万牧师,林牧师,1417,1419
11,林鸿万牧师,林鸿万牧师,1990,1994
12,姐姐,姐姐,1210,1211
13,小妹瑞德,小妹瑞德,1220,1223
13,小妹瑞德,小妹妹,1232,1234
14,男女信徒同心禁食祷告者,男女信徒同心禁食祷告者,1396,1406
15,神学生薛某,神学生薛某,1425,1429
16,全堂,全堂,1445,1446
17,设私刑酷打人者,设私刑酷打人者,1538,1544
18,二股东,二股东,1560,1562
19,听众,听众,1615,1616
20,男女学生,男女学生,1649,1652
21,信徒,信徒,1677,1678
22,许多传道人,许多传道人,1707,1711
23,会众,会众,1725,1726
23,会众,来会者,1774,1776
23,会众,会众,2026,2027
24,吸毒者,吸毒者,1737,1739
25,兴化万明治西女教士,兴化万明治西女教士,1812,1820
25,兴化万明治西女教士,女儿万明治,1872,1876
25,兴化万明治西女教士,你,1887,1887
26,撒拉,她母亲撒拉,1844,1848
26,撒拉,撒拉,1869,1870
26,撒拉,我,1884,1884
26,撒拉,我,1900,1900
26,撒拉,我,1949,1949
26,撒拉,撒拉,1982,1983
27,蒲鲁士教士,蒲鲁士教士,1996,2000
28,蒲鲁士夫妇,蒲鲁士夫妇,2020,2024
29,悔罪的儿童,悔罪的儿童,2074,2078
30,孩子,孩子,2435,2436
31,代表,代表,1672,1673
