,0,1
0,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(89, 90, '神学'), (193, 194, '神学')]"
1,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(245, 246, '妈妈'), (252, 253, '妈妈'), (465, 466, '妈妈')]"
2,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(152, 152, '神'), (263, 263, '主'), (494, 495, '父神'), (497, 497, '他'), (675, 687, '使人起死回生的大医生主耶稣'), (683, 684, '医生'), (707, 707, '我'), (753, 754, '父神'), (850, 850, '主'), (894, 894, '主')]"
3,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(360, 362, '耶和华'), (395, 397, '耶和华')]"
4,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(354, 354, '你'), (431, 434, '我的仆人'), (444, 444, '你'), (503, 504, '仆人'), (693, 694, '妇人'), (698, 698, '你'), (710, 710, '你')]"
5,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(612, 613, '爸爸'), (725, 726, '爸爸'), (899, 900, '丈夫')]"
6,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(34, 34, '我'), (786, 786, '我'), (923, 923, '我')]"
7,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(798, 799, '女儿'), (809, 810, '女儿'), (818, 819, '女儿'), (827, 828, '女儿'), (843, 846, '他的女儿')]"
8,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(786, 793, '我的外祖父陈梦二'), (843, 843, '他')]"
9,"[(34, 42, '我的父亲宋学连牧师'), (128, 128, '他'), (145, 145, '他'), (173, 174, '父亲'), (201, 202, '爸爸'), (233, 233, '他'), (285, 286, '爸爸'), (313, 313, '他'), (351, 351, '他'), (417, 417, '他'), (431, 431, '我'), (442, 442, '我'), (450, 450, '我'), (463, 463, '他'), (545, 546, '妈妈'), (562, 562, '她'), (615, 616, '妈妈'), (626, 626, '她'), (632, 632, '她'), (663, 671, '已经奄奄一息的妈妈'), (716, 717, '妈妈'), (738, 739, '妈妈'), (762, 763, '妈妈'), (777, 777, '她'), (861, 862, '妈妈'), (960, 961, '妈妈'), (964, 964, '我'), (1048, 1048, '我'), (1102, 1102, '我'), (1132, 1132, '我'), (1140, 1140, '我')]","[(27, 28, '父母'), (923, 928, '我的爸爸妈妈')]"
