,id,start_idx,end_idx,mention
0,0,116,131,那班举人、进士、翰林出身的大元勋
1,0,150,154,那些革命军
0,1,92,95,咸丰皇帝
1,1,197,205,这中兴圣主同治皇帝
2,1,198,205,中兴圣主同治皇帝
3,1,953,954,老伯
0,2,502,509,第二名榜眼王慈源
1,2,518,522,第一名状元
0,3,559,565,状元的出色价值
1,3,567,568,这是
2,3,631,631,这
0,4,688,689,苏州
1,4,752,753,苏州
2,4,823,824,苏州
3,4,907,909,我苏州
4,4,969,970,苏州
5,4,982,983,苏州
6,4,1030,1031,苏州
7,4,1122,1123,苏州
8,4,1275,1276,苏州
0,5,688,691,苏州城内
1,5,752,755,苏州城内
2,5,907,911,我苏州城内
3,5,1122,1125,苏州城里
0,6,761,768,一个中年长龙脸的
1,6,831,832,唐卿
2,6,855,857,潘胜芝
3,6,945,947,钱唐卿
4,6,977,978,小侄
5,6,999,1000,胜芝
6,6,1012,1013,唐卿
7,6,1214,1215,唐卿
8,6,1307,1307,我
0,7,838,838,菶
1,7,838,839,菶如
2,7,839,839,如
0,8,716,718,三个人
1,8,847,848,三人
0,9,964,965,状元
1,9,982,985,苏州状元
0,10,1318,1319,菶如
1,10,1347,1347,我
2,10,1388,1388,我
3,10,1420,1420,我
4,10,1674,1674,你
5,10,2265,2266,肇廷
6,10,2445,2445,我
7,10,2460,2461,肇廷
8,10,2517,2518,肇廷
9,10,2602,2602,肇
10,10,2602,2603,肇廷
11,10,2603,2603,廷
0,11,1327,1328,吾兄
1,11,1347,1353,我那雯青同年兄
2,11,1392,1392,他
3,11,1427,1427,他
4,11,1527,1529,肇廷兄
5,11,1611,1613,玨斋兄
6,11,1619,1620,肇廷
7,11,1670,1670,你
8,11,1698,1699,肇廷
9,11,2533,2533,你
10,11,2540,2540,你
0,12,1445,1446,胜芝
1,12,1451,1451,你
2,12,1480,1480,你
3,12,1509,1510,胜芝
4,12,2022,2023,唐卿
0,13,1516,1517,唐卿
1,13,1589,1590,菶如
2,13,1680,1681,菶如
3,13,1705,1706,唐卿
4,13,1709,1710,玨斋
5,13,1738,1739,菶如
6,13,1743,1743,你
7,13,1752,1752,我
8,13,1761,1762,菶如
9,13,1918,1919,玨斋
10,13,2109,2111,那胜芝
11,13,2295,2296,菶如
12,13,2313,2314,胜芝
13,13,2432,2433,胜芝
14,13,2465,2466,菶如
15,13,2472,2472,你
16,13,2488,2489,菶如
17,13,2580,2581,唐卿
18,13,2630,2631,菶如
0,14,1633,1634,我们
1,14,1642,1643,你们
2,14,1797,1798,兄弟
3,14,1807,1808,兄弟
0,15,1945,1948,江湖名士
1,15,2114,2117,这班少年
0,16,2173,2179,前明徐相国文贞
1,16,2184,2185,文贞
2,16,2221,2221,他
3,16,2272,2273,雯青
4,16,2468,2469,聘珠
5,16,2637,2639,雯青同
6,16,2637,2640,雯青同年
7,16,2643,2643,他
0,17,2173,2182,前明徐相国文贞之墓地
1,17,2243,2245,相国坟
0,18,1532,1533,大家
1,18,2404,2405,大家
0,19,2495,2499,唐卿、玨斋
1,19,2522,2523,他们
2,19,2611,2615,唐卿、玨斋
