,id,start_idx,end_idx,mention
0,0,0,1,阿Ｑ
1,0,11,12,阿Ｑ
2,0,110,111,阿Ｑ
3,0,266,267,阿Ｑ
4,0,292,293,阿Ｑ
5,0,307,308,阿Ｑ
6,0,401,402,阿Ｑ
7,0,412,412,他
8,0,426,427,阿Ｑ
9,0,613,614,阿Ｑ
10,0,623,623,他
11,0,666,667,阿Ｑ
12,0,686,686,他
13,0,695,695,他
14,0,712,712,他
15,0,751,752,阿Ｑ
16,0,775,776,阿Ｑ
17,0,778,782,你这浑小子
18,0,784,784,你
19,0,786,786,我
20,0,788,788,你
21,0,795,796,阿Ｑ
22,0,818,818,你
23,0,828,828,你
24,0,835,835,你
25,0,841,842,阿Ｑ
26,0,862,862,他
27,0,869,869,你
28,0,878,878,你
29,0,886,887,阿Ｑ
30,0,893,893,他
31,0,943,944,阿Ｑ
32,0,949,950,自己
33,0,955,955,他
34,0,995,995,他
35,0,1009,1010,阿Ｑ
0,1,0,3,阿Ｑ正传
1,1,14,15,正传
2,1,127,134,这一篇速朽的文章
0,2,8,8,我
1,2,42,42,我
2,2,260,260,我
3,2,396,396,我
4,2,457,457,我
5,2,608,608,我
0,3,641,643,赵太爷
1,3,697,699,赵太爷
2,3,754,756,赵太爷
3,3,761,762,太爷
4,3,801,803,赵太爷
5,3,823,823,我
6,3,853,855,赵太爷
7,3,970,972,赵太爷
0,4,649,650,秀才
1,4,715,716,秀才
0,5,628,628,赵
1,5,837,837,赵
2,5,897,897,赵
3,5,961,961,赵
4,5,967,967,赵
0,6,747,748,地保
1,6,908,909,地保
2,6,919,920,地保
3,6,929,930,地保
0,7,1024,1025,阿Ｑ
1,7,1035,1035,他
2,7,1045,1045,他
3,7,1148,1148,他
4,7,1174,1174,他
5,7,1193,1193,他
6,7,1223,1223,他
7,7,1245,1245,他
8,7,1379,1380,阿Ｑ
9,7,1474,1474,他
10,7,1528,1529,阿Ｑ
11,7,1536,1536,他
12,7,1606,1606,他
13,7,1756,1757,阿Ｑ
14,7,1788,1789,阿Ｑ
15,7,1803,1803,他
16,7,1828,1829,阿Ｑ
17,7,1833,1833,他
18,7,1839,1839,他
19,7,1849,1849,他
20,7,1858,1861,阿Ｑ自己
21,7,1893,1893,你
22,7,1899,1899,你
23,7,1908,1909,阿Ｑ
24,7,1970,1970,他
25,7,2005,2006,阿Ｑ
26,7,2031,2032,阿Ｑ
27,7,2065,2066,阿Ｑ
28,7,2074,2075,阿Ｑ
29,7,2112,2113,阿Ｑ
0,8,1019,1019,我
1,8,1122,1122,我
2,8,1288,1288,我
3,8,1362,1362,我
4,8,1417,1417,我
5,8,1498,1499,自己
6,8,1514,1514,我
7,8,1652,1652,我
8,8,1753,1753,我
0,9,1293,1306,赵太爷的儿子茂才〔１２〕先生
1,9,1297,1298,儿子
2,9,1312,1314,如此公
3,9,1506,1508,茂才公
0,10,1379,1385,阿Ｑ犯事的案卷
1,10,1398,1399,案卷
0,11,1404,1411,阿Ｑｕｅｉ的声音
1,11,1410,1411,声音
0,12,1528,1532,阿Ｑ的籍贯
1,12,1596,1597,籍贯
0,13,1099,1102,这篇文章
1,13,1753,1760,我这《阿Ｑ正传》
0,14,1802,1814,连他先前的〈行状〉〔１６〕
1,14,1849,1854,他的〈行状〉
2,14,2021,2024,〈行状〉
3,14,2023,2023,状
4,14,2042,2044,〈行状
5,14,2044,2044,状
0,15,2118,2119,阿Ｑ
1,15,2136,2136,他
2,15,2217,2218,阿Ｑ
3,15,2232,2232,他
4,15,2235,2235,我
5,15,2253,2254,阿Ｑ
6,15,2263,2263,他
7,15,2298,2298,他
8,15,2316,2316,他
9,15,2356,2356,他
10,15,2400,2401,阿Ｑ
11,15,2436,2436,他
12,15,2484,2485,阿Ｑ
13,15,2503,2503,他
14,15,2567,2568,阿Ｑ
15,15,2589,2589,他
16,15,2597,2597,他
17,15,2614,2615,阿Ｑ
18,15,2625,2625,他
19,15,2648,2649,阿Ｑ
20,15,2671,2671,他
21,15,2696,2697,阿Ｑ
22,15,2705,2705,他
23,15,2730,2731,阿Ｑ
24,15,2749,2749,你
25,15,2764,2764,他
26,15,2797,2798,阿Ｑ
27,15,2805,2805,他
28,15,2836,2836,他
29,15,2846,2847,阿Ｑ
30,15,2890,2891,阿Ｑ
31,15,2902,2902,我
32,15,2937,2938,阿Ｑ
33,15,2959,2960,阿Ｑ
34,15,2972,2972,他
35,15,2991,2991,他
36,15,3003,3003,他
37,15,3007,3008,阿Ｑ
38,15,3025,3026,自己
39,15,3035,3036,阿Ｑ
40,15,3044,3045,自己
41,15,3066,3066,我
0,16,2170,2172,文童者
1,16,2210,2211,文童
0,17,2268,2270,城里人
1,17,2306,2308,城里人
0,18,2370,2372,未庄人
1,18,2388,2389,他们
0,19,2659,2664,未庄的闲人们
1,19,2677,2678,他们
2,19,2724,2725,他们
3,19,2828,2829,闲人
4,19,2875,2876,闲人
0,20,2860,2862,黄辫子
1,20,2991,2994,他黄辫子
2,20,3044,3047,自己的辫
0,21,3102,3102,他
1,21,3124,3124,他
2,21,3127,3128,阿Ｑ
3,21,3144,3145,阿Ｑ
4,21,3158,3158,他
5,21,3161,3161,他
6,21,3226,3227,阿Ｑ
7,21,3296,3296,他
8,21,3316,3317,阿Ｑ
9,21,3332,3332,他
10,21,3384,3385,阿Ｑ
11,21,3407,3408,阿Ｑ
12,21,3439,3439,他
13,21,3510,3511,阿Ｑ
14,21,3520,3520,他
15,21,3574,3575,阿Ｑ
16,21,3587,3587,他
17,21,3598,3598,他
18,21,3625,3625,他
19,21,3641,3641,他
20,21,3674,3674,他
21,21,3724,3724,他
22,21,3727,3727,他
23,21,3746,3746,他
24,21,3792,3792,他
25,21,3822,3823,自己
26,21,3837,3837,他
27,21,3853,3853,他
28,21,3862,3862,他
29,21,3910,3911,自己
30,21,3930,3931,自己
31,21,3964,3964,他
0,22,3198,3203,状元〔１９〕
1,22,3215,3215,你
0,23,3085,3086,闲人
1,23,3237,3238,怨敌
0,24,3384,3388,阿Ｑ的铜钱
1,24,3407,3410,阿Ｑ的钱
0,25,3307,3309,一堆人
1,25,3446,3446,堆
0,26,3530,3540,未庄赛神〔２２〕的晚上
1,26,3542,3544,这晚上
0,27,3349,3350,桩家
1,27,3591,3592,桩家
0,28,3746,3751,他的一堆洋钱
1,28,3779,3787,很白很亮的一堆洋钱
