id,start_idx,end_idx,mention,gold id,
0,0,1,阿Ｑ,1,
0,11,12,阿Ｑ,1,
0,110,111,阿Ｑ,1,
0,266,267,阿Ｑ,1,
0,292,293,阿Ｑ,1,
0,307,308,阿Ｑ,1,
0,401,402,阿Ｑ,1,
0,412,412,他,1,
0,426,427,阿Ｑ,1,
0,613,614,阿Ｑ,1,
0,623,623,他,1,
0,666,667,阿Ｑ,1,
0,686,686,他,1,
0,695,695,他,1,idx should be 694? 695 is和
0,712,712,他,1,
0,751,752,阿Ｑ,1,
0,775,776,阿Ｑ,1,
0,778,782,你这浑小子,1,
0,784,784,你,1,
0,786,786,我,5,赵太爷
0,788,788,你,1,
0,795,796,阿Ｑ,1,
0,818,818,你,1,
0,828,828,你,1,
0,835,835,你,1,
0,841,842,阿Ｑ,1,
0,862,862,他,1,
0,869,869,你,1,
0,878,878,你,1,
0,886,887,阿Ｑ,1,
0,893,893,他,1,
0,943,944,阿Ｑ,1,
0,949,950,自己,1,
0,955,955,他,1,
0,995,995,他,1,
0,1009,1010,阿Ｑ,1,
1,0,3,阿Ｑ正传,-1,
1,14,15,正传,-1,
1,127,134,这一篇速朽的文章,-1,
2,8,8,我,0,
2,42,42,我,0,
2,260,260,我,0,
2,396,396,我,0,
2,457,457,我,0,
2,608,608,我,0,
3,641,643,赵太爷,5,
3,697,699,赵太爷,5,
3,754,756,赵太爷,5,
3,761,762,太爷,5,
3,801,803,赵太爷,5,
3,823,823,我,5,
3,853,855,赵太爷,5,
3,970,972,赵太爷,5,
4,649,650,秀才,-1,a title
4,715,716,秀才,4,
5,628,628,赵,-1,last name?
5,837,837,赵,-1,last name?
5,897,897,赵,-1,last name?
5,961,961,赵,-1,last name?
5,967,967,赵,-1,last name?
6,747,748,地保,6,
6,908,909,地保,6,
6,919,920,地保,6,
6,929,930,地保,6,
7,1024,1025,阿Ｑ,1,
7,1035,1035,他,1,
7,1045,1045,他,1,
7,1148,1148,他,1,
7,1174,1174,他,1,
7,1193,1193,他,1,
7,1223,1223,他,1,
7,1245,1245,他,1,
7,1379,1380,阿Ｑ,1,
7,1474,1474,他,1,
7,1528,1529,阿Ｑ,1,
7,1536,1536,他,1,
7,1606,1606,他,1,
7,1756,1757,阿Ｑ,1,
7,1788,1789,阿Ｑ,1,
7,1803,1803,他,1,
7,1828,1829,阿Ｑ,1,
7,1833,1833,他,1,
7,1839,1839,他,1,
7,1849,1849,他,1,
7,1858,1861,阿Ｑ自己,1,
7,1893,1893,你,-1,refer to others in the general sense
7,1899,1899,你,-1,refer to others in the general sense
7,1908,1909,阿Ｑ,1,
7,1970,1970,他,1,
7,2005,2006,阿Ｑ,1,
7,2031,2032,阿Ｑ,1,
7,2065,2066,阿Ｑ,1,
7,2074,2075,阿Ｑ,1,
7,2112,2113,阿Ｑ,1,
8,1019,1019,我,0,
8,1122,1122,我,0,
8,1288,1288,我,0,
8,1362,1362,我,0,
8,1417,1417,我,0,
8,1498,1499,自己,0,
8,1514,1514,我,0,
8,1652,1652,我,0,
8,1753,1753,我,0,
9,1293,1306,赵太爷的儿子茂才〔１２〕先生,4,
9,1297,1298,儿子,4,
9,1312,1314,如此公,4,
9,1506,1508,茂才公,4,
10,1379,1385,阿Ｑ犯事的案卷,-1,"objects, non-character mentions"
10,1398,1399,案卷,-1,
11,1404,1411,阿Ｑｕｅｉ的声音,-1,
11,1410,1411,声音,-1,
12,1528,1532,阿Ｑ的籍贯,-1,
12,1596,1597,籍贯,-1,
13,1099,1102,这篇文章,-1,
13,1753,1760,我这《阿Ｑ正传》,-1,
14,1802,1814,连他先前的〈行状〉〔１６〕,-1,
14,1849,1854,他的〈行状〉,-1,
14,2021,2024,〈行状〉,-1,
14,2023,2023,状,-1,
14,2042,2044,〈行状,-1,
14,2044,2044,状,-1,
15,2118,2119,阿Ｑ,1,
15,2136,2136,他,1,
15,2217,2218,阿Ｑ,1,
15,2232,2232,他,1,
15,2235,2235,我,1,
15,2253,2254,阿Ｑ,1,
15,2263,2263,他,1,
15,2298,2298,他,1,
15,2316,2316,他,1,
15,2356,2356,他,1,
15,2400,2401,阿Ｑ,1,
15,2436,2436,他,1,
15,2484,2485,阿Ｑ,1,
