Cluster Idx,canonical,string,start_idx,end_idx
0,我,我,8,8
0,我,我,42,42
0,我,我,260,260
0,我,我,396,396
0,我,我,608,608
0,我,我,1002,1002
0,我,我,1019,1019
0,我,我,1122,1122
0,我,我,1288,1288
0,我,我,1417,1417
0,我,我,1514,1514
0,我,我,1652,1652
1,阿Ｑ,阿Ｑ,11,12
1,阿Ｑ,阿Ｑ,110,111
1,阿Ｑ,阿Ｑ,266,267
1,阿Ｑ,阿Ｑ,292,293
1,阿Ｑ,阿Ｑ,307,308
1,阿Ｑ,阿Ｑ,401,402
1,阿Ｑ,阿Ｑ,426,427
1,阿Ｑ,阿Ｑ,613,614
1,阿Ｑ,他,623,623
1,阿Ｑ,赵,628,628
1,阿Ｑ,阿Q,666,667
1,阿Ｑ,他,686,686
1,阿Ｑ,他,694,694
1,阿Ｑ,他,711,711
1,阿Ｑ,阿Q,750,751
1,阿Ｑ,阿Q,774,775
1,阿Ｑ,你这浑小子,777,781
1,阿Ｑ,你,783,783
1,阿Ｑ,阿Q,794,795
1,阿Ｑ,你,817,817
1,阿Ｑ,你,834,834
1,阿Ｑ,阿Q,840,841
1,阿Ｑ,他,861,861
1,阿Ｑ,你,868,868
1,阿Ｑ,你,877,877
1,阿Ｑ,阿Ｑ,885,886
1,阿Ｑ,他,892,892
1,阿Ｑ,阿Q,942,943
1,阿Ｑ,自己,948,949
1,阿Ｑ,他,954,954
1,阿Ｑ,阿Q,1008,1009
1,阿Ｑ,他,1035,1035
1,阿Ｑ,阿Ｑｕｅｉ,1046,1050
1,阿Ｑ,阿Ｑｕｅｉ,1065,1069
1,阿Ｑ,他,1148,1148
1,阿Ｑ,他,1174,1174
1,阿Ｑ,他,1223,1223
1,阿Ｑ,他,1245,1245
1,阿Ｑ,阿Q,1528,1529
1,阿Ｑ,他,1536,1536
1,阿Ｑ,他,1606,1606
1,阿Ｑ,阿Q,1788,1789
1,阿Ｑ,阿Q,1828,1829
1,阿Ｑ,他,1833,1833
1,阿Ｑ,他,1839,1839
1,阿Ｑ,阿Q自己,1858,1861
1,阿Ｑ,阿Q,1908,1909
1,阿Ｑ,他,1970,1970
1,阿Ｑ,阿Q,2005,2006
1,阿Ｑ,阿Q,2031,2032
1,阿Ｑ,阿Q,2065,2066
1,阿Ｑ,阿Q,2074,2075
1,阿Ｑ,阿Q,2112,2113
1,阿Ｑ,阿Ｑ,2118,2119
1,阿Ｑ,阿Ｑ,2217,2218
1,阿Ｑ,他,2232,2232
1,阿Ｑ,阿Q,2253,2254
1,阿Ｑ,他,2263,2263
1,阿Ｑ,他,2298,2298
1,阿Ｑ,他,2316,2316
1,阿Ｑ,他,2356,2356
1,阿Ｑ,阿Q,2400,2401
1,阿Ｑ,他,2503,2503
1,阿Ｑ,阿Q,2567,2568
1,阿Ｑ,他,2589,2589
1,阿Ｑ,阿Q,2614,2615
1,阿Ｑ,他,2625,2625
1,阿Ｑ,阿Ｑ,2648,2649
1,阿Ｑ,他,2671,2671
1,阿Ｑ,阿Ｑ,2696,2697
1,阿Ｑ,他,2705,2705
1,阿Ｑ,阿Ｑ,2730,2731
1,阿Ｑ,阿Ｑ,2797,2798
1,阿Ｑ,他,2805,2805
1,阿Ｑ,他,2836,2836
1,阿Ｑ,阿Q,2846,2847
1,阿Ｑ,阿Q,2890,2891
1,阿Ｑ,我,2902,2902
1,阿Ｑ,阿Q,2937,2938
1,阿Ｑ,阿Q,2959,2960
1,阿Ｑ,他,2972,2972
1,阿Ｑ,他,3003,3003
1,阿Ｑ,阿Q,3007,3008
1,阿Ｑ,阿Q,3035,3036
1,阿Ｑ,我,3066,3066
1,阿Ｑ,他,3102,3102
1,阿Ｑ,阿Q,3127,3128
1,阿Ｑ,阿Q,3144,3145
1,阿Ｑ,他,3158,3158
1,阿Ｑ,他,3161,3161
1,阿Ｑ,第一个能够自轻自贱的人,3163,3173
1,阿Ｑ,阿Q,3226,3227
1,阿Ｑ,他,3296,3296
1,阿Ｑ,阿Q,3316,3317
1,阿Ｑ,他,3439,3439
1,阿Ｑ,阿Q,3510,3511
1,阿Ｑ,他,3520,3520
1,阿Ｑ,他,3587,3587
1,阿Ｑ,他,3598,3598
1,阿Ｑ,他,3625,3625
1,阿Ｑ,他,3641,3641
1,阿Ｑ,他,3674,3674
1,阿Ｑ,他,3724,3724
1,阿Ｑ,他,3727,3727
1,阿Ｑ,自己,3822,3823
1,阿Ｑ,他,3837,3837
1,阿Ｑ,他,3853,3853
1,阿Ｑ,他,3862,3862
1,阿Ｑ,自己,3910,3911
1,阿Ｑ,别一个自己,3917,3921
1,阿Ｑ,自己,3930,3931
1,阿Ｑ,他,3964,3964
2,孔子,孔子,159,160
3,文豪迭更司,文豪迭更司,351,355
4,茂才公,赵太爷的儿子,641,646
4,茂才公,秀才,714,715
4,茂才公,赵太爷的儿子茂才〔１２〕先生,1293,1306
4,茂才公,此公,1313,1314
4,茂才公,茂才公,1506,1508
5,赵太爷,赵太爷,696,698
5,赵太爷,太爷,760,761
5,赵太爷,我,785,785
5,赵太爷,赵太爷,800,802
5,赵太爷,我,822,822
5,赵太爷,赵太爷,852,854
5,赵太爷,赵太爷,969,971
5,赵太爷,赵太爷,2185,2187
6,地保,地保,746,747
6,地保,地保,907,908
6,地保,地保,918,919
6,地保,地保,928,929
7,陈独秀,陈独秀,1330,1332
8,一个同乡,一个同乡,1373,1376
9,有〈历史癖与考据癖〉的胡适之〔１５〕先生的门人们,有〈历史癖与考据癖〉的胡适之〔１５〕先生的门人们,1711,1734
10,一个老头子,一个老头子,2055,2059
11,两位〈文童〉,两位〈文童〉,2147,2152
12,钱太爷,钱太爷,2188,2190
13,我的儿子,我的儿子,2235,2238
14,未庄的闲人,未庄的闲人,2659,2663
14,未庄的闲人,他们,2677,2678
14,未庄的闲人,他们,2724,2725
14,未庄的闲人,闲人,2828,2829
14,未庄的闲人,闲人,2875,2876
14,未庄的闲人,儿子,2906,2907
14,未庄的闲人,闲人,3085,3086
14,未庄的闲人,他,3124,3124
15,几个人,几个人,3717,3719
