,id,start_idx,end_idx,mention
0,0,268,271,财色二者
1,0,280,280,他
0,1,788,788,我
1,1,792,792,我
0,2,618,624,那一种好色的人
1,2,804,806,这样人
0,3,1033,1035,金刚经
1,3,1043,1043,他
0,4,1091,1091,你
1,4,1113,1113,你
2,4,1135,1135,你
3,4,1162,1162,你
0,5,1135,1142,你闭月羞花的容貌
1,5,1158,1158,之
0,6,1444,1449,一个风流子弟
1,6,1477,1478,这人
2,6,1491,1491,他
3,6,1592,1595,这个儿子
4,6,1604,1604,其
5,6,1610,1611,这人
0,7,1694,1700,第一个最相契的
1,7,1755,1755,他
2,7,2164,2164,他
0,8,1847,1849,西门庆
1,8,1941,1943,西门庆
2,8,2143,2145,西门庆
0,9,2002,2005,这白赉光
1,9,2013,2013,他
2,9,2023,2023,他
3,9,2025,2026,自己
4,9,2034,2034,我
5,9,2059,2059,我
6,9,2117,2117,我
0,10,2277,2280,这西门庆
1,10,2315,2315,他
2,10,2321,2321,他
3,10,2353,2353,他
4,10,2356,2356,他
5,10,2365,2365,他
6,10,2373,2378,这西门大官人
7,10,2502,2504,西门庆
8,10,2511,2511,他
9,10,2548,2550,西门庆
10,10,2682,2684,西门庆
11,10,2860,2862,西门庆
12,10,3056,3058,西门庆
0,11,2329,2329,县
1,11,2456,2457,本县
2,11,2571,2572,家里
3,11,2754,2755,咱家
0,12,2456,2466,本县清河左卫吴千户之女
1,12,2473,2475,这吴氏
2,12,2517,2519,这月娘
0,13,2502,2505,西门庆家
1,13,2605,2605,家
0,14,2588,2590,卓二姐
1,14,2614,2616,卓二姐
2,14,2629,2629,他
3,14,2839,2841,卓二姐
0,15,2718,2721,我兄弟们
1,15,2719,2721,兄弟们
2,15,2757,2759,兄弟们
0,16,2693,2695,吴月娘
1,16,2767,2767,你
2,16,2776,2777,吴月
3,16,2776,2778,吴月娘
4,16,2866,2866,你
5,16,2890,2890,他
6,16,2893,2893,你
7,16,3001,3003,吴月娘
0,17,2769,2769,我
1,17,2819,2819,我
2,17,2847,2847,我
3,17,2882,2882,我
0,18,2783,2783,你
1,18,2821,2821,你
2,18,2849,2849,你
3,18,3026,3026,你
4,18,3033,3033,你
0,19,2790,2792,这干人
1,19,2825,2827,这起人
0,20,2896,2900,这些兄弟们
1,20,2898,2900,兄弟们
0,21,2903,2904,好人
1,21,2908,2908,他
0,22,2950,2950,咱
1,22,2975,2975,咱
2,22,3078,3078,咱
0,23,2987,2988,兄弟
1,23,3012,3013,兄弟
0,24,2456,2464,本县清河左卫吴千户
1,24,3082,3083,二哥
2,24,3087,3087,他
0,25,3101,3105,一个小厮儿
1,25,3103,3104,小厮
2,25,3169,3169,他
3,25,3171,3171,他
0,26,3121,3123,西门庆
1,26,3154,3154,爹
2,26,3160,3162,西门庆
3,26,3166,3166,我
4,26,3251,3253,西门庆
5,26,3271,3271,哥
6,26,3281,3283,西门庆
7,26,3309,3309,我
8,26,3346,3347,哥哥
9,26,3346,3357,哥哥要说哩。」因对西门庆
10,26,3355,3357,西门庆
11,26,3361,3361,哥
12,26,3363,3363,你
13,26,3400,3403,西门庆因
14,26,3408,3408,你
15,26,3439,3439,哥
16,26,3503,3503,我
17,26,3528,3528,哥
18,26,3535,3537,西门庆
19,26,3565,3565,哥
20,26,3579,3581,西门庆
21,26,3620,3620,咱
22,26,3643,3643,我
23,26,3647,3647,我
24,26,3650,3650,哥
25,26,3653,3653,哥
26,26,3686,3686,哥
27,26,3698,3700,西门庆
28,26,3706,3706,我
29,26,3724,3724,我
30,26,3730,3730,我
31,26,3739,3739,我
0,27,3148,3150,谢大叔
1,27,3243,3248,姓谢的谢希大
2,27,3285,3285,他
3,27,3336,3337,希大
4,27,3556,3558,谢希大
0,28,3300,3301,你们
1,28,3322,3323,你们
0,29,3190,3192,应伯爵
1,29,3333,3334,伯爵
2,29,3344,3344,我
3,29,3418,3419,伯爵
4,29,3603,3604,伯爵
0,30,3369,3369,咱
1,30,3383,3384,咱们
2,30,3547,3547,咱
0,31,3431,3435,了个孩子儿
1,31,3466,3466,他
2,31,3519,3519,他
0,32,3498,3499,他妈
1,32,3589,3589,他
2,32,3622,3622,他
0,33,3589,3590,他家
1,33,3622,3623,他家
0,34,3612,3616,卜志道兄弟
1,34,3633,3633,他
2,34,3665,3665,他
3,34,3709,3709,他
4,34,3728,3728,他
5,34,3751,3751,他
0,35,3759,3761,谢希大
1,35,3782,3782,他
2,35,4330,4330,我
3,35,4789,4791,应伯爵
4,35,4840,4841,伯爵
5,35,4846,4847,希大
0,36,3771,3771,咱
1,36,3806,3806,咱
2,36,3921,3921,咱
3,36,4010,4010,俺
4,36,4098,4098,咱
5,36,4137,4148,咱家只隔著一层壁儿，与我
6,36,4148,4148,我
7,36,4154,4154,咱
8,36,4229,4229,咱
9,36,4299,4299,你
10,36,4352,4352,你
11,36,4620,4620,你
12,36,4626,4626,你
13,36,5170,5170,你
0,37,3774,3775,兄弟
1,37,3822,3824,兄弟们
2,37,3852,3855,咱兄弟们
3,37,3936,3938,众兄弟
4,37,3955,3956,你们
5,37,3964,3965,各人
6,37,4010,4013,俺众人们
0,38,3790,3791,伯爵
1,38,3842,3842,我
2,38,3976,3977,伯爵
3,38,4054,4056,谢希大
4,38,4167,4168,伯爵
5,38,4204,4205,伯爵
6,38,4349,4349,我
7,38,4377,4378,伯爵
8,38,4401,4402,希大
9,38,4502,4503,伯爵
10,38,4540,4540,希
11,38,4540,4542,希大笑
12,38,4643,4643,我
13,38,4766,4766,我
14,38,4771,4771,我
0,39,3832,3834,西门庆
1,39,3983,3983,哥
2,39,4031,4033,西门庆
3,39,4044,4044,你
4,39,4048,4048,你
5,39,4085,4087,西门庆
6,39,4193,4195,西门庆
7,39,4210,4210,哥
8,39,4244,4246,西门庆
9,39,4277,4280,西门庆旋
10,39,4388,4388,哥
11,39,4447,4449,西门庆
12,39,4472,4472,我
13,39,4487,4487,我
14,39,4510,4510,哥
15,39,4582,4584,西门庆
16,39,4620,4622,你西门
17,39,4621,4622,西门
18,39,4676,4678,西门庆
19,39,4726,4726,哥
20,39,4747,4747,哥
21,39,4760,4762,西门庆
22,39,4812,4814,西门庆
23,39,4874,4876,西门庆
24,39,4919,4921,西门庆
25,39,4940,4940,俺
26,39,4945,4945,俺
27,39,5049,5051,西门庆
28,39,5160,5160,你
29,39,5165,5165,你
30,39,5174,5174,你
0,40,4098,4104,咱这间壁花二哥
1,40,4130,4130,他
2,40,4161,4161,他
3,40,4220,4220,他
4,40,4224,4224,他
5,40,4362,4362,他
6,40,4645,4645,他
7,40,4654,4654,他
8,40,4689,4692,这花二哥
0,41,3771,3773,咱会中
1,41,4137,4138,咱家
0,42,4178,4189,在院中包著吴银儿的花子虚
1,42,4187,4189,花子虚
2,42,4201,4201,他
0,43,4251,4253,傻花子
1,43,4255,4255,你
2,43,4775,4775,你
0,44,4283,4285,玳安儿
1,44,4290,4290,你
2,44,4345,4345,你
3,44,4369,4371,玳安儿
4,44,4573,4574,玳安
5,44,4573,4575,玳安儿
6,44,4589,4589,他
7,44,4596,4596,俺
8,44,4598,4598,他
0,45,4299,4302,你花二爹
1,45,4311,4312,俺爹
2,45,4332,4333,二爹
3,45,4340,4340,他
4,45,4352,4354,你二爹
5,45,4573,4591,玳安儿转来了，因对西门庆说道：“他二爹
6,45,4589,4591,他二爹
7,45,4620,4623,你西门爹
8,45,4626,4628,你二爹
9,45,4660,4660,爹
10,45,4950,4952,西门爹
11,45,4956,4958,西门爹
12,45,4988,4988,爹
13,45,5013,5013,爹
14,45,5025,5025,爹
15,45,5036,5037,俺爹
16,45,5086,5086,爹
0,46,4388,4390,哥这里
1,46,4406,4408,咱这里
0,47,4480,4485,玉皇庙吴道官
1,47,4491,4491,他
0,48,4517,4521,永福寺和尚
1,48,4535,4535,他
0,49,4362,4364,他二娘
1,49,4598,4600,他二娘
2,49,4604,4605,二娘
0,50,4679,4685,对应、谢二人道
1,50,4717,4718,二人
2,50,4718,4718,人
0,51,4737,4739,众兄弟
1,51,4742,4742,他
0,52,4945,4946,俺爹
1,52,4966,4967,俺爹
2,52,4970,4971,俺爹
3,52,4998,4999,俺爹
0,53,4956,4960,西门爹这边
1,53,4988,4990,爹这边
2,53,5013,5015,爹这边
3,53,5025,5027,爹这里
0,54,4891,4899,一个才留头的小厮儿
1,54,5002,5003,小的
2,54,5104,5106,那小厮
3,54,5104,5107,那小厮儿
4,54,5112,5113,小的
5,54,5150,5150,他
6,54,5198,5200,那小厮
0,55,4882,4883,月娘
1,55,5124,5126,吴月娘
0,56,5131,5135,大丫头玉箫
1,56,5132,5133,丫头
0,57,5170,5172,你家娘
1,57,5176,5179,西门大娘
2,57,5188,5188,娘
