,text,cat,start_token,end_token
0,第一,ORDINAL,0,1
1,美,LOCATION,6,7
2,1901,DATE,10,11
3,1920,DATE,12,13
4,宋学连,PERSON,24,25
5,耕书,PERSON,28,29
6,福建,LOCATION,41,42
7,莆田,LOCATION,42,43
8,坑北,LOCATION,43,44
9,十六,AGE,49,50
10,福州神道学校,ORGANIZATION,55,58
11,两,INTEGER,62,63
12,半,FRACTION,64,65
13,第三,ORGANIZATION,72,73
14,约翰,PERSON,78,79
15,罗马,LOCATION,81,82
16,清晨,TIME,99,100
17,二十五,AGE,141,142
18,陈若兰,PERSON,153,154
19,晚上,TIME,162,163
20,两,INTEGER,183,184
21,五,MONEY,201,202
22,、,ORGANIZATION,202,203
23,六,MONEY,203,204
24,晚上,TIME,214,215
25,耶和华,PERSON,252,253
26,耶和华,PERSON,278,279
27,第二,DATE,327,328
28,昨晚,TIME,334,335
29,夜,TIME,336,337
30,武先生,PERSON,364,366
31,十八,MONEY,368,369
32,半,DURATION,404,405
33,明宫,LOCATION,411,412
34,十二月,DATE,449,450
35,十二月,DATE,460,461
36,三十一,ORGANIZATION,461,462
37,日,LOCATION,462,463
38,耶稣,PERSON,480,481
39,今晚,TIME,495,496
40,晚上,TIME,518,519
41,晚上,TIME,536,537
42,第二,DATE,545,546
43,天,LOCATION,546,547
44,早上,TIME,547,548
45,陈梦二,PERSON,558,559
46,郑,PERSON,641,642
47,一九○一,DATE,656,657
48,年九月二十七,ORGANIZATION,657,660
49,日,LOCATION,660,661
50,下午,TIME,662,663
51,四,INTEGER,663,664
52,中秋节,DATE,670,671
53,天恩,PERSON,681,682
54,尚节,PERSON,686,687
55,凤迹村,LOCATION,696,697
56,第一,ORDINAL,698,699
57,美,LOCATION,704,705
58,1901,DATE,708,709
59,1920,DATE,710,711
60,三,INTEGER,719,720
61,1901,DATE,723,724
62,1909,DATE,725,726
63,五,AGE,728,729
64,六,AGE,730,731
65,岁,AGE,731,732
66,凤迹村,LOCATION,736,737
67,兴化,LOCATION,738,739
68,莆田,LOCATION,742,743
69,兴化福音书院,ORGANIZATION,748,751
70,哲明小学,ORGANIZATION,761,763
71,日,LOCATION,779,780
72,日,LOCATION,808,809
73,三,INTEGER,820,821
74,第一,ORDINAL,824,825
75,傍晚,TIME,834,835
76,瑞德,PERSON,854,855
77,第二,ORDINAL,888,889
78,九,AGE,893,894
79,兴化,LOCATION,898,899
80,橄榄山,LOCATION,920,921
81,西马尼园,LOCATION,923,924
82,耶稣,PERSON,925,926
83,兴化卫理公会,ORGANIZATION,938,942
84,一九○九,DATE,947,948
85,年,ORGANIZATION,948,949
86,四月,DATE,949,950
87,九,ORGANIZATION,950,951
88,日,LOCATION,951,952
89,午前,TIME,952,953
90,十一,INTEGER,953,954
91,点,LOCATION,954,955
92,林鸿万,PERSON,962,963
93,下午六点,LOCATION,972,975
94,三十,INTEGER,982,983
95,晚上七点,TIME,986,988
96,林,PERSON,989,990
97,薛某,PERSON,995,996
98,二,INTEGER,1001,1002
99,次日,DATE,1024,1025
100,晨,TIME,1025,1026
101,二,INTEGER,1091,1092
102,十五,INTEGER,1105,1106
103,一百八十,MONEY,1112,1113
104,四,INTEGER,1121,1122
105,二百,MONEY,1125,1126
106,三,INTEGER,1141,1142
107,四千,INTEGER,1143,1144
108,三十八,INTEGER,1150,1151
109,厦门,LOCATION,1159,1160
110,福州,LOCATION,1161,1162
111,华南,LOCATION,1164,1165
112,四百六十六,MONEY,1173,1174
113,五千,INTEGER,1187,1188
114,五百八十,MONEY,1203,1204
115,兴化基督教戒烟社,ORGANIZATION,1211,1215
116,兴化,LOCATION,1257,1258
117,万明治西,PERSON,1258,1259
118,兴化教会,ORGANIZATION,1264,1266
119,撒拉,PERSON,1278,1279
120,一九○九,DATE,1285,1286
121,年,ORGANIZATION,1286,1287
122,三月,DATE,1287,1288
123,二十三,ORGANIZATION,1288,1289
124,日,LOCATION,1289,1290
125,撒拉,PERSON,1291,1292
126,万明治,PERSON,1294,1295
127,兴化,LOCATION,1308,1309
128,美国,LOCATION,1361,1362
129,中国,LOCATION,1367,1368
130,五,DURATION,1369,1370
131,撒拉,PERSON,1374,1375
132,林鸿万,PERSON,1380,1381
133,蒲鲁士,PERSON,1383,1384
134,蒲鲁士,PERSON,1401,1402
135,奋兴会,ORGANIZATION,1406,1407
136,五,INTEGER,1449,1450
137,六百,INTEGER,1451,1452
138,五,DATE,1503,1504
139,一九○九,DATE,1520,1521
140,兴化,LOCATION,1522,1523
141,第三,ORDINAL,1528,1529
142,一九○九,DATE,1532,1533
143,年,ORGANIZATION,1533,1534
144,秋天,DATE,1534,1535
145,美国,LOCATION,1677,1678
