,sentence_id,token_id,token,POS_tag
0,0,0,阿Ｑ,nr
1,0,1,正传,n
2,0,2,第一,m
3,0,3,章,q
4,0,4,序,n
5,0,5,我,r
6,0,6,要,v
7,0,7,给,p
8,0,8,阿Ｑ,nr
9,0,9,做,v
10,0,10,正传,n
11,0,11,﹐,w
12,0,12,已经,d
13,0,13,不止,v
14,0,14,一,m
15,0,15,两,m
16,0,16,年,q
17,0,17,了,y
18,0,18,。,w
19,1,19,但,c
20,1,20,一面,d
21,1,21,要,v
22,1,22,做,v
23,1,23,﹐,w
24,1,24,一面,d
25,1,25,又,d
26,1,26,往,p
27,1,27,回想,v
28,1,28,﹐,w
29,1,29,这,r
30,1,30,足见,v
31,1,31,我,r
32,1,32,不,d
33,1,33,是,v
34,1,34,一,m
35,1,35,个,q
36,1,36,〈,w
37,1,37,立言,v
38,1,38,〉,w
39,1,39,〔,w
40,1,40,２,m
41,1,41,〕,w
42,1,42,的,u
43,1,43,人,n
44,1,44,﹐,w
45,1,45,因为,c
46,1,46,从来,d
47,1,47,不朽,z
48,1,48,之,u
49,1,49,笔,n
50,1,50,﹐,w
51,1,51,须,d
52,1,52,传,v
53,1,53,不朽,z
54,1,54,之,u
55,1,55,人,n
56,1,56,﹐,w
57,1,57,于是,c
58,1,58,人,n
59,1,59,以,p
60,1,60,文,Ng
61,1,61,传,v
62,1,62,﹐,w
63,1,63,文,Ng
64,1,64,以,p
65,1,65,人,n
66,1,66,传,v
67,1,67,──,w
68,1,68,究竟,d
69,1,69,谁,r
70,1,70,靠,p
71,1,71,谁,r
72,1,72,传,v
73,1,73,﹐,w
74,1,74,渐渐,d
75,1,75,的,u
76,1,76,不甚,d
77,1,77,了然,v
78,1,78,起来,v
79,1,79,﹐,w
80,1,80,而,c
81,1,81,终于,d
82,1,82,归结,v
83,1,83,到,v
84,1,84,传,v
85,1,85,阿Ｑ,nr
86,1,86,﹐,w
87,1,87,仿佛,v
88,1,88,思想,n
89,1,89,里,f
90,1,90,有,v
91,1,91,鬼,n
92,1,92,似的,u
93,1,93,。,w
94,2,94,然而,c
95,2,95,要,v
96,2,96,做,v
97,2,97,这,r
98,2,98,一,m
99,2,99,篇,q
100,2,100,速,Ag
101,2,101,朽,a
102,2,102,的,u
103,2,103,文章,n
104,2,104,﹐,w
105,2,105,才,d
106,2,106,下笔,v
107,2,107,﹐,w
108,2,108,便,d
109,2,109,感到,v
110,2,110,万分,d
111,2,111,的,u
112,2,112,困难,a
113,2,113,了,y
114,2,114,。,w
115,3,115,第一,m
116,3,116,是,v
117,3,117,文章,n
118,3,118,的,u
119,3,119,名目,n
120,3,120,。,w
121,4,121,孔子,nr
122,4,122,曰,Vg
123,4,123,：,w
124,4,124,“,w
125,4,125,名,Ng
126,4,126,不,d
127,4,127,正则,l
128,4,128,言,Ng
129,4,129,不,d
130,4,130,顺,a
131,4,131,”,w
132,4,132,〔,w
133,4,133,３,m
134,4,134,〕,w
135,4,135,。,w
136,5,136,这,r
137,5,137,原,d
138,5,138,是,v
139,5,139,应该,v
140,5,140,极,d
141,5,141,注意,v
142,5,142,的,u
143,5,143,。,w
144,6,144,传,n
145,6,145,的,u
146,6,146,名目,n
147,6,147,很,d
148,6,148,繁多,a
149,6,149,﹕,w
150,6,150,列传,n
151,6,151,﹐,w
152,6,152,自传,n
153,6,153,﹐,w
154,6,154,内传,n
155,6,155,〔,w
156,6,156,４,m
157,6,157,〕,w
158,6,158,﹐,w
159,6,159,外传,n
160,6,160,﹐,w
161,6,161,别传,n
162,6,162,﹐,w
163,6,163,家传,n
164,6,164,﹐,w
165,6,165,小传,n
166,6,166,…,w
167,6,167,…,w
168,7,168,﹐,m
169,7,169,而,c
170,7,170,可惜,v
171,7,171,都,d
172,7,172,不,d
173,7,173,合,v
174,7,174,。,w
175,8,175,〈,w
176,8,176,列传,n
177,8,177,〉,w
178,8,178,么,y
179,8,179,﹐,w
180,8,180,这,r
181,8,181,一,m
182,8,182,篇,q
183,8,183,并,v
184,8,184,非,v
185,8,185,和,p
186,8,186,许多,m
187,8,187,阔人,n
188,8,188,排,v
189,8,189,在,p
190,8,190,〈,w
191,8,191,正史,nz
192,8,192,〉,w
193,8,193,〔,w
194,8,194,５,m
195,8,195,〕,w
196,8,196,里,f
197,8,197,﹔,w
198,8,198,〈,w
199,8,199,自传,n
200,8,200,〉,w
201,8,201,么,y
202,8,202,﹐,w
203,8,203,我,r
204,8,204,又,d
205,8,205,并,v
206,8,206,非,v
207,8,207,就,d
208,8,208,是,v
209,8,209,阿Ｑ,nr
210,8,210,。,w
211,9,211,说,v
212,9,212,是,v
213,9,213,〈,w
214,9,214,外传,n
215,9,215,〉,w
216,9,216,﹐,w
217,9,217,〈,w
218,9,218,内传,n
219,9,219,〉,w
220,9,220,在,p
221,9,221,那里,r
222,9,222,呢,y
223,9,223,﹖,w
224,9,224,倘,c
225,9,225,用,v
226,9,226,〈,w
227,9,227,内传,n
228,9,228,〉,w
229,9,229,﹐,w
230,9,230,阿Ｑ,nr
231,9,231,又,d
232,9,232,决,d
233,9,233,不,d
234,9,234,是,v
235,9,235,神仙,n
236,9,236,。,w
237,10,237,〈,w
238,10,238,别传,n
239,10,239,〉,w
240,10,240,呢,y
241,10,241,﹐,w
242,10,242,阿Ｑ,nr
243,10,243,实在,d
244,10,244,未,d
245,10,245,曾,d
246,10,246,有,v
247,10,247,大总统,n
248,10,248,上谕,v
249,10,249,宣,Vg
250,10,250,付,v
251,10,251,国,n
252,10,252,史馆,n
253,10,253,立,v
254,10,254,〈,w
255,10,255,本传,n
256,10,256,〉,w
257,10,257,〔,w
258,10,258,６,m
259,10,259,〕,w
260,10,260,──,w
261,10,261,虽说,c
262,10,262,英国,ns
263,10,263,正史,n
264,10,264,上,f
265,10,265,并,d
266,10,266,无,v
267,10,267,〈,w
268,10,268,博徒,nr
269,10,269,列传,n
270,10,270,〉,w
271,10,271,﹐,w
272,10,272,而,c
273,10,273,文豪,n
274,10,274,迭更,v
275,10,275,司,Ng
276,10,276,〔,w
277,10,277,７,m
278,10,278,〕,w
279,10,279,也,d
280,10,280,做,v
281,10,281,过,u
282,10,282,《,w
283,10,283,博徒,nr
284,10,284,别传,n
285,10,285,》,w
286,10,286,这,r
287,10,287,一,m
288,10,288,部,q
289,10,289,书,n
290,10,290,﹐,w
291,10,291,但,c
292,10,292,文豪,n
293,10,293,则,d
294,10,294,可,v
295,10,295,﹐,Vg
296,10,296,在,p
297,10,297,我辈,r
298,10,298,却,d
299,10,299,不,d
300,10,300,可,v
301,10,301,的,u
302,10,302,。,w
303,11,303,其次,c
304,11,304,是,v
305,11,305,〈,w
306,11,306,家传,n
307,11,307,〉,w
308,11,308,﹐,w
309,11,309,则,c
310,11,310,我,r
311,11,311,既,c
312,11,312,不,d
313,11,313,知,v
314,11,314,与,p
315,11,315,阿Ｑ,nr
316,11,316,是否,v
317,11,317,同宗,v
318,11,318,﹐,w
319,11,319,也,d
320,11,320,未,d
321,11,321,曾,d
322,11,322,受,v
323,11,323,他,r
324,11,324,子孙,n
325,11,325,的,u
326,11,326,拜托,vn
327,11,327,﹔,w
328,11,328,或,c
329,11,329,〈,w
330,11,330,小传,n
331,11,331,〉,w
332,11,332,﹐,w
333,11,333,则,c
334,11,334,阿Ｑ,nr
335,11,335,又,d
336,11,336,更,d
337,11,337,无,v
338,11,338,别的,r
339,11,339,〈,w
340,11,340,大,a
341,11,341,传,Ng
342,11,342,〉,w
343,11,343,了,y
344,11,344,。,w
345,12,345,总而言之,c
346,12,346,﹐,w
347,12,347,这,r
348,12,348,一,m
349,12,349,篇,q
350,12,350,也,d
351,12,351,便,d
352,12,352,是,v
353,12,353,〈,w
354,12,354,本传,n
355,12,355,〉,w
356,12,356,﹐,w
357,12,357,但,c
358,12,358,从,p
359,12,359,我,r
360,12,360,的,u
361,12,361,文章,n
362,12,362,著想,v
363,12,363,﹐,w
364,12,364,因为,c
365,12,365,文体,n
366,12,366,卑下,a
367,12,367,﹐,w
368,12,368,是,v
369,12,369,“,w
370,12,370,引车卖浆,v
371,12,371,者,k
372,12,372,流,v
373,12,373,”,w
374,12,374,所,u
375,12,375,用,v
376,12,376,的,u
377,12,377,话,n
378,12,378,〔,w
379,12,379,８,m
380,12,380,〕,w
381,12,381,﹐,w
382,12,382,所以,c
383,12,383,不,d
384,12,384,敢,v
385,12,385,僭,Vg
386,12,386,称,v
