,text,cat,start_token,end_token
0,第一,ORDINAL,0,1
1,西门庆,LOCATION,2,3
2,十,INTEGER,4,5
3,武,PERSON,6,7
4,西陵灰,LOCATION,59,60
5,大唐,DATE,94,95
6,八,INTEGER,122,123
7,四部洲,LOCATION,129,130
8,吕,PERSON,136,137
9,岩,PERSON,138,139
10,纯阳子,PERSON,141,142
11,四,INTEGER,182,183
12,二,INTEGER,189,190
13,半,FRACTION,245,246
14,两,INTEGER,381,382
15,柳下惠,PERSON,412,413
16,鲁,PERSON,416,417
17,关云长,PERSON,423,424
18,三,INTEGER,509,510
19,两,INTEGER,515,516
20,石季伦,PERSON,547,548
21,绿珠,PERSON,553,554
22,楚,DATE,558,559
23,虞姬,PERSON,565,566
24,垓下,LOCATION,568,569
25,二,INTEGER,611,612
26,阎罗殿,LOCATION,728,729
27,五,INTEGER,762,763
28,两,INTEGER,772,773
29,陆贾,PERSON,870,871
30,隋,DATE,871,872
31,何,PERSON,872,873
32,三,INTEGER,939,940
33,宋,DATE,1061,1062
34,徽宗,PERSON,1062,1063
35,政和,DATE,1064,1065
36,山东省,LOCATION,1067,1068
37,东平府,LOCATION,1068,1069
38,清河县,LOCATION,1069,1070
39,二十六,AGE,1092,1093
40,七,AGE,1093,1094
41,西门,PERSON,1098,1099
42,西门达,PERSON,1109,1110
43,川广,LOCATION,1113,1114
44,清河县,LOCATION,1120,1121
45,五,INTEGER,1135,1136
46,七,INTEGER,1138,1139
47,清河,LOCATION,1163,1164
48,西门达,PERSON,1175,1176
49,双,INTEGER,1229,1230
50,第一,ORDINAL,1257,1258
51,应,PERSON,1265,1266
52,伯爵,PERSON,1267,1268
53,光侯,PERSON,1271,1272
54,第二,ORDINAL,1281,1282
55,三,INTEGER,1296,1297
56,应花子,PERSON,1312,1313
57,双,INTEGER,1321,1322
58,第二,ORDINAL,1329,1330
59,个,ORGANIZATION,1330,1331
60,谢,PERSON,1332,1333
61,希大,PERSON,1334,1335
62,子纯,PERSON,1337,1338
63,清河卫,LOCATION,1340,1341
64,双,INTEGER,1351,1352
65,两,INTEGER,1375,1376
66,西门庆,PERSON,1378,1379
67,祝实念,PERSON,1402,1403
68,贡诚,PERSON,1406,1407
69,孙天化,PERSON,1411,1412
70,伯修,PERSON,1415,1416
71,孙寡嘴,PERSON,1418,1419
72,吴典恩,PERSON,1423,1424
73,阴阳,LOCATION,1429,1430
74,西门庆,PERSON,1449,1450
75,云,PERSON,1456,1457
76,云理守,PERSON,1461,1462
77,非去,PERSON,1464,1465
78,常峙节,PERSON,1469,1470
79,卜志道,PERSON,1479,1480
80,白赉光,PERSON,1484,1485
81,光汤,PERSON,1488,1489
82,白赉光,PERSON,1492,1493
83,白,PERSON,1537,1538
84,两,INTEGER,1555,1556
85,周,DATE,1560,1561
86,大赉,PERSON,1562,1563
87,于汤,PERSON,1564,1565
88,光汤,PERSON,1578,1579
89,十数,INTEGER,1600,1601
90,西门庆,PERSON,1604,1605
91,西门庆,PERSON,1710,1711
92,杨,PERSON,1730,1731
93,童,PERSON,1731,1732
94,蔡,PERSON,1732,1733
95,四,INTEGER,1733,1734
96,第一,ORDINAL,1774,1775
97,西门大官人,LOCATION,1781,1783
98,西门,LOCATION,1785,1786
99,陈氏,PERSON,1791,1793
100,西门,PERSON,1803,1804
101,东京,LOCATION,1809,1810
102,八十万,INTEGER,1810,1811
103,杨,PERSON,1812,1813
104,陈洪,PERSON,1816,1817
105,陈敬济,PERSON,1819,1820
106,清河,LOCATION,1844,1845
107,吴千户,PERSON,1847,1848
108,吴氏,PERSON,1855,1857
109,二十,AGE,1858,1859
110,五,AGE,1859,1860
111,六,AGE,1860,1861
112,八月,DATE,1863,1864
113,十五,AGE,1864,1865
114,月姐,PERSON,1870,1871
115,西门庆,PERSON,1875,1876
116,月娘,PERSON,1882,1883
117,月娘,PERSON,1887,1888
118,三,INTEGER,1899,1900
119,四,INTEGER,1900,1901
120,西门庆,PERSON,1907,1908
121,李娇儿,PERSON,1917,1918
122,第二,ORDINAL,1926,1927
123,卓,PERSON,1936,1937
124,卓丢儿,PERSON,1940,1941
125,第三,ORDINAL,1953,1954
126,卓,PERSON,1958,1959
127,西门庆,PERSON,2010,2011
128,吴月娘,PERSON,2017,2018
129,九月,DATE,2023,2024
130,初三,DATE,2030,2031
131,两,INTEGER,2050,2051
132,两,INTEGER,2057,2058
133,吴月娘,PERSON,2083,2084
134,卓,PERSON,2135,2136
135,西门庆,PERSON,2155,2156
136,谢子纯,PERSON,2207,2208
137,明日,DATE,2254,2255
138,吴月娘,PERSON,2263,2264
139,西门庆,PERSON,2307,2308
140,应,PERSON,2329,2330
141,西门庆,PERSON,2361,2362
142,玳安儿,PERSON,2368,2369
143,应,PERSON,2375,2376
144,谢,PERSON,2378,2379
145,西门庆,PERSON,2388,2389
146,两,INTEGER,2399,2400
147,应伯爵,PERSON,2414,2416
148,谢,PERSON,2457,2458
149,谢希大,PERSON,2459,2460
150,西门庆,PERSON,2462,2463
151,西门庆,PERSON,2483,2484
152,希大,PERSON,2526,2527
153,西门庆,PERSON,2542,2543
154,两,INTEGER,2567,2568
155,西门庆因,PERSON,2581,2582
156,两,INTEGER,2587,2588
157,昨日,DATE,2598,2599
158,李,PERSON,2601,2602
159,二,ORDINAL,2613,2614
160,桂卿,PERSON,2617,2618
161,桂姐儿,PERSON,2622,2624
162,明日,DATE,2640,2641
163,昨日,DATE,2653,2654
164,二爹,ORDINAL,2662,2664
165,西门庆,PERSON,2685,2686
166,谢希大,PERSON,2702,2703
167,西门庆,PERSON,2719,2720
168,昨日,DATE,2723,2724
169,几,INTEGER,2730,2731
170,卜志道,PERSON,2746,2747
171,承哥,PERSON,2779,2781
172,西门庆,PERSON,2817,2818
173,谢希大,PERSON,2868,2869
174,十,INTEGER,2882,2883
175,向伯爵,PERSON,2895,2897
176,初三,DATE,2902,2903
177,西门庆,PERSON,2931,2932
178,西门庆,PERSON,3093,3094
179,谢希大,PERSON,3114,3115
180,十,INTEGER,3121,3122
181,卜志道,PERSON,3127,3128
182,西门庆,PERSON,3138,3139
183,花,PERSON,3150,3151
184,花,PERSON,3155,3156
185,应伯爵,PERSON,3206,3208
186,吴银儿,PERSON,3221,3222
187,花子虚,PERSON,3223,3224
188,西门庆,PERSON,3227,3228
189,西门庆,PERSON,3270,3271
190,西门庆,PERSON,3298,3299
191,玳安,PERSON,3302,3303
192,花,PERSON,3317,3318
193,二爹,ORDINAL,3318,3320
194,初三,DATE,3332,3333
195,十,INTEGER,3337,3338
196,二爹,ORDINAL,3344,3346
197,二爹,ORDINAL,3364,3366
198,二娘,ORDINAL,3373,3375
199,玳安,PERSON,3378,3379
200,希大,PERSON,3404,3405
201,两,INTEGER,3412,3413
202,个,LOCATION,3413,3414
203,永福寺,LOCATION,3419,3420
204,玉皇庙,LOCATION,3424,3425
205,两,INTEGER,3427,3428
206,个,LOCATION,3428,3429
207,西门庆,PERSON,3438,3439
208,玉皇庙,LOCATION,3464,3465
209,吴道官,PERSON,3465,3466
210,永福寺,LOCATION,3491,3492
211,谢,PERSON,3495,3496
212,希,PERSON,3509,3510
213,玳安,PERSON,3534,3535
214,西门庆,PERSON,3541,3542
215,二爹,ORDINAL,3546,3548
216,二娘,ORDINAL,3554,3556
217,二娘,ORDINAL,3558,3560
218,西门爹,PERSON,3573,3575
219,二爹,ORDINAL,3577,3579
220,两,INTEGER,3615,3616
221,西门庆,PERSON,3622,3623
222,谢,PERSON,3625,3626
223,二,INTEGER,3626,3627
224,二,INTEGER,3654,3655
225,吴道官,PERSON,3685,3686
226,西门庆,PERSON,3690,3691
227,应伯爵,PERSON,3712,3714
228,西门庆,PERSON,3732,3733
229,希大,PERSON,3757,3758
230,四,DURATION,3769,3770
231,十月初一,DATE,3775,3777
232,西门庆,PERSON,3779,3780
233,西门庆,PERSON,3817,3818
234,西门爹,PERSON,3842,3844
235,西门爹,PERSON,3847,3849
236,初三,DATE,3876,3877
237,明日爹,DATE,3903,3905
238,西门庆,PERSON,3924,3925
239,两,FRACTION,3938,3939
240,吴月娘,PERSON,3988,3989
