,text,start_token,end_token
1,陆孝廉,2,3
5,咸丰,57,58
13,同治,137,138
26,黄文载,355,356
30,王慈源,365,366
34,金,382,383
35,汮,384,385
41,苏东坡,472,473
42,李太白,474,475
44,培根,482,483
46,卢骚,486,487
51,潘,538,539
52,曾奇,541,542
53,胜芝,544,545
55,钱,560,561
56,端敏,563,564
57,唐卿,566,567
58,陆,582,583
59,仁祥,585,586
60,菶如,588,589
63,唐卿,607,608
64,菶如,613,614
67,潘胜芝,626,627
77,金雯青,674,675
78,钱唐卿,688,689
82,胜芝,725,726
83,唐卿,735,736
87,张书勋,755,756
88,陈初哲,757,758
89,石琢堂,759,760
90,潘芝轩,761,762
92,钱湘舲,770,771
94,嘉庆,777,778
95,吴廷琛,784,785
96,吴信中,786,787
101,吴钟骏,828,829
102,崧甫,829,830
103,咸丰,857,858
105,唐卿,882,883
106,潘八瀛先生,908,910
110,菶如,959,960
111,雯青,984,985
117,胜芝,1050,1051
120,僧格林沁,1090,1091
121,阿拉喜崇阿,1092,1093
122,胜芝,1096,1097
123,唐卿,1101,1102
124,肇廷兄,1109,1111
125,菶如,1155,1156
126,玨斋兄,1172,1174
127,肇廷,1179,1180
130,谢山芝,1205,1206
132,珠,1209,1210
133,菶如,1220,1221
134,肇廷,1235,1236
135,唐卿,1239,1240
136,玨斋,1242,1243
138,菶如,1264,1265
139,菶如,1282,1283
142,雯青兄,1294,1296
156,玨斋,1395,1396
158,莫友芝,1418,1419
159,汤埙伯,1422,1423
162,姚凤生,1442,1443
163,杨咏春,1446,1447
164,任阜长,1450,1451
165,唐卿,1462,1463
168,那胜芝,1527,1528
172,徐,1577,1578
173,文贞,1579,1580
174,文贞,1583,1584
179,肇廷,1649,1650
180,雯青,1654,1655
182,菶如,1671,1672
185,」胜芝,1683,1684
195,孔夫子,1743,1744
196,言次,1755,1756
198,胜芝,1766,1767
199,肇廷,1789,1790
200,菶如,1793,1794
201,聘珠,1795,1796
202,菶如,1811,1812
203,唐卿,1816,1817
204,玨斋,1818,1819
205,肇廷,1833,1834
207,玨,1865,1866
208,何,1868,1869
209,太真,1871,1872
210,程,1876,1877
211,朱,1878,1879
212,唐卿,1883,1884
213,肇廷,1897,1898
214,唐卿,1903,1904
215,玨斋,1905,1906
216,菶如,1917,1918
217,雯青,1923,1924
