,text,cat,start_token,end_token
0,第二,ORDINAL,0,1
1,陆孝廉,PERSON,2,3
2,金阊金殿,LOCATION,5,7
3,清朝,DATE,13,14
4,中国,LOCATION,20,21
5,咸丰,PERSON,57,58
6,金田,DATE,64,65
7,十,DURATION,90,91
8,十,INTEGER,96,97
9,几,INTEGER,97,98
10,清朝同治,DATE,112,114
11,五年,ORGANIZATION,114,116
12,清国,DATE,126,127
13,同治,PERSON,137,138
14,苏,LOCATION,186,187
15,松,LOCATION,188,189
16,常,LOCATION,190,191
17,镇,LOCATION,192,193
18,太,LOCATION,194,195
19,几,INTEGER,195,196
20,苏州,LOCATION,209,210
21,戊辰,DATE,220,221
22,芦沟桥,LOCATION,295,296
23,桑干河,LOCATION,299,300
24,三月,DATE,342,343
25,第三,ORDINAL,352,353
26,黄文载,PERSON,355,356
27,山西,LOCATION,358,359
28,稷山,LOCATION,359,360
29,第二,ORDINAL,362,363
30,王慈源,PERSON,365,366
31,湖南,LOCATION,368,369
32,善化,LOCATION,369,370
33,第一,ORDINAL,372,373
34,金,PERSON,382,383
35,汮,PERSON,384,385
36,江苏,LOCATION,387,388
37,吴县,LOCATION,388,389
38,地球,LOCATION,411,412
39,中国,LOCATION,418,419
40,京,LOCATION,444,445
41,苏东坡,PERSON,472,473
42,李太白,PERSON,474,475
43,英国,LOCATION,480,481
44,培根,PERSON,482,483
45,法国,LOCATION,484,485
46,卢骚,PERSON,486,487
47,苏州,LOCATION,496,497
48,玄妙观,LOCATION,498,499
49,雅聚园茶坊,ORGANIZATION,509,511
50,三,INTEGER,516,517
51,潘,PERSON,538,539
52,曾奇,PERSON,541,542
53,胜芝,PERSON,544,545
54,苏州,LOCATION,547,548
55,钱,PERSON,560,561
56,端敏,PERSON,563,564
57,唐卿,PERSON,566,567
58,陆,PERSON,582,583
59,仁祥,PERSON,585,586
60,菶如,PERSON,588,589
61,三,INTEGER,598,599
62,苏州,LOCATION,602,603
63,唐卿,PERSON,607,608
64,菶如,PERSON,613,614
65,三,INTEGER,618,619
66,港,LOCATION,624,625
67,潘胜芝,PERSON,626,627
68,苏州,LOCATION,632,633
69,本朝,DATE,638,639
70,九十七,INTEGER,644,645
71,江苏,LOCATION,648,649
72,五十五,INTEGER,651,652
73,五十五,INTEGER,655,656
74,苏州,LOCATION,660,661
75,十五,INTEGER,667,668
76,圆峤巷,LOCATION,672,673
77,金雯青,PERSON,674,675
78,钱唐卿,PERSON,688,689
79,东吴,DATE,696,697
80,苏州,LOCATION,704,705
81,苏州状元,LOCATION,713,715
82,胜芝,PERSON,725,726
83,唐卿,PERSON,735,736
84,本朝,DATE,739,740
85,乾隆,DATE,743,744
86,苏州状元,LOCATION,747,749
87,张书勋,PERSON,755,756
88,陈初哲,PERSON,757,758
89,石琢堂,PERSON,759,760
90,潘芝轩,PERSON,761,762
91,两,INTEGER,765,766
92,钱湘舲,PERSON,770,771
93,三,INTEGER,772,773
94,嘉庆,PERSON,777,778
95,吴廷琛,PERSON,784,785
96,吴信中,PERSON,786,787
97,两,INTEGER,787,788
98,十六,INTEGER,792,793
99,苏州,LOCATION,812,813
100,道光,DATE,823,824
101,吴钟骏,PERSON,828,829
102,崧甫,PERSON,829,830
103,咸丰,PERSON,857,858
104,五,INTEGER,867,868
105,唐卿,PERSON,882,883
106,潘八瀛先生,PERSON,908,910
107,广陵,ORGANIZATION,922,923
108,苏州,LOCATION,926,927
109,苏州,LOCATION,955,956
110,菶如,PERSON,959,960
111,雯青,PERSON,984,985
112,去年,DATE,1010,1011
113,元,DATE,1019,1020
114,奇渥温,LOCATION,1024,1025
115,木华黎,LOCATION,1026,1027
116,秃秃,LOCATION,1028,1029
117,胜芝,PERSON,1050,1051
118,元朝,DATE,1068,1069
119,大清,DATE,1075,1076
120,僧格林沁,PERSON,1090,1091
121,阿拉喜崇阿,PERSON,1092,1093
122,胜芝,PERSON,1096,1097
123,唐卿,PERSON,1101,1102
124,肇廷兄,PERSON,1109,1111
125,菶如,PERSON,1155,1156
126,玨斋兄,PERSON,1172,1174
127,肇廷,PERSON,1179,1180
128,今儿,DATE,1203,1204
129,晚上,TIME,1204,1205
130,谢山芝,PERSON,1205,1206
131,仓桥,LOCATION,1207,1208
132,珠,PERSON,1209,1210
133,菶如,PERSON,1220,1221
134,肇廷,PERSON,1235,1236
135,唐卿,PERSON,1239,1240
136,玨斋,PERSON,1242,1243
137,两,INTEGER,1257,1258
138,菶如,PERSON,1264,1265
139,菶如,PERSON,1282,1283
140,上海,LOCATION,1287,1288
141,前日,DATE,1290,1291
142,雯青兄,PERSON,1294,1296
143,上海,LOCATION,1301,1302
144,苏州,LOCATION,1332,1333
145,丹桂茶园,LOCATION,1348,1350
146,金桂轩,LOCATION,1351,1352
147,同兴,ORGANIZATION,1359,1360
148,同新,ORGANIZATION,1361,1362
149,徽,LOCATION,1363,1364
150,新新楼,ORGANIZATION,1367,1368
151,复新园,LOCATION,1369,1370
152,英,LOCATION,1372,1373
153,法,LOCATION,1373,1374
154,杏花楼,ORGANIZATION,1377,1378
155,同香楼,ORGANIZATION,1379,1380
156,玨斋,PERSON,1395,1396
157,上海,LOCATION,1400,1401
158,莫友芝,PERSON,1418,1419
159,汤埙伯,PERSON,1422,1423
160,洛阳纸贵,LOCATION,1426,1427
161,苏府,LOCATION,1440,1441
162,姚凤生,PERSON,1442,1443
163,杨咏春,PERSON,1446,1447
164,任阜长,PERSON,1450,1451
165,唐卿,PERSON,1462,1463
166,上海,LOCATION,1466,1467
167,前天,DATE,1472,1473
168,那胜芝,PERSON,1527,1528
169,上海,LOCATION,1566,1567
170,宝善街,LOCATION,1571,1572
171,前明,DATE,1576,1577
172,徐,PERSON,1577,1578
173,文贞,PERSON,1579,1580
174,文贞,PERSON,1583,1584
175,埔,LOCATION,1593,1594
176,宝善街,LOCATION,1623,1624
