,text,cat,start_token,end_token
0,清明節,DATE,5,6
1,雲普叔,PERSON,22,24
2,曹氏,PERSON,27,29
3,冬天,DATE,39,40
4,去年,DATE,114,115
5,秋兒,PERSON,151,152
6,驚蟄,DATE,157,158
7,清明,DATE,167,168
8,去年,DATE,184,185
9,雲普,PERSON,189,190
10,四喜兒,PERSON,199,200
11,立春,DATE,211,212
12,三十,INTEGER,216,217
13,春分,DATE,237,238
14,雲普叔,PERSON,261,263
15,雲普,PERSON,293,294
16,半天,DURATION,297,298
17,春分,DATE,318,319
18,年,ORGANIZATION,329,330
19,甲子年,ORGANIZATION,331,333
20,丙寅年,DATE,334,336
21,春天,DATE,337,338
22,今年,DATE,349,350
23,雲普叔,PERSON,360,362
24,今年,DATE,372,373
25,關帝,PERSON,385,386
26,今年,DATE,398,399
27,六,INTEGER,406,407
28,七,INTEGER,407,408
29,雲普叔,PERSON,413,415
30,寅,ORGANIZATION,459,460
31,庚午,DATE,466,467
32,去年,DATE,481,482
33,雲普叔,PERSON,487,489
34,去年,DATE,496,497
35,雲普叔,PERSON,498,500
36,八,INTEGER,503,504
37,今年,DATE,509,510
38,六,INTEGER,514,515
39,雲普,PERSON,518,519
40,立秋,PERSON,524,525
41,二十,AGE,525,526
42,雲普叔,PERSON,530,532
43,二,ORDINAL,535,536
44,少普,PERSON,537,538
45,十四,AGE,538,539
46,雲普叔,PERSON,548,550
47,英英,PERSON,553,554
48,四喜兒,PERSON,571,572
49,雲普,PERSON,577,578
50,六,AGE,582,583
51,去年八月,DATE,589,591
52,雲普叔,PERSON,623,625
53,雲普叔,PERSON,632,634
54,去年,DATE,677,678
55,去年,DATE,682,683
56,雲普叔,PERSON,685,686
57,何八爺,PERSON,707,708
58,七,AREA,708,709
59,何,PERSON,739,740
60,一,INTEGER,758,759
61,兩,INTEGER,759,760
62,雲普叔,PERSON,774,776
63,何,PERSON,789,790
64,二月,DATE,795,796
65,雲普叔,PERSON,798,800
66,春秋,DATE,814,815
67,二,INTEGER,815,816
68,何,PERSON,832,833
69,三,INTEGER,847,848
70,雲普叔,PERSON,851,853
71,三,INTEGER,855,856
72,雲普叔,PERSON,870,872
73,三日,DURATION,934,935
74,雲普叔,PERSON,948,950
75,第二,DATE,980,981
76,半天,DURATION,1004,1005
77,雲普叔,PERSON,1015,1017
78,午後,TIME,1045,1046
79,雲普叔,PERSON,1053,1055
80,千,WEIGHT,1063,1064
81,晚上,TIME,1071,1072
82,雲普叔,PERSON,1113,1115
83,立秋兒,PERSON,1131,1132
84,雲普叔,PERSON,1145,1147
85,小二,PERSON,1149,1150
86,西水,LOCATION,1153,1154
87,南水,LOCATION,1155,1156
88,曹家壟,LOCATION,1163,1164
89,雲普叔,PERSON,1183,1185
90,黑夜,TIME,1190,1191
91,四,INTEGER,1199,1200
92,五,INTEGER,1200,1201
93,十,DURATION,1201,1202
94,立秋,PERSON,1240,1241
95,雲普叔,PERSON,1261,1263
96,萬,INTEGER,1278,1279
97,立秋,PERSON,1289,1290
98,雲普叔,PERSON,1293,1295
99,三十幾,LENGTH,1321,1322
100,曹,PERSON,1328,1329
101,雲普叔,PERSON,1342,1344
102,雲普叔,PERSON,1395,1397
103,去年五月,DATE,1411,1413
104,六月,DATE,1425,1426
105,寧鄉,LOCATION,1444,1445
106,半,FRACTION,1456,1457
107,三萬,MONEY,1469,1470
108,何八爺,PERSON,1485,1486
109,七十,INTEGER,1491,1492
110,雲普叔,PERSON,1499,1501
111,三,MONEY,1510,1511
112,五,MONEY,1515,1516
113,八,INTEGER,1520,1521
114,何,PERSON,1541,1542
115,八月,DATE,1551,1552
116,華家堤,LOCATION,1553,1554
117,雲普叔,PERSON,1571,1573
118,立秋,PERSON,1575,1576
119,兩,INTEGER,1578,1579
120,三,INTEGER,1579,1580
121,兩,DURATION,1586,1587
122,雲普,PERSON,1589,1590
123,六,AGE,1600,1601
124,何,PERSON,1618,1619
125,雲普叔,PERSON,1644,1646
126,四個月,ORGANIZATION,1658,1661
127,年底,DATE,1665,1666
128,去年,DATE,1673,1674
129,兩,INTEGER,1715,1716
130,雲普叔,PERSON,1720,1722
131,立秋,PERSON,1723,1724
132,少普,PERSON,1727,1728
133,雲普,PERSON,1729,1730
134,英英,PERSON,1732,1733
135,三十,DURATION,1764,1765
136,今年,DATE,1795,1796
137,去年,DATE,1800,1801
