,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,w,ns,n,w,m,q,w,t,ns,n,v,w,v,v,t,t,t,n,v,n,v,ns,ns,t,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r,d,m,q,n,c,p,n,u,n,v,u,n,d,p,v,r,u,n,v,u,v,r,u,n,d,v,n,n,d,v,n,n,v,v,m,n,,,,,,,,,,,,,,,,,,,,,,
3,v,v,w,n,v,w,f,v,p,r,x,v,p,n,f,v,w,n,nr,d,d,v,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,c,nr,r,d,c,d,v,c,r,n,u,n,f,c,v,n,v,w,r,t,v,p,r,a,u,a,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,d,r,d,v,i,u,n,n,v,r,v,v,v,r,v,d,r,w,nz,w,u,n,c,ns,u,m,q,n,n,u,a,u,n,d,v,nr,d,a,,,,,,,,,,,,,,,,,,,,,
6,r,d,d,v,v,v,v,u,w,v,w,n,w,w,w,nr,w,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,c,w,w,a,a,n,w,w,n,d,v,w,r,d,v,a,v,x,w,d,p,r,f,m,n,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,c,w,m,v,a,u,n,w,d,d,r,n,n,w,r,d,v,r,v,n,w,r,v,w,d,v,p,r,n,u,w,v,r,d,v,n,n,u,n,,,,,,,,,,,,,,,,,,,,
9,v,n,c,n,f,w,n,f,d,v,m,q,n,w,v,w,n,f,w,w,p,d,v,v,u,a,f,w,v,r,n,w,n,w,v,v,n,w,n,n,w,n,n,w,w,c,d,v,s,u,v,u,a,c,a,u,n,d,r
10,c,v,d,v,n,v,w,d,d,v,x,w,p,w,v,w,w,c,d,v,n,u,n,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,nr,n,u,nr,n,n,w,r,v,r,n,v,u,a,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r,c,n,n,n,n,n,n,c,r,d,v,u,n,w,d,v,m,q,w,d,v,w,d,v,w,v,d,d,v,v,r,m,q,,,,,,,,,,,,,,,,,,,,,,,,,
