,sent,start_idx,end_idx,type,string
0,1,1,2,LOC,中国
1,1,16,17,LOC,上海
2,1,27,28,ORG,辛亥
3,1,29,30,ORG,九月
4,1,34,35,LOC,杭州
5,1,42,42,LOC,﹐
6,1,46,47,ORG,即日
7,2,44,44,ORG,时
8,4,31,32,ORG,先前
9,11,1,1,ORG,古
10,13,12,13,ORG,当初
11,13,20,21,ORG,现在
12,15,59,60,ORG,昨天
13,16,14,14,ORG,时
14,16,39,39,ORG,时
15,18,0,1,ORG,最初
16,18,6,6,ORG,时
17,19,19,20,LOC,上海
18,19,22,23,ORG,同日
19,19,26,27,LOC,香山
20,20,9,10,LOC,山东
21,20,11,11,LOC,峄
22,20,23,24,LOC,平阳
23,20,26,27,LOC,瑞安
24,20,29,30,LOC,南昌
25,20,32,33,LOC,福建
26,20,49,49,LOC,峄
27,20,52,53,LOC,济南
28,20,55,56,LOC,烟台
29,23,4,5,ORG,最初
30,29,18,18,ORG,明
31,33,12,12,ORG,日
32,33,14,15,ORG,晌午
33,33,16,17,ORG,前后
34,33,45,46,ORG,连日
35,40,3,4,ORG,大唐
36,40,20,21,ORG,现在
37,43,16,17,ORG,今日
38,44,6,7,ORG,顷刻
39,47,3,5,LOC,萨克森
40,47,9,11,LOC,地中海
41,47,15,17,LOC,意大利
42,47,22,22,ORG,时
43,47,24,25,ORG,清早
44,50,14,15,ORG,明天
45,51,12,13,ORG,八月
46,53,19,21,ORG,不一会
47,55,25,26,ORG,今天
48,55,55,56,ORG,之后
49,57,0,1,ORG,近来
50,59,20,21,ORG,现在
51,61,2,3,ORG,年纪
52,66,2,3,LOC,青岛
53,67,6,6,ORG,时
54,68,2,3,LOC,云南
55,68,5,6,LOC,越南
56,68,12,13,ORG,前后
57,69,7,8,ORG,晚上
58,69,11,12,ORG,多年
59,74,30,31,ORG,之后
60,75,31,32,ORG,立秋
61,75,35,35,ORG,时
62,76,32,33,ORG,明儿
63,79,34,35,LOC,东府
64,79,37,37,LOC,蓉
65,80,25,26,ORG,一时
66,81,10,11,ORG,当下
67,82,21,22,ORG,今日
68,87,10,11,ORG,顷刻
69,87,13,14,LOC,东洋
70,92,0,1,ORG,此时
71,95,19,20,ORG,终日
72,96,45,46,ORG,过去
73,97,7,8,LOC,英国
74,97,16,17,LOC,日本
