,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,"('《', 'w')","('中国', 'ns')","('革命记', 'n')","('》', 'w')","('第三', 'm')","('册', 'q')","('（', 'w')","('一九一一年', 't')","('上海', 'ns')","('自由社', 'n')","('编印', 'v')","('）', 'w')","('记载', 'v')","('﹕', 'v')","('辛亥', 't')","('九月', 't')","('十四日', 't')","('杭州府', 'n')","('为', 'v')","('民军', 'n')","('占领', 'v')","('﹐绍', 'ns')","('兴府', 'ns')","('即日', 't')","('宣布', 'v')","('光复', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('刚刚', 'd')","('一', 'm')","('跄', 'q')","('踉﹐', 'n')","('那', 'c')","('用', 'p')","('整株', 'n')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('栅栏门', 'n')","('便', 'd')","('跟', 'p')","('¨', 'v')","('他', 'r')","('的', 'u')","('脚跟', 'n')","('阖上', 'v')","('了', 'u')","('﹐', 'v')","('其余', 'r')","('的', 'u')","('三面', 'n')","('都', 'd')","('是', 'v')","('墙壁', 'n')","('﹐', 'n')","('仔细', 'ad')","('看', 'v')","('时', 'n')","('﹐屋角', 'n')","('上', 'v')","('还有', 'v')","('两', 'm')","('个人', 'n')",,,,,,,,,,,,,,,,,,,,,,
3,"('说', 'v')","('是', 'v')","('〈', 'w')","('外传', 'n')","('〉﹐', 'v')","('〈', 'w')","('内', 'f')","('传〉', 'v')","('在', 'p')","('那里', 'r')","('呢', 'y')","('﹖倘', 'v')","('用', 'p')","('〈', 'n')","('内', 'f')","('传', 'v')","('〉', 'w')","('﹐', 'n')","('阿Ｑ', 'nr')","('又', 'd')","('决不', 'd')","('是', 'v')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿Ｑ', 'nr')","('自己', 'r')","('也', 'd')","('不说', 'c')","('﹐独', 'd')","('有', 'v')","('和', 'c')","('别人', 'r')","('口角', 'n')","('的', 'u')","('时候', 'n')","('﹐间', 'f')","('或', 'c')","('瞪著', 'v')","('眼睛', 'n')","('道﹕', 'v')","('“', 'w')","('我们', 'r')","('先前', 't')","('──', 'v')","('比', 'p')","('你', 'r')","('阔', 'a')","('的', 'u')","('多', 'a')","('啦', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('殊不料', 'd')","('这', 'r')","('却', 'd')","('使', 'v')","('百里闻名', 'i')","('的', 'u')","('举人', 'n')","('老爷', 'n')","('有', 'v')","('这样', 'r')","('怕', 'v')","('﹐于', 'v')","('是', 'v')","('他', 'r')","('未免', 'v')","('也', 'd')","('有些', 'r')","('〈', 'w')","('神往', 'nz')","('〉', 'w')","('了', 'u')","('﹐况', 'n')","('且', 'c')","('未庄', 'ns')","('的', 'u')","('一', 'm')","('群', 'q')","('鸟', 'n')","('男女', 'n')","('的', 'u')","('慌张', 'a')","('的', 'u')","('神情﹐', 'n')","('也', 'd')","('使', 'v')","('阿Ｑ', 'nr')","('更', 'd')","('快意', 'a')",,,,,,,,,,,,,,,,,,,,,
6,"('其中', 'r')","('自然', 'd')","('也', 'd')","('有', 'v')","('可以', 'v')","('勉力', 'v')","('仿效', 'v')","('的', 'u')","('，', 'w')","('如', 'v')","('“', 'w')","('子路负米', 'n')","('”', 'w')","('，', 'w')","('“', 'w')","('黄香扇枕', 'nr')","('”', 'w')","('之类', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，', 'w')","('“', 'w')","('活', 'a')","('无常', 'a')","('学者', 'n')","('”', 'w')","('，', 'w')","('名称', 'n')","('不大', 'd')","('冠冕', 'v')","('，', 'w')","('我', 'r')","('不', 'd')","('想', 'v')","('干', 'a')","('下去', 'v')","('了', 'y')","('，', 'w')","('只', 'd')","('在', 'p')","('这里', 'r')","('下', 'f')","('一个', 'm')","('武断', 'n')","('：', 'w')","('－－', 'w')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，', 'w')","('一个', 'm')","('是', 'v')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'w')","('只是', 'd')","('很', 'd')","('有些', 'r')","('村', 'n')","('妇样', 'n')","('，', 'w')","('大家', 'r')","('都', 'd')","('称', 'v')","('她', 'r')","('无', 'v')","('常嫂', 'n')","('；', 'w')","('这样', 'r')","('看来', 'v')","('，', 'w')","('无常', 'd')","('是', 'v')","('和', 'p')","('我们', 'r')","('平辈', 'n')","('的', 'u')","('，', 'w')","('无怪', 'v')","('他', 'r')","('不', 'd')","('摆', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍庙', 'n')","('或', 'c')","('东岳庙', 'n')","('中', 'f')","('，', 'w')","('大殿', 'n')","('后面', 'f')","('就', 'd')","('有', 'v')","('一', 'm')","('间', 'q')","('暗室', 'n')","('，', 'w')","('叫作', 'v')","('“', 'w')","('阴司', 'n')","('间', 'f')","('”', 'w')","('，', 'w')","('在', 'p')","('才', 'd')","('可', 'v')","('辨色', 'v')","('的', 'u')","('昏暗', 'a')","('中', 'f')","('，', 'w')","('塑著', 'v')","('各种', 'r')","('鬼', 'n')","('：', 'w')","('吊死鬼', 'n')","('、', 'w')","('跌', 'v')","('死', 'v')","('鬼', 'n')","('、', 'w')","('虎', 'n')","('伤鬼', 'n')","('、', 'w')","('科场', 'n')","('鬼', 'n')","('，', 'w')","('……', 'w')","('而', 'c')","('一', 'd')","('进', 'v')","('门口', 's')","('所', 'u')","('看见', 'v')","('的', 'u')","('长', 'a')","('而', 'c')","('白', 'a')","('的', 'u')","('东西', 'n')","('就是', 'd')","('他', 'r')"
10,"('但是', 'c')","('哭', 'v')","('不', 'd')","('出', 'v')","('笋', 'n')","('来', 'v')","('，', 'w')","('还', 'd')","('不过', 'd')","('抛脸', 'v')","('而已', 'y')","('，', 'w')","('到', 'p')","('“', 'w')","('卧冰求鲤', 'v')","('”', 'w')","('，', 'w')","('可', 'c')","('就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'n')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"('\uf7a2古久', 'nr')","('先生', 'n')","('的', 'u')","('陈年', 'nr')","('流水', 'n')","('簿子', 'n')","('：', 'w')","('这里', 'r')","('比喻', 'v')","('我国', 'r')","('封建主义', 'n')","('统治', 'v')","('的', 'u')","('长久', 'a')","('历史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
