,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,"('《', 'w')","('中國革命記', 'nw')","('》', 'w')","('第三冊', 'n')","('（', 'v')","('一九一一年', 'm')","('上海自由社', 'ORG')","('編印', 'v')","('）記載﹕辛亥', 'nr')","('九月十四日', 'TIME')","('杭州府為民軍佔領﹐紹興府', 'nt')","('即日', 'TIME')","('宣佈', 'v')","('光復', 'PER')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('剛剛', 'v')","('一蹌', 'm')","('踉﹐', 'v')","('那', 'r')","('用', 'v')","('整', 'a')","('株', 'q')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('柵欄門', 'nr')","('便', 'd')","('跟', 'p')","('¨', 'w')","('他', 'r')","('的', 'u')","('腳', 'n')","('跟', 'p')","('闔', 'nr')","('上', 'v')","('了', 'u')","('﹐', 'v')","('其', 'r')","('餘', 'v')","('的', 'u')","('三面', 'n')","('都是', 'v')","('牆壁﹐仔細看時﹐', 'nz')","('屋角', 'n')","('上', 'f')","('還有', 'v')","('兩個', 'nr')","('人', 'n')",,,,,,,,,,
3,"('說', 'n')","('是', 'v')","('〈外傳〉﹐〈內傳〉', 'nz')","('在', 'p')","('那裡', 'r')","('呢', 'xc')","('﹖倘', 'PER')","('用', 'p')","('〈內傳〉﹐', 'nr')","('阿Ｑ', 'PER')","('又', 'd')","('決', 'v')","('不是', 'v')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿Ｑ', 'PER')","('自己', 'r')","('也', 'd')","('不', 'd')","('說', 'v')","('﹐獨', 'nr')","('有', 'v')","('和', 'c')","('別', 'v')","('人口', 'n')","('角', 'n')","('的', 'u')","('時候', 'n')","('﹐間', 'v')","('或', 'c')","('瞪', 'v')","('著', 'u')","('眼睛', 'n')","('道', 'v')","('﹕“', 'nr')","('我們', 'v')","('先前', 't')","('──', 'nz')","('比', 'p')","('你', 'r')","('闊', 'v')","('的', 'u')","('多', 'a')","('啦', 'xc')",,,,,,,,,,,,,,,
5,"('殊不料', 'v')","('這卻', 'nr')","('使', 'v')","('百里', 'm')","('聞名', 'v')","('的', 'u')","('舉人', 'n')","('老爺', 'nr')","('有', 'v')","('這樣', 'nr')","('怕', 'v')","('﹐', 'n')","('於', 'v')","('是', 'v')","('他', 'r')","('未免', 'd')","('也', 'd')","('有些', 'd')","('〈神', 'v')","('往', 'p')","('〉', 'v')","('了', 'u')","('﹐況', 'nr')","('且', 'c')","('未', 'd')","('莊', 'v')","('的', 'u')","('一群鳥', 'm')","('男女', 'n')","('的', 'u')","('慌張', 'n')","('的', 'u')","('神情', 'n')","('﹐', 'n')","('也', 'd')","('使', 'v')","('阿Ｑ', 'PER')","('更', 'd')","('快意', 'a')",,,,,,
6,"('其中', 'f')","('自然', 'ad')","('也有', 'v')","('可以', 'v')","('勉力', 'd')","('仿效', 'v')","('的', 'u')","('，', 'n')","('如', 'v')","('“子路負米”，“黃香扇枕”之類', 'nz')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，“活無常學者”，名稱不大冠冕，', 'nz')","('我', 'r')","('不', 'd')","('想', 'v')","('幹', 'v')","('下去', 'v')","('了', 'u')","('，', 'n')","('只', 'd')","('在', 'p')","('這裏', 'nr')","('下', 'f')","('一個', 'm')","('武斷：', 'PER')","('－－', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，一個', 'nr')","('是', 'v')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'v')","('只是', 'd')","('很', 'd')","('有些', 'r')","('村', 'n')","('婦樣', 'v')","('，', 'v')","('大家', 'r')","('都', 'd')","('稱', 'v')","('她', 'r')","('無常嫂；這樣看來，無', 'nr')","('常', 'd')","('是', 'v')","('和', 'p')","('我們平輩', 'nr')","('的', 'u')","('，無', 'nr')","('怪', 'v')","('他', 'r')","('不', 'd')","('擺', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍廟', 'PER')","('或', 'c')","('東嶽廟', 'nz')","('中', 'f')","('，', 'v')","('大殿', 'n')","('後面', 'n')","('就', 'd')","('有', 'v')","('一間', 'm')","('暗室', 'n')","('，', 'v')","('叫作', 'v')","('“陰司間”，', 'nr')","('在', 'p')","('才', 'd')","('可辨色', 'a')","('的', 'u')","('昏暗', 'an')","('中', 'f')","('，塑', 'v')","('著', 'u')","('各種', 'r')","('鬼：吊死鬼、跌死鬼、虎傷鬼、科場鬼，', 'nz')","('……', 'v')","('而', 'c')","('一進', 'm')","('門口', 'n')","('所', 'u')","('看見', 'v')","('的', 'u')","('長', 'n')","('而', 'c')","('白', 'a')","('的', 'u')","('東西', 'n')","('就是', 'v')","('他', 'r')",,,,,,
10,"('但是', 'c')","('哭', 'v')","('不', 'd')","('出', 'v')","('筍來，還不過拋臉而已', 'nt')","('，', 'v')","('到', 'v')","('“臥冰', 'nr')","('求', 'v')","('鯉', 'v')","('”，', 'nr')","('可', 'd')","('就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'v')","('了', 'xc')",,,,,,,,,,,,,,,,,,,,,,,,,,,
