,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,"('《', 'w')","('中國', 'ns')","('革命', 'vn')","('記', 'Ng')","('》', 'w')","('第三', 'm')","('冊', 'q')","('（', 'w')","('一九一一年', 't')","('上海', 'ns')","('自由社', 'n')","('編印', 'v')","('）', 'w')","('記載', 'v')","('﹕', 'w')","('辛亥', 't')","('九月', 't')","('十四日', 't')","('杭州府', 'ns')","('為', 'p')","('民軍', 'j')","('佔領', 'v')","('﹐', 'w')","('紹興府', 'ns')","('即日', 't')","('宣佈', 'v')","('光復', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('剛剛', 'd')","('一', 'd')","('蹌踉', 'v')","('﹐', 'v')","('那', 'r')","('用', 'p')","('整', 'a')","('株', 'q')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('柵欄門', 'n')","('便', 'd')","('跟', 'v')","('¨', 'v')","('他', 'r')","('的', 'u')","('腳跟', 'n')","('闔', 'v')","('上', 'v')","('了', 'y')","('﹐', 'm')","('其餘', 'r')","('的', 'u')","('三', 'm')","('面', 'q')","('都', 'd')","('是', 'v')","('牆壁', 'n')","('﹐', 'm')","('仔細', 'ad')","('看', 'v')","('時', 'Ng')","('﹐', 'nx')","('屋角', 'n')","('上', 'f')","('還有', 'v')","('兩', 'm')","('個', 'q')","('人', 'n')",,,,,,,,,,,,,,,,,,,
3,"('說', 'v')","('是', 'v')","('〈', 'w')","('外傳', 'n')","('〉', 'w')","('﹐', 'w')","('〈', 'w')","('內傳', 'n')","('〉', 'w')","('在', 'p')","('那裡', 'r')","('呢', 'y')","('﹖', 'w')","('倘', 'c')","('用', 'v')","('〈', 'w')","('內傳', 'n')","('〉', 'w')","('﹐', 'w')","('阿Ｑ', 'nr')","('又', 'd')","('決', 'd')","('不', 'd')","('是', 'v')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿Ｑ', 'nr')","('自己', 'r')","('也', 'd')","('不', 'd')","('說', 'v')","('﹐', 'nx')","('獨有', 'v')","('和', 'p')","('別人', 'r')","('口角', 'v')","('的', 'u')","('時候', 'n')","('﹐', 'nx')","('間或', 'd')","('瞪', 'v')","('著', 'u')","('眼睛', 'n')","('道', 'v')","('﹕', 'w')","('“', 'w')","('我們', 'r')","('先前', 'f')","('──', 'nx')","('比', 'p')","('你', 'r')","('闊', 'a')","('的', 'u')","('多', 'a')","('啦', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('殊不料', 'd')","('這', 'r')","('卻', 'd')","('使', 'v')","('百', 'm')","('里', 'q')","('聞名', 'v')","('的', 'u')","('舉人', 'n')","('老爺', 'n')","('有', 'v')","('這樣', 'r')","('怕', 'v')","('﹐', 'w')","('於是', 'c')","('他', 'r')","('未免', 'd')","('也', 'd')","('有些', 'r')","('〈', 'w')","('神往', 'v')","('〉', 'w')","('了', 'y')","('﹐', 'w')","('況且', 'c')","('未莊', 'ns')","('的', 'u')","('一', 'm')","('群', 'q')","('鳥', 'n')","('男女', 'n')","('的', 'u')","('慌張', 'a')","('的', 'u')","('神情', 'n')","('﹐', 'w')","('也', 'd')","('使', 'v')","('阿Ｑ', 'nr')","('更', 'd')","('快意', 'n')",,,,,,,,,,,,,,,,,,,,
6,"('其中', 'r')","('自然', 'd')","('也', 'd')","('有', 'v')","('可以', 'v')","('勉力', 'd')","('仿效', 'v')","('的', 'u')","('，', 'w')","('如', 'v')","('“', 'w')","('子路', 'n')","('負', 'v')","('米', 'n')","('”', 'w')","('，', 'w')","('“', 'w')","('黃香', 'nr')","('扇', 'v')","('枕', 'Ng')","('”', 'w')","('之類', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，', 'w')","('“', 'w')","('活', 'v')","('無常', 'a')","('學者', 'n')","('”', 'w')","('，', 'w')","('名稱', 'n')","('不大', 'd')","('冠冕', 'n')","('，', 'w')","('我', 'r')","('不想', 'v')","('幹', 'v')","('下去', 'v')","('了', 'y')","('，', 'w')","('只', 'd')","('在', 'p')","('這裏', 'r')","('下', 'v')","('一個', 'm')","('武斷', 'an')","('：', 'w')","('－', 'w')","('－', 'w')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，', 'w')","('一個', 'm')","('是', 'v')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'w')","('只是', 'c')","('很', 'd')","('有些', 'r')","('村婦', 'n')","('樣', 'Ng')","('，', 'w')","('大家', 'r')","('都', 'd')","('稱', 'v')","('她', 'r')","('無常', 'nr')","('嫂', 'Ng')","('；', 'w')","('這樣', 'r')","('看來', 'v')","('，', 'w')","('無常', 'd')","('是', 'v')","('和', 'p')","('我們', 'r')","('平輩', 'n')","('的', 'u')","('，', 'w')","('無怪', 'd')","('他', 'r')","('不', 'd')","('擺', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍廟', 'n')","('或', 'c')","('東嶽廟', 'ns')","('中', 'f')","('，', 'w')","('大殿', 'n')","('後面', 'f')","('就', 'd')","('有', 'v')","('一', 'm')","('間', 'q')","('暗室', 'n')","('，', 'w')","('叫作', 'v')","('“', 'w')","('陰司', 'n')","('間', 'Ng')","('”', 'w')","('，', 'w')","('在', 'p')","('才', 'd')","('可', 'v')","('辨色', 'v')","('的', 'u')","('昏暗', 'a')","('中', 'f')","('，', 'w')","('塑', 'v')","('著', 'v')","('各種', 'r')","('鬼', 'n')","('：', 'w')","('吊死', 'vn')","('鬼', 'n')","('、', 'w')","('跌死', 'vn')","('鬼', 'n')","('、', 'w')","('虎', 'n')","('傷', 'v')","('鬼', 'n')","('、', 'w')","('科場鬼', 'n')","('，', 'w')","('…', 'w')","('…', 'w')","('而', 'c')","('一', 'd')","('進', 'v')","('門口', 's')","('所', 'u')","('看見', 'v')","('的', 'u')","('長', 'a')","('而', 'c')","('白', 'a')","('的', 'u')","('東西', 'n')","('就是', 'v')","('他', 'r')"
10,"('但是', 'c')","('哭', 'v')","('不出', 'v')","('筍', 'n')","('來', 'v')","('，', 'w')","('還', 'd')","('不過', 'd')","('拋臉', 'v')","('而已', 'y')","('，', 'w')","('到', 'v')","('“', 'w')","('臥', 'v')","('冰', 'n')","('求', 'v')","('鯉', 'Ng')","('”', 'w')","('，', 'w')","('可就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'Ng')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
