,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,"('《', 'w')","('中', 'f')","('國', 'v')","('革命記', 'n')","('》', 'w')","('第三', 'm')","('冊', 'q')","('（', 'w')","('一九一一年', 't')","('上海', 'ns')","('自由社', 'n')","('編印', 'nr')","('）', 'w')","('記載', 'n')","('﹕', 'nr')","('辛亥', 'nr')","('九月', 't')","('十四日', 't')","('杭州府', 'ns')","('為民', 'n')","('軍佔', 'v')","('領﹐', 'v')","('紹興府', 'n')","('即日', 't')","('宣佈', 'v')","('光復', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('剛剛', 'v')","('一', 'm')","('蹌', 'q')","('踉﹐', 'n')","('那', 'c')","('用', 'p')","('整株', 'n')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('柵欄', 'n')","('門便', 'v')","('跟¨', 'v')","('他', 'r')","('的', 'u')","('腳', 'n')","('跟', 'p')","('闔上', 'v')","('了', 'u')","('﹐', 'v')","('其', 'r')","('餘', 'n')","('的', 'u')","('三面', 'n')","('都', 'd')","('是', 'v')","('牆壁﹐', 'v')","('仔細', 'n')","('看', 'v')","('時﹐', 'n')","('屋角', 'n')","('上', 'v')","('還', 'n')","('有', 'v')","('兩個人', 'n')",,,,,,,,,,,,,,,,,,,,,,,
3,"('說', 'n')","('是', 'v')","('〈', 'w')","('外傳', 'n')","('〉', 'w')","('﹐', 'v')","('〈', 'w')","('內傳', 'n')","('〉', 'w')","('在', 'p')","('那', 'ns')","('裡', 'n')","('呢', 'y')","('﹖倘', 'v')","('用', 'v')","('〈', 'w')","('內傳', 'n')","('〉', 'w')","('﹐', 'n')","('阿Ｑ', 'nr')","('又', 'd')","('決', 'v')","('不是', 'c')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿Ｑ', 'nr')","('自己', 'r')","('也', 'd')","('不', 'd')","('說', 'v')","('﹐獨', 'n')","('有', 'v')","('和', 'c')","('別人口角', 'n')","('的', 'u')","('時候', 'n')","('﹐間', 'n')","('或', 'c')","('瞪著', 'v')","('眼睛', 'n')","('道﹕', 'v')","('“', 'w')","('我', 'r')","('們', 'v')","('先前', 't')","('──', 'v')","('比', 'p')","('你', 'r')","('闊', 'v')","('的', 'u')","('多', 'a')","('啦', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('殊不料', 'd')","('這卻', 'v')","('使', 'v')","('百里', 'n')","('聞名', 'v')","('的', 'u')","('舉人', 'n')","('老爺', 'n')","('有', 'v')","('這樣', 'n')","('怕', 'v')","('﹐於', 'v')","('是', 'v')","('他', 'r')","('未免', 'v')","('也', 'd')","('有些', 'r')","('〈', 'w')","('神往', 'nz')","('〉', 'w')","('了', 'u')","('﹐況', 'n')","('且', 'c')","('未', 'd')","('莊', 'v')","('的', 'u')","('一', 'm')","('群', 'q')","('鳥', 'v')","('男女', 'n')","('的', 'u')","('慌張', 'a')","('的', 'u')","('神情﹐', 'n')","('也', 'd')","('使', 'v')","('阿Ｑ', 'nr')","('更', 'd')","('快意', 'a')",,,,,,,,,,,,,,,,,,,,,
6,"('其中', 'r')","('自然', 'd')","('也', 'd')","('有', 'v')","('可以', 'v')","('勉力', 'v')","('仿效', 'v')","('的', 'u')","('，', 'w')","('如', 'v')","('“', 'w')","('子路', 'n')","('負米', 'n')","('”', 'w')","('，', 'w')","('“', 'w')","('黃香扇枕', 'v')","('”', 'w')","('之', 'u')","('類', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，', 'w')","('“', 'w')","('活無', 'n')","('常學者', 'n')","('”', 'w')","('，', 'w')","('名稱', 'n')","('不大', 'd')","('冠冕', 'v')","('，', 'w')","('我', 'r')","('不', 'd')","('想', 'v')","('幹', 'v')","('下去', 'v')","('了', 'y')","('，', 'w')","('只', 'd')","('在', 'p')","('這裏', 'v')","('下', 'f')","('一', 'm')","('個', 'q')","('武斷', 'n')","('：', 'w')","('－－', 'w')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，', 'w')","('一', 'm')","('個', 'q')","('是', 'v')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'w')","('只是', 'd')","('很', 'd')","('有些', 'r')","('村', 'n')","('婦樣', 'v')","('，', 'w')","('大家', 'r')","('都', 'd')","('稱', 'v')","('她', 'r')","('無', 'v')","('常嫂', 'nr')","('；', 'w')","('這樣', 'v')","('看來', 'v')","('，', 'w')","('無常', 'd')","('是', 'v')","('和', 'p')","('我', 'r')","('們', 'v')","('平輩', 'a')","('的', 'u')","('，', 'w')","('無怪', 'v')","('他', 'r')","('不', 'd')","('擺', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍廟', 'n')","('或', 'c')","('東嶽', 'v')","('廟', 'n')","('中', 'f')","('，', 'w')","('大殿', 'n')","('後面', 'n')","('就', 'd')","('有', 'v')","('一', 'm')","('間', 'q')","('暗室', 'n')","('，', 'w')","('叫作', 'v')","('“', 'w')","('陰司', 'n')","('間', 'n')","('”', 'w')","('，', 'w')","('在', 'p')","('才', 'd')","('可', 'v')","('辨色', 'v')","('的', 'u')","('昏暗', 'a')","('中', 'f')","('，', 'w')","('塑著', 'v')","('各', 'r')","('種', 'n')","('鬼', 'n')","('：', 'w')","('吊死鬼', 'n')","('、', 'w')","('跌', 'v')","('死', 'v')","('鬼', 'n')","('、', 'w')","('虎', 'n')","('傷鬼', 'n')","('、', 'w')","('科場鬼', 'n')","('，', 'w')","('……', 'w')","('而', 'c')","('一', 'm')","('進', 'q')","('門口', 'n')","('所', 'u')","('看見', 'v')","('的', 'u')","('長', 'n')","('而', 'c')","('白', 'a')","('的', 'u')","('東西', 'nr')","('就是', 'd')","('他', 'r')"
10,"('但是', 'c')","('哭', 'v')","('不', 'd')","('出', 'v')","('筍來', 'n')","('，', 'w')","('還', 'v')","('不', 'd')","('過', 'v')","('拋臉', 'n')","('而已', 'y')","('，', 'w')","('到', 'p')","('“', 'w')","('臥冰求鯉', 'n')","('”', 'w')","('，', 'w')","('可', 'c')","('就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'n')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
