,sent,start_idx,end_idx,type,string
0,1,16,20,ORG,上海自由社
1,1,34,35,LOC,杭州
2,1,43,45,LOC,绍兴府
3,3,23,24,PER,阿Ｑ
4,4,1,2,PER,阿Ｑ
5,5,53,54,PER,阿Ｑ
6,8,26,28,PER,无常嫂
7,8,35,36,PER,无常
8,9,2,4,LOC,城隍庙
9,9,6,8,LOC,东岳庙
10,15,37,39,PER,老子娘
11,16,4,8,PER,赛亚三十三
12,17,0,1,PER,金笔
13,17,6,7,PER,金地
14,19,6,7,PER,锦华
15,19,19,20,LOC,上海
16,19,26,27,LOC,香山
17,20,0,1,LOC,温岭
18,20,9,10,LOC,山东
19,20,11,12,LOC,峄县
20,20,23,24,LOC,平阳
21,20,26,27,LOC,瑞安
22,20,29,30,LOC,南昌
23,20,32,33,LOC,福建
24,20,49,50,LOC,峄县
25,20,52,53,LOC,济南
26,20,55,56,LOC,烟台
27,21,15,17,PER,何八爷
28,26,1,2,PER,贾母
29,27,1,2,PER,紫鹃
30,28,1,2,PER,平儿
31,28,21,21,PER,琏
32,30,2,4,PER,王夫人
33,31,1,3,PER,西门庆
34,31,10,12,PER,孙雪娥
35,31,19,20,PER,月娘
36,32,15,17,PER,陈敬济
37,33,49,51,PER,王干娘
38,34,1,3,PER,张川儿
39,35,1,3,PER,西门庆
40,35,16,18,PER,凌烟阁
41,36,38,39,PER,唐僧
42,37,41,43,PER,唐僧马
43,37,57,59,PER,杨老儿
44,40,3,4,LOC,大唐
45,40,14,16,PER,孙长老
46,40,28,28,PER,王
47,41,28,29,PER,苍头
48,42,0,1,PER,玉狐
49,42,3,4,PER,周生
50,42,31,33,PER,周公子
51,43,14,15,PER,山人
52,43,19,21,PER,施恩惠
53,43,28,31,LOC,金丹大道
54,44,11,13,PER,胡小姐
55,45,2,3,PER,周生
56,45,6,7,PER,玉狐
57,47,3,5,LOC,萨克森
58,47,9,11,LOC,地中海
59,47,15,17,LOC,意大利
60,48,0,1,PER,伯黻
61,48,7,8,PER,笑庵
62,48,21,22,PER,小玉
63,48,30,31,PER,小玉
64,49,2,5,PER,加克奈夫
65,50,1,3,PER,子固道
66,51,36,37,PER,吴妈
67,53,47,48,LOC,未庄
68,54,0,1,PER,阿Ｑ
69,54,35,36,LOC,未庄
70,55,9,10,PER,王胡
71,56,25,26,PER,噜苏
72,64,3,5,PER,李时珍
73,66,2,3,LOC,青岛
74,66,15,16,PER,慕迪
75,66,18,19,PER,斐尼
76,68,2,3,LOC,云南
77,68,5,6,LOC,越南
78,70,0,1,PER,韦德
79,70,3,5,PER,康德馨
80,70,17,18,PER,珍玉
81,71,0,3,PER,八爷信口
82,72,8,10,PER,云普叔
83,72,17,18,PER,英英
84,72,25,27,PER,云普叔
85,74,15,17,PER,玉五叔
86,75,0,1,PER,少普
87,75,9,11,PER,云普叔
88,75,31,32,PER,立秋
89,76,2,5,PER,薛姨妈气
90,76,14,15,PER,宝钗
91,77,0,1,PER,袭人
92,78,2,3,PER,紫鹃
93,78,4,5,PER,雪雁
94,79,0,1,PER,凤姐
95,79,36,37,PER,里蓉
96,80,10,11,PER,倪二
97,81,12,14,PER,傅伙计
98,81,16,17,PER,贲四
99,81,33,34,PER,玳安
100,82,0,2,PER,西门庆
101,82,4,5,PER,玳安
102,82,8,10,PER,文嫂儿
103,82,15,17,PER,王三官
104,82,33,35,PER,朝谢恩
105,83,0,1,PER,敬济
106,83,4,7,PER,陈定染布
107,83,16,17,PER,陈定
108,83,32,34,PER,杨大郎
109,84,1,3,PER,王三官
110,84,6,8,PER,西门庆
111,85,13,16,PER,西门庆立
112,87,13,14,LOC,东洋
113,88,1,2,PER,伯钦
114,90,53,55,PER,王无影
115,91,1,4,PER,周公子闻
116,91,6,8,PER,胡小姐
117,93,2,4,PER,二郎神
118,93,10,11,PER,哪吒
119,93,15,16,PER,带笑
120,97,7,8,LOC,英国
121,97,16,17,LOC,日本
122,99,3,4,PER,菊笑
