,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,"('《', 'w')","('中', 'nd')","('國', 'v')","('革命', 'v')","('記', 'n')","('》', 'w')","('第三', 'm')","('冊', 'n')","('（', 'w')","('一九一一年', 'm')","('上海', 'ns')","('自由', 'a')","('社', 'n')","('編', 'v')","('印', 'n')","('）', 'w')","('記', 'n')","('載', 'n')","('﹕', 'v')","('辛亥', 'nt')","('九月', 'nt')","('十四日', 'm')","('杭州', 'ns')","('府', 'n')","('為', 'v')","('民', 'n')","('軍', 'n')","('佔', 'n')","('領', 'n')","('﹐', 'n')","('紹', 'n')","('興', 'n')","('府', 'n')","('即日', 'nt')","('宣', 'v')","('佈', 'v')","('光', 'n')","('復', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('剛', 'v')","('剛', 'v')","('一', 'm')","('蹌', 'n')","('踉', 'v')","('﹐', 'n')","('那', 'r')","('用', 'p')","('整', 'a')","('株', 'q')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('柵', 'n')","('欄', 'n')","('門', 'n')","('便', 'd')","('跟', 'p')","('¨', 'v')","('他', 'r')","('的', 'u')","('腳', 'n')","('跟', 'c')","('闔', 'n')","('上', 'nd')","('了', 'u')","('﹐', 'v')","('其', 'r')","('餘', 'n')","('的', 'u')","('三面', 'n')","('都', 'd')","('是', 'vl')","('牆', 'n')","('壁', 'n')","('﹐', 'n')","('仔', 'n')","('細', 'n')","('看', 'v')","('時', 'n')","('﹐', 'n')","('屋角', 'n')","('上', 'nd')","('還', 'n')","('有', 'v')","('兩', 'n')","('個', 'v')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,
3,"('說', 'n')","('是', 'vl')","('〈', 'w')","('外', 'nd')","('傳', 'n')","('〉', 'w')","('﹐', 'n')","('〈', 'w')","('內', 'n')","('傳', 'n')","('〉', 'w')","('在', 'p')","('那', 'r')","('裡', 'n')","('呢', 'u')","('﹖', 'n')","('倘', 'c')","('用', 'v')","('〈', 'w')","('內', 'n')","('傳', 'n')","('〉', 'w')","('﹐', 'v')","('阿', 'h')","('Ｑ', 'ws')","('又', 'd')","('決', 'v')","('不是', 'vl')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿', 'h')","('Ｑ', 'ws')","('自己', 'r')","('也', 'd')","('不', 'd')","('說', 'v')","('﹐', 'n')","('獨', 'n')","('有', 'v')","('和', 'c')","('別人', 'n')","('口角', 'n')","('的', 'u')","('時候', 'n')","('﹐', 'n')","('間', 'n')","('或', 'c')","('瞪', 'v')","('著', 'v')","('眼睛', 'n')","('道', 'v')","('﹕', 'v')","('“', 'w')","('我', 'r')","('們', 'v')","('先前', 'nt')","('─', 'w')","('─', 'w')","('比', 'p')","('你', 'r')","('闊', 'v')","('的', 'u')","('多', 'a')","('啦', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('殊不料', 'd')","('這', 'n')","('卻', 'n')","('使', 'v')","('百里', 'n')","('聞', 'v')","('名', 'n')","('的', 'u')","('舉', 'n')","('人', 'n')","('老', 'a')","('爺', 'n')","('有', 'v')","('這', 'n')","('樣', 'n')","('怕', 'v')","('﹐', 'v')","('於是', 'v')","('他', 'r')","('未免', 'd')","('也', 'd')","('有些', 'm')","('〈', 'w')","('神往', 'v')","('〉', 'w')","('了', 'u')","('﹐', 'n')","('況', 'n')","('且', 'c')","('未', 'd')","('莊', 'v')","('的', 'u')","('一群', 'n')","('鳥', 'n')","('男女', 'n')","('的', 'u')","('慌', 'a')","('張', 'n')","('的', 'u')","('神情', 'n')","('﹐', 'n')","('也', 'd')","('使', 'v')","('阿', 'h')","('Ｑ', 'ws')","('更', 'd')","('快意', 'n')",,,,,,,,,,,,,,,,,,,,,,,,
6,"('其中', 'nd')","('自然', 'a')","('也', 'd')","('有', 'v')","('可以', 'vu')","('勉力', 'v')","('仿效', 'v')","('的', 'u')","('，', 'w')","('如', 'v')","('“', 'w')","('子路', 'n')","('負', 'v')","('米', 'n')","('”', 'w')","('，', 'w')","('“', 'w')","('黃', 'n')","('香', 'a')","('扇', 'n')","('枕', 'v')","('”', 'w')","('之', 'u')","('類', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，', 'w')","('“', 'w')","('活', 'v')","('無', 'n')","('常', 'd')","('學', 'v')","('者', 'k')","('”', 'w')","('，', 'w')","('名', 'n')","('稱', 'n')","('不大', 'a')","('冠冕', 'n')","('，', 'w')","('我', 'r')","('不想', 'v')","('幹', 'v')","('下去', 'vd')","('了', 'u')","('，', 'w')","('只', 'd')","('在', 'p')","('這', 'n')","('裏', 'v')","('下', 'nd')","('一', 'm')","('個', 'n')","('武', 'n')","('斷', 'n')","('：', 'w')","('－', 'w')","('－', 'w')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，', 'w')","('一', 'm')","('個', 'n')","('是', 'vl')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'w')","('只是', 'd')","('很', 'd')","('有些', 'm')","('村', 'n')","('婦', 'n')","('樣', 'n')","('，', 'w')","('大家', 'n')","('都', 'd')","('稱', 'v')","('她', 'r')","('無', 'v')","('常', 'd')","('嫂', 'n')","('；', 'w')","('這', 'v')","('樣', 'n')","('看', 'v')","('來', 'n')","('，', 'w')","('無', 'n')","('常', 'd')","('是', 'vl')","('和', 'p')","('我', 'r')","('們', 'v')","('平', 'a')","('輩', 'n')","('的', 'u')","('，', 'w')","('無', 'n')","('怪', 'a')","('他', 'r')","('不', 'd')","('擺', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍', 'n')","('廟', 'n')","('或', 'c')","('東', 'n')","('嶽', 'n')","('廟', 'n')","('中', 'nd')","('，', 'w')","('大殿', 'n')","('後面', 'n')","('就', 'd')","('有', 'v')","('一', 'm')","('間', 'n')","('暗室', 'n')","('，', 'w')","('叫作', 'v')","('“', 'w')","('陰', 'n')","('司', 'n')","('間', 'n')","('”', 'w')","('，', 'w')","('在', 'p')","('才', 'd')","('可', 'vu')","('辨色', 'v')","('的', 'u')","('昏暗', 'a')","('中', 'nd')","('，', 'w')","('塑', 'v')","('著', 'v')","('各', 'r')","('種', 'n')","('鬼', 'n')","('：', 'w')","('吊死', 'v')","('鬼', 'n')","('、', 'w')","('跌', 'v')","('死鬼', 'n')","('、', 'w')","('虎', 'n')","('傷', 'v')","('鬼', 'n')","('、', 'w')","('科', 'n')","('場', 'n')","('鬼', 'n')","('，', 'w')","('…', 'w')","('…', 'w')","('而', 'c')","('一', 'm')","('進', 'v')","('門', 'n')","('口', 'n')","('所', 'u')","('看', 'v')","('見', 'n')","('的', 'u')","('長', 'n')","('而', 'c')","('白', 'a')","('的', 'u')","('東', 'n')","('西', 'nd')","('就是', 'd')","('他', 'r')"
10,"('但是', 'c')","('哭', 'v')","('不出', 'v')","('筍', 'n')","('來', 'n')","('，', 'w')","('還', 'v')","('不', 'd')","('過', 'v')","('拋', 'v')","('臉', 'n')","('而已', 'u')","('，', 'w')","('到', 'v')","('“', 'w')","('臥', 'v')","('冰', 'n')","('求', 'v')","('鯉', 'n')","('”', 'w')","('，', 'w')","('可就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
