,sent,start_idx,end_idx,type,string
0,1,16,17,LOC,上海
1,1,34,36,LOC,杭州府
2,1,43,45,LOC,绍兴府
3,5,36,37,LOC,未庄
4,6,23,24,PER,黄香
5,9,2,4,LOC,城隍庙
6,9,6,8,LOC,东岳庙
7,11,0,2,PER,古久
8,16,4,5,LOC,赛亚
9,16,69,70,PER,方饥
10,17,6,7,PER,金地
11,19,19,20,LOC,上海
12,19,26,27,LOC,香山
13,20,0,1,LOC,温岭
14,20,9,10,LOC,山东
15,20,11,12,LOC,峄县
16,20,23,24,LOC,平阳
17,20,26,27,LOC,瑞安
18,20,29,30,LOC,南昌
19,20,32,33,LOC,福建
20,20,49,50,LOC,峄县
21,20,52,53,LOC,济南
22,20,55,56,LOC,烟台
23,21,15,17,PER,何八爷
24,22,17,19,LOC,捞什子
25,26,1,2,PER,贾母
26,30,2,2,PER,王
27,30,30,31,LOC,里间
28,31,10,12,PER,孙雪娥
29,32,15,17,PER,陈敬济
30,33,49,49,PER,王
31,34,1,3,PER,张川儿
32,36,38,39,PER,唐僧
33,37,41,42,PER,唐僧
34,37,51,51,PER,「
35,37,57,57,PER,杨
36,37,65,66,PER,老孙
37,40,14,16,PER,孙长老
38,40,28,28,PER,王
39,42,3,4,PER,周生
40,42,31,33,PER,周公子
41,43,19,21,PER,施恩惠
42,44,0,0,PER,」
43,44,11,11,PER,胡
44,45,2,4,PER,周生自
45,47,9,11,LOC,地中海
46,47,15,17,LOC,意大利
47,48,0,1,PER,伯黻
48,48,21,22,PER,小玉
49,48,30,31,PER,小玉
50,49,2,5,PER,加克奈夫
51,51,36,37,PER,吴妈
52,52,44,46,LOC,静修庵
53,53,51,51,PER,﹐
54,54,35,36,LOC,未庄
55,55,9,11,PER,王胡﹐
56,64,3,5,PER,李时珍
57,66,2,3,LOC,青岛
58,66,18,19,LOC,斐尼
59,68,2,3,LOC,云南
60,68,5,6,LOC,越南
61,70,0,1,PER,韦德
62,70,3,5,PER,康德馨
63,70,17,18,PER,珍玉
64,72,9,11,PER,普叔扑
65,72,17,18,PER,英英
66,72,25,27,LOC,云普叔
67,75,9,12,PER,云普叔老
68,76,2,2,PER,薛
69,76,20,22,PER,素日知
70,78,4,5,PER,雪雁
71,78,25,25,PER,凤
72,79,36,37,LOC,里蓉
73,81,12,14,PER,傅伙计
74,81,16,17,PER,贲四
75,81,33,34,LOC,玳安
76,82,4,5,PER,玳安
77,82,15,17,PER,王三官
78,82,34,35,PER,谢恩
79,83,4,7,PER,陈定染布
80,83,32,34,PER,杨大郎
81,84,1,3,PER,王三官
82,85,20,21,LOC,松阴
83,88,0,2,PER,」伯钦
84,91,1,4,PER,周公子闻
85,91,6,6,PER,胡
86,93,2,3,PER,二郎
87,97,7,8,LOC,英国
88,97,16,17,LOC,日本
