,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,"('《', 'w')","('中国革命记', 'n')","('》', 'w')","('第三', 'm')","('册', 'q')","('（', 'w')","('一九一一年', 't')","('上海', 'ns')","('自由社', 'n')","('编印', 'v')","('）', 'w')","('记载', 'v')","('﹕', 'p')","('辛亥', 't')","('九月', 't')","('十四日', 't')","('杭州府', 'ns')","('为', 'p')","('民军', 'n')","('占领', 'v')","('﹐', 'v')","('绍兴府', 'ns')","('即日', 't')","('宣布', 'v')","('光复', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('他', 'r')","('刚刚', 'd')","('一跄踉﹐', 'id')","('那', 'r')","('用', 'p')","('整', 'm')","('株', 'q')","('的', 'u')","('木料', 'n')","('做成', 'v')","('的', 'u')","('栅栏门', 'n')","('便', 'd')","('跟¨', 'v')","('他', 'r')","('的', 'u')","('脚跟', 'n')","('阖上', 'v')","('了', 'u')","('﹐', 'g')","('其余', 'r')","('的', 'u')","('三', 'm')","('面', 'q')","('都', 'd')","('是', 'v')","('墙壁﹐', 'n')","('仔细', 'a')","('看', 'v')","('时', 'g')","('﹐屋角', 'n')","('上', 'f')","('还有', 'v')","('两', 'm')","('个', 'q')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,
3,"('说是', 'v')","('〈', 'w')","('外传', 'n')","('〉', 'w')","('﹐', 'g')","('〈', 'w')","('内传', 'n')","('〉', 'w')","('在', 'p')","('那里', 'r')","('呢', 'u')","('﹖', 'g')","('倘用', 'v')","('〈', 'w')","('内传', 'n')","('〉', 'w')","('﹐', 'g')","('阿', 'j')","('Ｑ', 'j')","('又', 'd')","('决', 'd')","('不', 'd')","('是', 'v')","('神仙', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('而', 'c')","('阿', 'j')","('Ｑ', 'g')","('自己', 'r')","('也', 'd')","('不', 'd')","('说', 'v')","('﹐', 'g')","('独有', 'v')","('和', 'p')","('别人', 'r')","('口角', 'n')","('的', 'u')","('时候', 'n')","('﹐间', 'n')","('或', 'c')","('瞪著', 'n')","('眼睛', 'n')","('道', 'v')","('﹕', 'g')","('“', 'w')","('我们', 'r')","('先前', 't')","('──', 'v')","('比', 'p')","('你', 'r')","('阔', 'a')","('的', 'u')","('多', 'a')","('啦', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('殊', 'd')","('不', 'd')","('料', 'v')","('这', 'r')","('却', 'd')","('使', 'v')","('百', 'm')","('里', 'q')","('闻名', 'v')","('的', 'u')","('举人', 'n')","('老爷', 'n')","('有', 'v')","('这样', 'r')","('怕', 'v')","('﹐于', 'v')","('是', 'v')","('他', 'r')","('未免', 'd')","('也', 'd')","('有些', 'r')","('〈神往', 'id')","('〉', 'w')","('了', 'u')","('﹐况', 'n')","('且', 'c')","('未庄', 'ns')","('的', 'u')","('一', 'm')","('群', 'q')","('鸟', 'n')","('男女', 'n')","('的', 'u')","('慌张', 'a')","('的', 'u')","('神情', 'n')","('﹐', 'g')","('也', 'd')","('使', 'v')","('阿', 'j')","('Ｑ', 'g')","('更', 'd')","('快意', 'a')",,,,,,,,,,,,,,,,,
6,"('其中', 'r')","('自然', 'd')","('也', 'd')","('有', 'v')","('可以勉力', 'n')","('仿效', 'v')","('的', 'u')","('，', 'w')","('如', 'v')","('“', 'w')","('子路', 'n')","('负米', 'n')","('”', 'w')","('，', 'w')","('“', 'w')","('黄香', 'np')","('扇', 'v')","('枕', 'n')","('”', 'w')","('之类', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('但是', 'c')","('，', 'w')","('“', 'w')","('活', 'a')","('无常', 'a')","('学者', 'n')","('”', 'w')","('，', 'w')","('名称', 'n')","('不大冠冕', 'i')","('，', 'w')","('我', 'r')","('不', 'd')","('想', 'v')","('干', 'v')","('下去', 'v')","('了', 'u')","('，', 'w')","('只', 'd')","('在', 'p')","('这里', 'r')","('下', 'v')","('一个', 'm')","('武断', 'a')","('：', 'w')","('－－', 'w')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('所以', 'c')","('，', 'w')","('一个', 'm')","('是', 'v')","('漂亮', 'a')","('的', 'u')","('女人', 'n')","('，', 'w')","('只是', 'd')","('很', 'd')","('有些', 'r')","('村', 'n')","('妇样', 'n')","('，', 'w')","('大', 'a')","('家', 'n')","('都', 'd')","('称', 'v')","('她', 'r')","('无常嫂', 'a')","('；', 'w')","('这样', 'r')","('看', 'v')","('来', 'u')","('，', 'w')","('无常', 'd')","('是', 'v')","('和', 'p')","('我们', 'r')","('平辈', 'a')","('的', 'u')","('，', 'w')","('无怪', 'd')","('他', 'r')","('不', 'd')","('摆', 'v')","('教授', 'n')","('先生', 'n')","('的', 'u')","('架子', 'n')",,,,,,,,,,,,,,,,,,,,
9,"('譬如', 'v')","('城隍庙', 'ns')","('或', 'c')","('东岳庙', 'ns')","('中', 'f')","('，', 'w')","('大殿', 'n')","('后面', 'f')","('就', 'd')","('有', 'v')","('一', 'm')","('间', 'q')","('暗室', 'n')","('，', 'w')","('叫作', 'v')","('“', 'w')","('阴司', 'n')","('间', 'f')","('”', 'w')","('，', 'w')","('在', 'p')","('才', 'd')","('可', 'v')","('辨色', 'v')","('的', 'u')","('昏暗', 'a')","('中', 'f')","('，', 'w')","('塑著', 'v')","('各种', 'r')","('鬼', 'n')","('：', 'w')","('吊', 'v')","('死鬼', 'n')","('、', 'w')","('跌', 'v')","('死鬼', 'n')","('、', 'w')","('虎', 'n')","('伤鬼', 'n')","('、', 'w')","('科场鬼', 'n')","('，', 'w')","('…', 'w')","('…', 'w')","('而', 'c')","('一', 'd')","('进', 'v')","('门口', 's')","('所', 'u')","('看见', 'v')","('的', 'u')","('长', 'a')","('而', 'c')","('白', 'a')","('的', 'u')","('东西', 'n')","('就', 'd')","('是', 'v')","('他', 'r')"
10,"('但是', 'c')","('哭', 'v')","('不', 'd')","('出', 'v')","('笋', 'n')","('来', 'v')","('，', 'w')","('还', 'd')","('不', 'd')","('过', 'd')","('抛', 'v')","('脸', 'n')","('而已', 'u')","('，', 'w')","('到', 'p')","('“', 'w')","('卧冰求鲤', 'id')","('”', 'w')","('，', 'w')","('可', 'c')","('就', 'd')","('有', 'v')","('性命', 'n')","('之', 'u')","('虞', 'g')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"('\uf7a2古久', 'np')","('先生', 'n')","('的', 'u')","('陈年流水簿子', 'i')","('：', 'w')","('这里', 'r')","('比喻', 'v')","('我国', 'n')","('封建主义', 'n')","('统治', 'v')","('的', 'u')","('长久', 'a')","('历史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('他们', 'r')","('可是', 'd')","('父子', 'n')","('兄弟', 'n')","('夫妇', 'n')","('朋友', 'n')","('师生', 'n')","('仇敌', 'n')","('和', 'c')","('各', 'r')","('不', 'd')","('相识', 'v')","('的', 'u')","('人', 'n')","('，', 'w')","('都', 'd')","('结成', 'v')","('一', 'm')","('伙', 'q')","('，', 'w')","('互相', 'd')","('劝勉', 'v')","('，', 'w')","('互相', 'd')","('牵掣', 'v')","('，', 'w')","('死', 'v')","('也', 'd')","('不', 'd')","('肯', 'v')","('跨过', 'v')","('这', 'r')","('一', 'm')","('步', 'q')",,,,,,,,,,,,,,,,,,,,,,,,,,
13,"('有', 'v')","('了', 'u')","('四千', 'm')","('年', 'q')","('吃', 'v')","('人', 'n')","('履历', 'n')","('的', 'u')","('我', 'r')","('，', 'w')","('当初', 't')","('虽然', 'c')","('不', 'd')","('知道', 'v')","('，', 'w')","('现在', 't')","('明白', 'a')","('，', 'w')","('难', 'a')","('见', 'v')","('真', 'a')","('的', 'u')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('他们', 'r')","('这', 'r')","('群', 'q')","('人', 'n')","('，', 'w')","('又', 'd')","('想', 'v')","('吃', 'v')","('人', 'n')","('，', 'w')","('又', 'd')","('是', 'v')","('鬼鬼祟祟', 'id')","('，', 'w')","('想', 'v')","('法子', 'n')","('遮掩', 'v')","('，', 'w')","('不', 'd')","('敢', 'v')","('直截', 'v')","('下手', 'v')","('，', 'w')","('真', 'd')","('要', 'v')","('令', 'v')","('我', 'r')","('笑', 'v')","('死', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('他们', 'r')","('——也', 'w')","('有', 'v')","('给', 'p')","('知县', 'n')","('打枷', 'v')","('过', 'u')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('给', 'v')","('绅士', 'n')","('掌过嘴', 'id')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('衙役', 'n')","('占', 'v')","('了', 'u')","('他', 'r')","('妻子', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('老子', 'n')","('娘', 'n')","('被', 'p')","('债主', 'n')","('逼死', 'v')","('的', 'u')","('；', 'w')","('他们', 'r')","('那', 'r')","('时候', 'n')","('的', 'u')","('脸色', 'n')","('，', 'w')","('全', 'd')","('没有', 'v')","('昨天', 't')","('这', 'r')","('么', 'd')","('怕', 'v')","('，', 'w')","('也', 'd')","('没有', 'v')","('这', 'r')","('么', 'n')","('凶', 'a')",,,,,,,,
