,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,w,nz,w,m,w,t,nt,n,w,n,w,nz,t,ns,n,v,w,ns,d,v,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r,d,a,w,c,p,a,q,u,n,v,u,n,n,d,v,w,r,u,n,v,v,x,w,r,u,n,v,n,w,d,v,n,w,n,f,v,n,,,,,,,,,,,,,,,,,,,,,,
3,v,v,w,nz,w,w,w,nz,w,d,x,w,c,p,w,nz,w,w,nr,d,v,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,c,nr,r,d,v,w,v,p,r,n,u,n,w,f,c,v,u,n,w,w,r,???,p,r,a,u,a,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,v,r,d,v,m,a,u,n,n,v,r,v,w,c,r,d,d,r,w,nz,w,x,w,c,a,u,m,n,n,u,a,u,n,w,d,v,nr,d,a,,,,,,,,,,,,,,,,,,,,,
6,f,d,v,v,v,v,u,w,v,w,nz,w,w,w,a,a,n,w,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,c,w,w,a,n,w,w,n,a,n,w,r,d,v,v,x,w,d,d,r,n,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,c,w,m,v,a,u,n,w,c,d,v,n,n,w,r,d,v,r,nr,w,r,v,w,nr,v,p,r,n,u,w,v,r,d,v,n,n,u,n,,,,,,,,,,,,,,,,,,,,,,
9,v,ns,c,ns,f,w,n,f,d,v,m,n,w,v,w,n,f,w,w,p,d,v,v,u,a,f,w,v,u,r,n,w,v,n,w,v,n,w,n,v,w,n,n,w,w,w,c,d,v,s,u,v,u,a,c,a,u,n,v,r
10,c,v,n,v,w,d,d,v,n,x,w,v,w,n,v,w,w,c,d,n,u,n,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,nz,w,r,v,r,n,n,u,a,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r,c,n,n,n,n,n,n,c,a,u,n,w,d,v,m,w,d,v,w,d,v,w,v,d,v,v,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,v,u,t,v,n,n,u,r,w,t,c,v,w,t,v,w,v,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,r,r,q,n,w,d,v,n,w,d,v,a,w,v,n,v,w,v,v,v,w,d,v,v,r,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,r,w,w,v,p,v,n,v,u,u,w,v,p,n,v,v,n,u,w,v,n,v,u,r,n,u,w,v,nr,p,n,v,u,w,r,n,u,n,w,d,v,t,d,v,w,d,v,r,a,,,,,,,,,,,
