,sent,start_idx,end_idx,type,string
0,1,1,2,LOC,中國
1,1,16,20,ORG,上海自由社
2,1,34,36,LOC,杭州府
3,1,43,45,LOC,紹興府
4,3,23,24,PER,阿Ｑ
5,4,1,2,PER,阿Ｑ
6,5,36,37,LOC,未莊
7,5,53,54,PER,阿Ｑ
8,6,16,17,PER,子路
9,6,23,24,PER,黃香
10,8,26,28,PER,無常嫂
11,8,35,36,PER,無常
12,9,2,4,LOC,城隍廟
13,9,6,8,LOC,東嶽廟
14,9,25,27,LOC,陰司間
15,11,1,4,PER,古久先生
16,16,3,5,PER,以赛亚
17,16,23,23,LOC,华
18,17,0,1,PER,金笔
19,17,6,7,PER,金地
20,19,6,7,PER,锦华
21,19,19,20,LOC,上海
22,19,26,27,LOC,香山
23,20,0,1,LOC,温岭
24,20,9,12,LOC,山东峄县
25,20,23,24,LOC,平阳
26,20,26,27,LOC,瑞安
27,20,29,30,LOC,南昌
28,20,32,33,LOC,福建
29,20,49,50,LOC,峄县
30,20,52,53,LOC,济南
31,20,55,56,LOC,烟台
32,21,15,17,PER,何八爺
33,26,1,2,PER,賈母
34,27,1,2,PER,紫鵑
35,28,1,2,PER,平儿
36,28,21,23,PER,璉二爺
37,30,2,4,PER,王夫人
38,31,1,3,PER,西門慶
39,31,10,12,PER,孫雪娥
40,31,19,20,PER,月娘
41,32,15,17,PER,陳敬濟
42,33,49,51,PER,王乾娘
43,34,1,3,PER,張川兒
44,35,1,3,PER,西門慶
45,35,16,18,LOC,凌煙閣
46,36,38,39,PER,唐僧
47,37,1,2,PER,行者
48,37,41,42,PER,唐僧
49,37,57,59,PER,楊老兒
50,37,65,66,PER,老孫
51,40,1,4,LOC,東土大唐
52,40,14,16,PER,孫長老
53,42,0,1,PER,玉狐
54,42,3,4,PER,周生
55,42,31,33,PER,周公子
56,44,11,13,PER,胡小姐
57,45,2,3,PER,周生
58,45,6,7,PER,玉狐
59,47,3,5,LOC,薩克森
60,47,9,11,LOC,地中海
61,47,15,17,LOC,意大利
62,48,0,1,PER,伯黻
63,48,7,8,PER,笑庵
64,48,21,22,PER,小玉
65,48,30,31,PER,小玉
66,49,2,5,PER,加克奈夫
67,50,1,2,PER,子固
68,51,36,37,PER,吳媽
69,52,44,46,LOC,靜修庵
70,53,47,48,LOC,未莊
71,54,0,1,PER,阿Ｑ
72,54,35,36,LOC,未莊
73,55,9,10,PER,王胡
74,64,3,5,PER,李時珍
75,66,2,3,LOC,青岛
76,66,15,16,PER,慕迪
77,66,18,19,PER,斐尼
78,68,2,3,LOC,云南
79,68,5,6,LOC,越南
80,70,0,1,PER,韦德
81,70,3,5,PER,康德馨
82,70,17,18,PER,珍玉
83,70,20,21,PER,良莺
84,71,0,1,PER,八爺
85,72,8,10,PER,雲普叔
86,72,17,18,PER,英英
87,72,25,27,PER,雲普叔
88,74,15,17,PER,玉五叔
89,74,37,38,PER,五叔
90,75,0,1,PER,少普
91,75,9,11,PER,雲普叔
92,75,31,32,PER,立秋
93,76,2,4,PER,薛姨媽
94,76,14,15,PER,寶釵
95,77,0,1,PER,襲人
96,78,2,3,PER,紫鵑
97,78,4,5,PER,雪雁
98,78,25,27,PER,鳳姐儿
99,79,0,1,PER,鳳姐
100,79,34,35,ORG,東府
101,79,37,37,PER,蓉
102,79,39,39,PER,薔
103,80,10,11,PER,倪二
104,81,12,14,PER,傅伙計
105,81,16,17,PER,賁四
106,81,19,20,PER,敬濟
107,81,22,23,PER,來保
108,81,27,28,PER,來興
109,81,30,31,PER,書童
110,81,33,34,PER,玳安
111,81,36,37,PER,平安
112,82,0,2,PER,西門慶
113,82,4,5,PER,玳安
114,82,8,10,PER,文嫂兒
115,82,15,17,PER,王三官
116,82,31,31,LOC,京
117,83,0,1,PER,敬濟
118,83,4,5,PER,陳定
119,83,16,17,PER,陳定
120,83,32,34,PER,楊大郎
121,84,1,3,PER,王三官
122,84,6,8,PER,西門慶
123,85,13,15,PER,西門慶
124,87,1,2,PER,大聖
125,87,13,14,LOC,東洋
126,88,1,2,PER,伯欽
127,89,2,5,PER,齊天大聖
128,89,12,14,LOC,斬妖臺
129,90,37,38,LOC,天宮
130,90,43,45,PER,九曜星
131,90,51,53,PER,四天王
132,91,1,3,PER,周公子
133,91,6,8,PER,胡小姐
134,92,2,4,PER,玉面狐
135,93,2,4,PER,二郎神
136,93,10,13,PER,哪吒太子
137,97,7,8,LOC,英國
138,97,16,17,LOC,日本
139,99,3,4,PER,菊笑
