Cluster Idx,canonical,string,start_idx,end_idx
0,云普叔,云普叔,1826,1828
0,云普叔,他,1841,1841
0,云普叔,他,1857,1857
0,云普叔,云普叔,1969,1971
0,云普叔,云普叔,2062,2064
0,云普叔,云普叔,2256,2258
1,云普婶,云普婶,2268,2270
3,立秋,立秋,2067,2068
3,立秋,立秋,2260,2261
4,少普,少普,2265,2266
5,英英,英英,2272,2273
6,云普爷爷,云普爷爷,2083,2086
7,一个六岁的虎儿,一个六岁的虎儿,2097,2103
8,何八爷,何八爷,1950,1952
8,何八爷,何八爷,2020,2022
8,何八爷,何八爷,2124,2126
9,云普叔全家,一家,1991,1992
9,云普叔全家,云普叔一家,2160,2164
11,垄上的饥民,垄上的饥民,1877,1881
11,垄上的饥民,垄上的人,2046,2049
11,垄上的饥民,垄上的饥民,2108,2112
11,垄上的饥民,饥民,2129,2130
11,垄上的饥民,垄上的人,2215,2218
11,垄上的饥民,满垄上的人,2334,2338
12,县太爷,县太爷,2132,2134
