Cluster Idx,canonical,string,start_idx,end_idx
0,云普叔,云普叔,32,34
0,云普叔,他,81,81
0,云普叔,他,161,161
0,云普叔,云普叔,340,342
0,云普叔,云普叔,465,467
0,云普叔,云普叔,536,538
0,云普叔,他,562,562
0,云普叔,他,569,569
0,云普叔,他,610,610
0,云普叔,云普叔,634,636
0,云普叔,云普叔,649,651
0,云普叔,云普叔,689,691
0,云普叔,云普叔,715,717
0,云普叔,云普叔,809,811
0,云普叔,云普叔,820,822
0,云普叔,他,852,852
0,云普叔,他,864,864
0,云普叔,云普叔,887,889
0,云普叔,他,912,912
0,云普叔,自己,936,937
0,云普叔,云普叔,1004,1006
0,云普叔,云普叔,1101,1103
0,云普叔,云普叔,1124,1126
0,云普叔,云普叔,1230,1232
0,云普叔,他,1242,1242
0,云普叔,他,1252,1252
0,云普叔,他,1265,1265
0,云普叔,云普叔,1319,1321
0,云普叔,云普叔,1373,1375
0,云普叔,云普叔,1450,1452
0,云普叔,云普叔,1499,1501
0,云普叔,云普叔,1553,1555
0,云普叔,他,1582,1582
0,云普叔,他,1595,1595
0,云普叔,他,1625,1625
0,云普叔,云普叔,1648,1650
0,云普叔,云普叔,1692,1694
0,云普叔,自己,1705,1706
0,云普叔,云普叔,1755,1757
0,云普叔,他,1798,1798
0,云普叔,我,1810,1810
0,云普叔,云普叔,1826,1828
0,云普叔,他,1841,1841
0,云普叔,他,1857,1857
0,云普叔,云普叔,1969,1971
0,云普叔,云普叔,2062,2064
0,云普叔,云普叔,2160,2162
0,云普叔,云普叔,2256,2258
1,云普婶,坐在戏台下的妻子,178,185
1,云普婶,秋儿的娘,195,198
1,云普婶,云普婶,242,244
1,云普婶,云普婶,378,380
1,云普婶,妻子,470,471
1,云普婶,云普婶,673,675
1,云普婶,妈妈,732,733
1,云普婶,云普婶,2268,2270
2,四喜儿,四喜儿,257,259
2,四喜儿,怀中的孩子,399,403
2,四喜儿,四喜儿,745,747
3,关帝爷爷,关帝爷爷,501,504
4,立秋,立秋,681,682
4,立秋,这,687,687
4,立秋,儿子,1133,1134
4,立秋,立秋儿,1478,1480
4,立秋,立秋,1621,1622
4,立秋,立秋,1685,1686
4,立秋,立秋,2067,2068
4,立秋,立秋,2260,2261
5,少普,少普,700,701
5,少普,少普,2265,2266
6,英英,女儿英英,721,724
6,英英,她,728,728
6,英英,英英,2272,2273
7,云普爷爷,云普爷爷,754,757
7,云普爷爷,云普爷爷,2083,2086
8,虎儿,虎儿,764,765
8,虎儿,虎儿,2102,2103
9,何八爷,何八爷,922,924
9,何八爷,何八爷,962,964
9,何八爷,何八爷,1023,1025
9,何八爷,何八爷,1079,1081
9,何八爷,何八爷,1950,1952
9,何八爷,何八爷,2020,2022
9,何八爷,何八爷,2124,2126
10,云普叔全家,云普叔全家,1034,1038
10,云普叔全家,一家,1991,1992
11,他们,他们,1679,1680
12,垄上的饥民,垄上的饥民,1877,1881
12,垄上的饥民,垄上的人,2046,2049
12,垄上的饥民,垄上的饥民,2108,2112
12,垄上的饥民,饥民,2129,2130
12,垄上的饥民,垄上的人,2215,2218
