Book,Sentence
阿Q,《_w/中國_ns/革命_n/記_n/》_w/第三_m/冊_q/（_w/一九一一年_t/上海_ns/自由社_nt/編印_v/）_w/記載_v/﹕_w/辛亥_t/九月_t/十四日_t/杭州府_ns/為_p/民軍_n/佔領_v/﹐_w/紹興府_ns/即日_t/宣佈_v/光復_vn
,他_p/剛剛_t/一_m/蹌踉_v/﹐_w/那_r/用_v/整_b/株_q/的_u/木料_n/做成_v/的_u/柵欄_n/門_n/便_d/跟_v/著_u/他_n/的_u/腳跟_n/闔_v/上_v/了_u/﹐_w/其餘_p/的_u/三_m/面_q/都_d/是_v/牆壁_n/﹐_w/仔細_d/看_v/時_t/﹐_w/屋角_n/上_p/還_d/有_v/兩_m/個_q/人_n
,說_v/是_v/〈_w/外傳_n/〉_w/﹐_w/〈_w/內傳_n/〉_w/在_v/那裡_n/呢_y/﹖_w/倘_c/用_v/〈_w/內傳_n/〉_w/﹐_w/阿Ｑ_nr/又_d/決_d/不_d/是_v/神仙_n
,而_c/阿Ｑ_nr/自己_r/也_d/不_d/說_v/﹐_w/獨_c/有_c/和_p/別人_r/口角_v/的_u/時候_t/﹐_w/間或_d/瞪_v/著_u/眼睛_n/道_v/﹕_w/“_w/我們_p/先前_t/──_w/比_p/你_r/闊_a/的_u/多_d/啦_y
,殊_d/不料_v/這_r/卻_d/使_v/百里聞名_i/的_u/舉人_n/老爺_n/有_v/這樣_p/怕_a/﹐_w/於是_c/他_p/未免_d/也_d/有些_v/〈_w/神往_a/〉_w/了_u/﹐_w/況且_c/未莊_ns/的_u/一_m/群_q/鳥男女_n/的_u/慌張_a/的_u/神情_n/﹐_w/也_d/使_v/阿Ｑ_nr/更_d/快意_a
朝花夕拾,其中_p/自然_d/也_d/有_v/可以_v/勉力_vd/仿效_v/的_u/，_w/如_p/“_w/子路_nr/負_v/米_n/”_w/，_w/“_w/黃香_nr/扇_v/枕_n/”_w/之類_n
,但是_c/，_w/“_w/活_a/無常_n/學者_n/”_w/，_w/名稱_n/不_d/大_d/冠冕_a/，_w/我_r/不_d/想_v/幹_v/下去_f/了_u/，_w/只_d/在_v/這裏_r/下_v/一_m/個_q/武斷_n/：_w/－－_w
,所以_c/，_w/一_m/個_q/是_v/漂亮_a/的_u/女人_n/，_w/只_d/是_v/很_d/有些_v/村婦_n/樣_n/，_w/大家_n/都_d/稱_v/她_r/無常嫂_nr/；_w/這樣_r/看來_v/，_w/無常_nr/是_v/和_p/我們_r/平輩_a/的_u/，_w/無怪_d/他_r/不_d/擺_v/教授_n/先生_n/的_u/架子_n
,譬如_v/城隍廟_nt/或_c/東嶽廟_nt/中_f/，_w/大殿_n/後面_f/就_d/有_v/一_m/間_q/暗室_n/，_w/叫_v/作_vd/“_w/陰司間_nt/”_w/，_w/在_v/才可_d/辨_v/色_n/的_u/昏暗_n/中_f/，_w/塑_v/著_u/各種_r/鬼_n/：_w/吊_vd/死_v/鬼_n/、_w/跌_vd/死_v/鬼_n/、_w/虎_n/傷_v/鬼_n/、_w/科場_n/鬼_n/，_w/……_w/而_c/一_m/進_v/門口_n/所_u/看見_v/的_u/長_a/而_c/白_a/的_u/東西_n/就_d/是_v/他_r
,但是_c/哭_v/不_d/出_v/筍_n/來_vd/，_w/還_d/不過_d/拋臉_v/而已_u/，_w/到_c/“_w/臥冰求鯉_i/”_w/，_w/可_c/就_d/有_v/性命_n/之_u/虞_vn/了_u
狂人日记,_m/古久先生_nr/的_u/陳年_t/流水_n/簿子_n/：_w/這裡_r/比喻_v/我_r/國_n/封建_an/主義_n/統治_n/的_u/長久_a/歷史_n
,他們_r/可_d/是_v/父子_n/兄弟_n/夫婦_n/朋友_n/師生_n/仇敵_n/和_c/各不相識_i/的_u/人_n/，_w/都_d/結_v/成_vd/一_m/伙_q/，_w/互相_d/勸勉_v/，_w/互相_d/牽掣_v/，_w/死_v/也_d/不肯_v/跨_v/過_f/這_r/一_m/步_q
,有_v/了_u/四千_m/年_t/吃_v/人_n/履歷_n/的_u/我_r/，_w/當初_n/雖然_c/不_d/知道_v/，_w/現在_n/明白_v/，_w/難_d/見_v/真_a/的_u/人_n
,他們_r/這_r/群_q/人_n/，_w/又_d/想_v/吃_v/人_n/，_w/又_d/是_w/鬼鬼祟祟_i/，_w/想_v/法子_n/遮掩_w/，_w/不_d/敢_v/直截_d/下手_v/，_w/真_d/要_v/令_v/我_r/笑_v/死_vd
,他們_r/——_w/也_d/有_v/給_p/知縣_n/打枷_v/過_u/的_u/，_w/也_d/有_v/給_p/紳士_n/掌_v/過_u/嘴_n/的_u/，_w/也_d/有_v/衙役_n/佔_v/了_u/他_r/妻子_n/的_u/，_w/也_d/有_v/老子娘_r/被_u/債主_n/逼_v/死_vd/的_u/；_w/他們_r/那_r/時候_t/的_u/臉色_n/，_w/全_d/沒有_d/昨天_t/這麼_r/怕_a/，_w/也_d/沒有_d/這麼_r/凶_a
灵历集光,在_p/研究_v/以赛亚_nz/三十三_m/、_w/三十四_m/章_q/时_t/，_w/深_a/信_v/一切_r/差会_n/在_v/华_ns/的_w/机构_n/都_d/有一天_d/要_v/消没_v/，_w/在_p/大_a/磨难_n/时_t/，_w/有_v/许多_m/人_n/因_c/惧怕_v/冷淡_an/、_w/跌倒_vn/，_w/不敢_v/承认_v/主_n/，_w/经过_v/大_a/磨难_n/后_f/，_w/人心_n/方_d/饥渴_vn/慕_v/义_n
,金笔_nr/告诉_v/我_r/，_w/金地_nr/夫妇_n/因为_p/孩子_n/不_d/肯_v/穿_v/衣_n/便_d/大_d/打_v/孩子_n/，_w/成为_v/全_a/乡_n/笑料_n
,最初_n/打_v/几_m/条_q/鱼_n/时_t/，_w/尚_d/知_v/归_v/荣耀_n/于_p/神_n/，_w/打_v/鱼_n/打_v/多_d/了_u/，_w/就_d/喧宾夺主_i/，_w/不_d/将_p/荣耀_n/归_v/于_p/神_n/，_w/反_d/自夸_v/自己_r/是_v/老手_n/了_u
,七月_t/三日_t/内人_n/锦华_nr/因_c/小孩子_n/病_v/得_u/厉害_d/，_w/赶_v/回_f/上海_ns/；_w/同_b/日_t/我_r/来_v/香山_ns/，_w/暂_d/租_v/一_m/座_q/房子_n/，_w/在_v/这里_r/已_d/有_v/一个_m/月_t/，_w/伤口_n/将近_vd/痊愈_v
