Cluster Idx,canonical,string,start_idx,end_idx
0,周斌,先人,1934,1935
2,周信,马上的郎君,1409,1413
2,周信,公子,1846,1847
2,周信,公子,1911,1912
2,周信,公子,2003,2004
2,周信,公子,2025,2026
2,周信,这公子,2042,2044
2,周信,公子,2154,2155
2,周信,周信,2293,2294
2,周信,周公子,2320,2323
2,周信,周信,2344,2345
2,周信,他,2368,2368
2,周信,公子,2530,2531
2,周信,公子,2572,2573
2,周信,周公子,2624,2626
2,周信,周公子,2886,2888
2,周信,周信,2930,2931
3,李忠,一个老,1671,1673
3,李忠,老年人,1679,1681
3,李忠,他,1726,1726
3,李忠,老苍头,1896,1898
3,李忠,苍头,1966,1967
4,李延寿,一个少,1675,1677
4,李延寿,小儿童,1738,1740
4,李延寿,他,1767,1767
5,主僕三人,那主僕三人,1392,1396
5,主僕三人,主僕三人,1784,1787
5,主僕三人,周公子主僕三人,1807,1813
5,主僕三人,主僕三人,1862,1865
5,主僕三人,主僕,2132,2133
7,九尾玄狐,狐精,1384,1385
7,九尾玄狐,九尾玄狐,1795,1798
7,九尾玄狐,玉面狐,2021,2023
7,九尾玄狐,这妖狐,2119,2121
7,九尾玄狐,自己,2164,2165
7,九尾玄狐,我,2170,2170
7,九尾玄狐,妖狐,2245,2246
7,九尾玄狐,他,2298,2298
7,九尾玄狐,妖狐,2325,2326
7,九尾玄狐,他,2878,2878
7,九尾玄狐,妖狐,2891,2892
7,九尾玄狐,玉面狐,2933,2935
12,后面僕人,后面僕人,1401,1404
12,后面僕人,二僕人,1663,1665
13,园丁,这些守墓的园丁,1828,1834
13,园丁,园丁,1969,1970
13,园丁,园丁,2135,2136
14,众人,众人,2000,2001
