Cluster Idx,canonical,string,start_idx,end_idx
0,云普叔,云普叔,32,34
0,云普叔,他,81,81
0,云普叔,他,161,161
0,云普叔,云普叔,340,342
0,云普叔,云普叔,465,467
0,云普叔,他,562,562
0,云普叔,他,569,569
0,云普叔,他,610,610
0,云普叔,云普叔,634,636
0,云普叔,云普叔,715,717
0,云普叔,云普叔,809,811
0,云普叔,云普叔,820,822
0,云普叔,他,852,852
0,云普叔,他,864,864
0,云普叔,云普叔自己,887,891
0,云普叔,他,912,912
0,云普叔,云普叔,1004,1006
0,云普叔,云普叔,1101,1103
0,云普叔,云普叔,1124,1126
0,云普叔,云普叔,1230,1232
0,云普叔,他,1252,1252
0,云普叔,他,1265,1265
0,云普叔,云普叔,1319,1321
0,云普叔,云普叔,1450,1452
0,云普叔,云普叔,1499,1501
0,云普叔,云普叔,1553,1555
0,云普叔,他,1582,1582
0,云普叔,他,1625,1625
0,云普叔,云普叔,1692,1694
0,云普叔,云普叔,1755,1757
0,云普叔,他,1798,1798
0,云普叔,云普叔,1826,1828
0,云普叔,他,1841,1841
0,云普叔,他,1857,1857
0,云普叔,云普叔,1969,1971
0,云普叔,云普叔,2062,2064
0,云普叔,云普叔,2256,2258
1,云普婶,坐在戏台下的妻子,178,185
1,云普婶,秋儿的娘,195,198
1,云普婶,云普婶,242,244
1,云普婶,云普婶,378,380
1,云普婶,妻子,470,471
1,云普婶,云普婶,673,675
1,云普婶,妈妈,732,733
1,云普婶,云普婶,2268,2270
2,四喜儿,怀中的四喜儿,254,259
2,四喜儿,怀中的孩子,399,403
2,四喜儿,最小的一个,738,742
2,四喜儿,四喜儿,745,747
3,立秋,大儿子立秋,678,682
3,立秋,这,687,687
3,立秋,云普叔的左右手,689,695
3,立秋,儿子,1133,1134
3,立秋,立秋儿,1478,1480
3,立秋,立秋,1621,1622
3,立秋,立秋,1685,1686
3,立秋,立秋,2067,2068
3,立秋,立秋,2260,2261
4,少普,二儿子少普,697,701
4,少普,少普,2265,2266
5,英英,女儿英英,721,724
5,英英,她,728,728
5,英英,英英,2272,2273
6,云普爷爷,云普爷爷,754,757
6,云普爷爷,云普爷爷,2083,2086
7,一个六岁的虎儿,一个六岁的虎儿,759,765
7,一个六岁的虎儿,一个六岁的虎儿,2097,2103
8,何八爷,何八爷,1079,1081
8,何八爷,何八爷,1950,1952
8,何八爷,何八爷,2020,2022
8,何八爷,何八爷,2124,2126
9,云普叔全家,云普叔全家,1034,1038
9,云普叔全家,一家,1991,1992
9,云普叔全家,云普叔一家,2160,2164
10,他们,他们,1679,1680
11,垄上的饥民,垄上的饥民,1877,1881
11,垄上的饥民,垄上的人,2046,2049
11,垄上的饥民,垄上的饥民,2108,2112
11,垄上的饥民,饥民,2129,2130
11,垄上的饥民,垄上的人,2215,2218
11,垄上的饥民,满垄上的人,2334,2338
12,县太爷,县太爷,2132,2134
