Cluster Idx,canonical,string,start_idx,end_idx
0,周斌,周太史,3,5
0,周斌,一位告退的官宦,97,103
0,周斌,此人,105,106
0,周斌,周,108,108
0,周斌,斌,111,111
0,周斌,艺全,114,115
0,周斌,周太史,208,210
0,周斌,周公,290,291
0,周斌,周公,321,322
0,周斌,我,343,343
0,周斌,我,381,381
0,周斌,我,400,400
0,周斌,父,438,438
0,周斌,先人,1934,1935
1,夫人,夫人,122,123
2,周信,一子,131,132
2,周信,信,136,136
2,周信,鸿年,139,140
2,周信,公子,205,206
2,周信,公子,297,298
2,周信,公子,337,338
2,周信,你,386,386
2,周信,公子,435,436
2,周信,公子,462,463
2,周信,公子,481,482
2,周信,公子,507,508
2,周信,公子,535,536
2,周信,公子,588,589
2,周信,一个年少的,1291,1295
2,周信,马上书生,1327,1330
2,周信,马上的郎君,1409,1413
2,周信,公子,1846,1847
2,周信,公子,1911,1912
2,周信,公子,2003,2004
2,周信,公子,2025,2026
2,周信,这公子,2042,2044
2,周信,公子,2154,2155
2,周信,周信,2293,2294
2,周信,周公子,2320,2323
2,周信,周信,2344,2345
2,周信,他,2368,2368
2,周信,公子,2530,2531
2,周信,公子,2572,2573
2,周信,周公子,2624,2626
2,周信,周公子,2886,2888
2,周信,周信,2930,2931
3,李忠,一仆,161,162
3,李忠,李,165,165
3,李忠,忠,167,167
3,李忠,他,170,170
3,李忠,老苍头,178,180
3,李忠,苍头,447,448
3,李忠,苍头,512,513
3,李忠,老苍头,526,528
3,李忠,老苍头,593,595
3,李忠,一老,1301,1302
3,李忠,一个老,1671,1673
3,李忠,老年人,1679,1681
3,李忠,他,1726,1726
3,李忠,老苍头,1896,1898
3,李忠,苍头,1966,1967
4,李延寿,一子,186,187
4,李延寿,延寿,191,192
4,李延寿,延寿,597,598
4,李延寿,一少,1303,1304
4,李延寿,一个少,1675,1677
4,李延寿,小儿童,1738,1740
4,李延寿,他,1767,1767
5,主僕三人,主僕三人,641,644
5,主僕三人,主僕三人,1286,1289
5,主僕三人,主僕三人,1365,1368
5,主僕三人,那主僕三人,1392,1396
5,主僕三人,主僕三人,1784,1787
5,主僕三人,周公子主僕三人,1807,1813
5,主僕三人,主僕三人,1862,1865
5,主僕三人,主僕,2132,2133
6,群狐,许多妖狐,750,753
6,群狐,群妖,769,770
6,群狐,群狐,1024,1025
6,群狐,群狐,1170,1171
7,九尾玄狐,九尾玄狐,764,767
7,九尾玄狐,他,772,772
7,九尾玄狐,玉面仙姑,774,777
7,九尾玄狐,这嵯岈洞九尾玄狐,843,850
7,九尾玄狐,玉面,893,894
7,九尾玄狐,这玉面仙姑,898,902
7,九尾玄狐,他,961,961
7,九尾玄狐,他,1070,1070
7,九尾玄狐,同类者,1077,1079
7,九尾玄狐,我,1092,1092
7,九尾玄狐,这九尾狐,1103,1106
7,九尾玄狐,他,1114,1114
7,九尾玄狐,他,1129,1129
7,九尾玄狐,他,1140,1140
7,九尾玄狐,他,1205,1205
7,九尾玄狐,玉狐,1315,1316
7,九尾玄狐,他,1355,1355
7,九尾玄狐,狐精,1384,1385
7,九尾玄狐,九尾玄狐,1795,1798
7,九尾玄狐,玉面狐,2021,2023
7,九尾玄狐,这妖狐,2119,2121
7,九尾玄狐,自己,2164,2165
7,九尾玄狐,我,2170,2170
7,九尾玄狐,妖狐,2245,2246
7,九尾玄狐,他,2298,2298
7,九尾玄狐,妖狐,2325,2326
7,九尾玄狐,他,2878,2878
7,九尾玄狐,妖狐,2891,2892
7,九尾玄狐,玉面狐,2933,2935
8,两个最好的乾姐妹,两个最好的乾姐妹,963,970
9,一个,一个,981,982
10,一个,一个,987,988
11,他们三人,他们三人,993,996
12,后面僕人,后面僕人,1401,1404
12,后面僕人,二僕人,1663,1665
13,园丁,这些守墓的园丁,1828,1834
13,园丁,园丁,1969,1970
13,园丁,园丁,2135,2136
14,众人,众人,2000,2001
15,家眷,家眷,238,239
