category,traditional,simplified,notes
academia,老師,老师,
academia,校長,校长,
academia,教授,教授,
academia,先生,先生,
academia,學長,学长,
academia,博士,博士,
corporations,老闆,老板,
corporations,總,总,
corporations,董,董,
corporations,經理,经理,
corporations,主任,主任,
corporations,總監,总监,
corporations,總裁,总裁,
corporations,代表,代表,
corporations,主管,主管,
corporations,代理,代理,
corporations,助理,助理,
familial,爺,爷,
familial,奶,奶,
familial,爺爺,爷爷,
familial,奶奶,奶奶,
familial,姨婆,姨婆,
familial,姨太,姨太,
familial,公,公,
familial,婆,婆,
familial,公公,公公,
familial,婆婆,婆婆,
familial,舅公,舅公,
familial,舅爺,舅爷,
familial,舅伯,舅伯,
familial,舅婆,舅婆,
familial,父,父,
familial,母,母,
familial,爹,爹,
familial,爸爸,爸爸,
familial,媽媽,妈妈,
familial,爸,爸,
familial,媽,妈,
familial,娘,娘,
familial,爹爹,爹爹,
familial,娘娘,娘娘,
familial,孃,孃,
familial,嬢嬢,嬢嬢,
familial,叔,叔,
familial,嬸,婶,
familial,伯,伯,
familial,伯伯,伯伯,
familial,伯父,伯父,
familial,伯母,伯母,
familial,叔叔,叔叔,
familial,叔父,叔父,
familial,嬸嬸,婶婶,
familial,舅,舅,
familial,舅舅,舅舅,
familial,舅媽,舅妈,
familial,舅父,舅父,
familial,舅母,舅母,
familial,姑,姑,
familial,姑姑,姑姑,
familial,姑父,姑父,
familial,姑母,姑母,
familial,姑媽,姑妈,
familial,姨,姨,
familial,阿姨,阿姨,
familial,姨媽,姨妈,
familial,姨母,姨母,
familial,姨夫,姨夫,
familial,姨父,姨父,
familial,兄,兄,
familial,弟,弟,
familial,哥,哥,
familial,嫂,嫂,
familial,姐,姐,
familial,妹,妹,
familial,弟弟,弟弟,
familial,哥哥,哥哥,
familial,哥兒,哥儿,
familial,嫂嫂,嫂嫂,
familial,姐姐,姐姐,
familial,姐兒,姐儿,
familial,妹妹,妹妹,
familial,妹兒,妹儿,
familial,姐夫,姐夫,
familial,妹夫,妹夫,
familial,弟妹,弟妹,
imperial,公爵,公爵,
imperial,侯爵,侯爵,
imperial,伯爵,伯爵,
imperial,子爵,子爵,
imperial,男爵,男爵,
imperial,公,公,
imperial,侯,侯,
imperial,伯,伯,
imperial,子,子,
imperial,男,男,
imperial,王,王,
imperial,尚書,尚书,
imperial,侍郎,侍郎,
imperial,丞相,丞相,
imperial,太師,太师,
imperial,太傅,太傅,
imperial,太保,太保,
imperial,少師,少师,
imperial,少傅,少傅,
imperial,少保,少保,
imperial,尚書,尚书,
imperial,侍郎,侍郎,
imperial,學士,学士,
imperial,上卿,上卿,
imperial,卿,卿,
imperial,大將軍,大将军,
imperial,將軍,将军,
imperial,參政,参政,
imperial,御史,御史,
imperial,樞密使,枢密使,
imperial,左徒,左徒,
imperial,太尉,太尉,
imperial,上大夫,上大夫,
imperial,大夫,大夫,
imperial,士大夫,士大夫,
imperial,太史,太史,
imperial,長史,长史,
imperial,侍中,侍中,
imperial,郎中,郎中,
imperial,參軍,参军,
imperial,令尹,令尹,
imperial,巡撫,巡抚,
imperial,校尉,校尉,
imperial,知府,知府,
imperial,縣令,县令,
imperial,知縣,知县,
imperial,裡正,里正,
imperial,裡胥,里胥,
imperial,都尉,都尉,
imperial,冏卿,冏卿,
imperial,司馬,司马,
imperial,節度使,节度使,
imperial,經略使,经略使,
imperial,刺史,刺史,
imperial,教頭,教头,
imperial,提轄,提辖,
imperial,從事,从事,
imperial,大人,大人,
martial arts,師父,师父,
martial arts,师傅,师傅,
martial arts,師公,师公,
martial arts,師母,师母,
martial arts,宗師,宗师,
martial arts,宗師,师姐,
martial arts,宗師,师妹,
martial arts,宗師,师兄,
martial arts,宗師,师弟,
medicine,醫生,医生,
medicine,醫師,医师,
medicine,老君,老君,
medicine,大夫,大夫,
medicine,先生,先生,
men,先生,先生,
men,公,公,
men,君,君,
men,子,子,
men,官人,官人,
men,大官人,大官人,
men,大相公,大相公,
men,相公,相公,
men,少爺,少爷,
men,大少爺,大少爷,
men,小少爺,小少爷,
politics & administration,總書記,总书记,
politics & administration,書記,书记,
politics & administration,主席,主席,
politics & administration,委員,委员,
politics & administration,同志,同志,
politics & administration,市長,市长,
politics & administration,副市長,副市长,
politics & administration,局長,局长,
politics & administration,副局長,副局长,
politics & administration,處長,处长,
politics & administration,副處長,副处长,
politics & administration,科長,科长,
politics & administration,副科長,副科长,
politics & administration,科長,科长,
politics & administration,部長,部长,
politics & administration,副部長,副部长,
women,婆,婆,
women,小姐,小姐,
women,太太,太太,
women,女士,女士,
women,夫人,夫人,
women,娘子,娘子,
women,大娘子,大娘子,
women,小娘子,小娘子,
women,丫頭,丫头,
women,小丫頭,小丫头,
misc,氏,氏,
