Cluster Idx,canonical,string,start_idx,end_idx,
0,周太史,周太史,3,5,5
0,周太史,一位告退的官宦,97,103,103
0,周太史,此人,105,106,106
0,周太史,周,108,108,108
0,周太史,斌,111,111,111
0,周太史,藝全,114,115,115
0,周太史,周太史,208,210,210
0,周太史,周公,290,291,291
0,周太史,周公,321,322,322
0,周太史,我,343,343,343
0,周太史,我,381,381,381
0,周太史,我,389,389,389
0,周太史,我,400,400,400
0,周太史,父,438,438,438
0,周太史,父,465,465,465
0,周太史,先人,1934,1935,1935
1,周公子,賢公子,11,13,13
1,周公子,一子,131,132,132
1,周公子,信,136,136,136
1,周公子,鴻年,139,140,140
1,周公子,公子,205,206,206
1,周公子,公子,297,298,298
1,周公子,公子,337,338,338
1,周公子,你,386,386,386
1,周公子,公子,435,436,436
1,周公子,公子,462,463,463
1,周公子,公子,481,482,482
1,周公子,公子,507,508,508
1,周公子,公子,535,536,536
1,周公子,公子,588,589,589
1,周公子,一個年少的,1291,1295,1295
1,周公子,書生,1329,1330,1330
1,周公子,他,1364,1364,1364
1,周公子,馬上的郎君,1409,1413,1413
1,周公子,周公子,1807,1809,1809
1,周公子,公子,1846,1847,1847
1,周公子,公子,1911,1912,1912
1,周公子,公子,2002,2003,2003
1,周公子,公子,2025,2026,2026
1,周公子,這公子,2042,2044,2044
1,周公子,公子,2154,2155,2155
1,周公子,周信,2293,2294,2294
1,周公子,這周公子,2320,2323,2323
1,周公子,周信,2344,2345,2345
1,周公子,他,2368,2368,2368
1,周公子,公子,2530,2531,2531
1,周公子,公子,2572,2573,2573
1,周公子,周公子,2624,2626,2626
1,周公子,周公子,2886,2888,2888
1,周公子,周信,2930,2931,2931
2,玉面狐,妖狐,17,18,18
2,玉面狐,九尾玄狐,764,767,767
2,玉面狐,他,772,772,772
2,玉面狐,玉面仙姑,774,777,777
2,玉面狐,這嵯岈洞九尾玄狐,843,850,850
2,玉面狐,這玉面仙姑,898,902,902
2,玉面狐,他,961,961,961
2,玉面狐,玉面狐,1061,1063,1063
2,玉面狐,他,1070,1070,1070
2,玉面狐,這九尾狐,1103,1106,1106
2,玉面狐,他,1114,1114,1114
2,玉面狐,他,1129,1129,1129
2,玉面狐,他,1140,1140,1140
2,玉面狐,他,1198,1198,1198
2,玉面狐,玉狐,1315,1316,1316
2,玉面狐,他,1355,1355,1355
2,玉面狐,狐精,1384,1385,1385
2,玉面狐,九尾玄狐,1795,1798,1798
2,玉面狐,玉面狐,2021,2023,2023
2,玉面狐,這妖狐,2119,2121,2121
2,玉面狐,我,2170,2170,2170
2,玉面狐,妖狐,2245,2246,2246
2,玉面狐,他,2298,2298,2298
2,玉面狐,妖狐,2245,2246,2246
2,玉面狐,絕色女子,2567,2570,2570
2,玉面狐,麗麗娉婷女嬌娥,2636,2642,2642
2,玉面狐,他,2878,2878,2878
2,玉面狐,妖狐,2891,2892,2892
2,玉面狐,玉面狐,2933,2935,2935
3,夫人,夫人,122,123,123
4,老蒼頭,一僕,161,162,162
4,老蒼頭,李,165,165,165
4,老蒼頭,忠,167,167,167
4,老蒼頭,他,170,170,170
4,老蒼頭,老蒼頭,178,180,180
4,老蒼頭,蒼頭,446,447,447
4,老蒼頭,蒼頭,512,513,513
4,老蒼頭,老蒼頭,526,528,528
4,老蒼頭,老蒼頭,593,595,595
4,老蒼頭,一老,1301,1302,1302
4,老蒼頭,一個老,1671,1673,1673
4,老蒼頭,老年人,1679,1681,1681
4,老蒼頭,他,1726,1726,1726
4,老蒼頭,老蒼頭,1896,1898,1898
4,老蒼頭,蒼頭,1966,1967,1967
5,延壽,一子,131,132,132
5,延壽,延壽,191,192,192
5,延壽,一少,1303,1304,1304
5,延壽,一個少,1675,1677,1677
5,延壽,小兒童,1738,1740,1740
6,家眷,家眷,238,239,239
7,主僕三人,主僕三人,641,644,644
7,主僕三人,主僕三人,1286,1289,1289
7,主僕三人,主僕三人,1365,1368,1368
7,主僕三人,那主僕三人,1392,1396,1396
7,主僕三人,主僕三人,1784,1787,1787
7,主僕三人,主僕三人,1810,1813,1813
7,主僕三人,主僕三人,1862,1865,1865
7,主僕三人,主僕,2132,2133,2133
8,群狐,許多妖狐,750,753,753
8,群狐,群妖,769,770,770
8,群狐,群狐,1024,1025,1025
8,群狐,同類者,1077,1079,1079
8,群狐,群狐,1116,1117,1117
8,群狐,群狐,1170,1171,1171
9,那有名的妖魔精怪,那有名的妖魔精怪,917,924,924
10,兩個最好的乾姐妹,兩個最好的乾姐妹,963,970,970
11,他們三人,他們三人,993,996,996
12,僕人,僕人,1403,1404,1404
12,僕人,二僕人,1663,1665,1665
13,園丁,這些守墓的園丁,1828,1834,1834
13,園丁,園丁,1969,1970,1970
13,園丁,園丁,2135,2136,2136
14,眾人,眾人,2000,2001,2001
