Book,Sentence
阿Q,《_w/中國_ns/革命_n/記_n/》_w/第三_m/冊_q/（_w/一九一一年_t/上海_ns/自由社_nt/編印_v/）_w/記載_v/﹕_w/辛亥_t/九月_t/十四日_t/杭州府_ns/為_v/民軍_n/佔領_v/﹐_w/紹興府_ns/即日_t/宣佈_v/光復_vn
,他_r/剛剛_t/一_m/蹌踉_v/﹐_w/那_r/用_v/整_Bg/株_q/的_u/木料_n/做成_v/的_u/柵欄_n/門_n/便_d/跟_v/著_u/他_r/的_u/腳跟_n/闔_v/上_f/了_u/﹐_w/其餘_n/的_u/三_m/面_q/都_d/是_v/牆壁_n/﹐_w/仔細_d/看_v/時_t/﹐_w/屋角_n/上_f/還_d/有_v/兩_m/個_q/人_n
,說_v/是_v/〈_w/外傳_nz/〉_w/﹐_w/〈_w/內傳_nz/〉_w/在_p/那裡_r/呢_y/﹖_w/倘_c/用_v/〈_w/內傳_nz/〉_w/﹐_w/阿Ｑ_nr/又_y/決_d/不_d/是_nv/神仙_n
,而_c/阿Ｑ_nr/自己_r/也_d/不_d/說_v/﹐_w/獨_d/有_v/和_p/別人_r/口角_v/的_u/時候_t/﹐_w/間或_d/瞪_v/著_u/眼睛_n/道_v/﹕_w/“_w/我們_r/先前_t/──_w/比_p/你_r/闊_a/的_u/多_d/啦_y
,殊_d/不料_v/這_r/卻_d/使_v/百里聞名_i/的_u/舉人_n/老爺_n/有_v/這樣_r/怕_a/﹐_w/於是_c/他_r/未免_d/也_y/有些_d/〈_w/神往_v/〉_w/了_u/﹐_w/況且_c/未莊_a/的_u/一_m/群_q/鳥男女_n/的_u/慌張_a/的_u/神情_n/﹐_w/也_d/使_v/阿Ｑ_nr/更_d/快意_a
朝花夕拾,其中_r/自然_d/也_d/有_v/可以_v/勉力_vd/仿效_v/的_u/，_w/如_p/“_w/子路_nr/負_v/米_n/”_w/，_w/“_w/黃香_nr/扇_v/枕_n/”_w/之類_l
,但是_c/，_w/“_w/活_a/無常_nz/學者_n/”_w/，_w/名稱_n/不_d/大_d/冠冕_an/，_w/我_r/不_d/想_v/幹_v/下去_f/了_u/，_w/只_d/在_p/這裏_r/下_v/一_m/個_q/武斷_n/：_w/－－_w
,所以_c/，_w/一_m/個_q/是_v/漂亮_a/的_u/女人_n/，_w/只_d/是_v/很_d/有些_d/村婦_n/樣_k/，_w/大家_r/都_d/稱_v/她_r/無常嫂_nr/；_w/這樣_r/看來_v/，_w/無常_nz/是_v/和_p/我們_r/平輩_a/的_u/，_w/無怪_c/他_r/不_d/擺_v/教授_n/先生_n/的_u/架子_n
,譬如_c/城隍廟_nt/或_c/東嶽廟_nt/中_f/，_w/大殿_n/後面_f/就_d/有_v/一_m/間_q/暗室_n/，_w/叫_v/作_p/“_w/陰司間_nz/”_w/，_w/在_p/才可_d/辨_v/色_n/的_u/昏暗_an/中_f/，_w/塑_v/著_u/各種_r/鬼_n/：_w/吊_vd/死_v/鬼_n/、_w/跌_vd/死_v/鬼_n/、_w/虎_n/傷_v/鬼_n/、_w/科場_n/鬼_n/，_w/……_w/而_c/一_m/進_v/門口_s/所_u/看見_v/的_u/長_a/而_c/白_a/的_u/東西_n/就_d/是_v/他_r
,但是_c/哭_v/不_d/出_v/筍_n/來_u/，_w/還_c/不過_d/拋臉_v/而已_y/，_w/到_p/“_w/臥冰求鯉_i/”_w/，_w/可_d/就_d/有_v/性命_n/之_u/虞_n/了_u
狂人日记,_m/古久先生_nr/的_u/陳年_an/流水_n/簿子_n/：_w/這裡_r/比喻_v/我_r/國_Ng/封建_an/主義_n/統治_vn/的_u/長久_a/歷史_n
,他們_r/可_d/是_v/父子_n/兄弟_n/夫婦_n/朋友_n/師生_n/仇敵_n/和_c/各不相識_l/的_u/人_n/，_w/都_d/結_v/成_vd/一_m/伙_q/，_w/互相_d/勸勉_v/，_w/互相_d/牽掣_v/，_w/死_v/也_d/不肯_v/跨_v/過_p/這_r/一_m/步_q
,有_v/了_u/四千_m/年_t/吃_v/人_n/履歷_n/的_u/我_r/，_w/當初_t/雖然_c/不_d/知道_v/，_w/現在_t/明白_v/，_w/難_d/見_v/真_a/的_u/人_n
,他們_r/這_r/群_q/人_n/，_w/又_d/想_v/吃_v/人_r/，_w/又_d/是_v/鬼鬼祟祟_i/，_w/想_v/法子_n/遮掩_v/，_w/不_d/敢_v/直截_d/下手_v/，_w/真_d/要_v/令_v/我_r/笑_v/死_d
,他們_r/——_w/也_d/有_v/給_v/知縣_n/打枷_v/過_u/的_u/，_w/也_d/有_v/給_v/紳士_n/掌_v/過_u/嘴_n/的_u/，_w/也_d/有_v/衙役_n/佔_v/了_u/他_r/妻子_n/的_u/，_w/也_d/有_v/老子娘_n/被_u/債主_n/逼_v/死_v/的_u/；_w/他們_r/那_r/時候_t/的_u/臉色_n/，_w/全_d/沒有_d/昨天_t/這麼_d/怕_a/，_w/也_d/沒有_d/這麼_d/凶_a
灵历集光,在_p/研究_v/以赛亚_nr/三十三_m/、_w/三十四_m/章_q/时_t/，_w/深_d/信_v/一切_r/差会_n/在_p/华_j/的_u/机构_n/都_d/有一天_t/要_v/消没_v/，_w/在_p/大_a/磨难_n/时_t/，_w/有_v/许多_a/人_n/因_c/惧怕_v/冷淡_n/、_w/跌倒_vn/，_w/不敢_v/承认_v/主_n/，_w/经过_p/大_a/磨难_n/后_k/，_w/人心_n/方_d/饥渴_vn/慕_v/义_n
,金笔_nr/告诉_v/我_r/，_w/金地_nr/夫妇_n/因为_c/孩子_n/不_d/肯_v/穿_v/衣_n/便_c/大_d/打_v/孩子_n/，_w/成为_v/全_a/乡_n/笑料_n
