,sent_idx,tok,m_tag,k_tag
0,1,為,v,p
1,2,他,r,p
2,2,整,Bg,b
3,2,他,r,n
4,2,上,f,v
5,2,其餘,n,p
6,2,上,f,p
7,3,外傳,nz,n
8,3,內傳,nz,n
9,3,在,p,v
10,3,那裡,r,n
11,3,內傳,nz,n
12,3,又,y,d
13,3,是,nv,v
14,4,獨,d,c
15,4,有,v,c
16,4,我們,r,p
17,5,這樣,r,p
18,5,他,r,p
19,5,也,y,d
20,5,有些,d,v
21,5,神往,v,a
22,5,未莊,a,ns
23,6,其中,r,p
24,6,之類,l,n
25,7,無常,nz,n
26,7,冠冕,an,a
27,7,在,p,v
28,8,有些,d,v
29,8,樣,k,n
30,8,大家,r,n
31,8,無常,nz,nr
32,8,無怪,c,d
33,9,譬如,c,v
34,9,作,p,vd
35,9,陰司間,nz,nt
36,9,在,p,v
37,9,昏暗,an,n
38,9,門口,s,n
39,10,來,u,vd
40,10,還,c,d
41,10,而已,y,u
42,10,到,p,c
43,10,可,d,c
44,10,虞,n,vn
45,11,陳年,an,t
46,11,國,Ng,n
47,11,統治,vn,n
48,12,各不相識,l,i
49,12,過,p,f
50,13,當初,t,n
51,13,現在,t,n
52,14,人,r,n
53,14,是,v,w
54,14,遮掩,v,w
55,14,死,d,vd
56,15,給,v,p
57,15,給,v,p
58,15,老子娘,n,r
59,15,死,v,vd
60,15,這麼,d,r
61,15,這麼,d,r
62,16,以赛亚,nr,nz
63,16,深,d,a
64,16,在,p,v
65,16,华,j,ns
66,16,的,u,w
67,16,有一天,t,d
68,16,许多,a,m
69,16,冷淡,n,an
70,16,经过,p,v
71,16,后,k,f
72,17,因为,c,p
73,17,便,c,d
74,18,最初,d,n
75,18,荣耀,an,n
76,18,就,c,d
77,18,将,v,p
78,18,荣耀,an,n
79,18,反,v,d
80,18,自己,p,r
81,19,病,vn,v
82,19,同,a,b
83,19,在,p,v
84,19,将近,d,vd
85,20,后,p,n
86,20,山东,ns,n
87,20,要,v,c
88,20,北方,s,n
89,20,非常,d,a
90,20,等,k,n
91,20,领会,n,ns
92,20,邀请,vn,n
93,21,使勁,v,d
94,21,完,d,v
95,22,沒有,d,v
96,22,做,p,v
97,22,什麼,r,n
98,22,不,d,v
99,22,成,vd,v
100,23,最初,d,n
101,23,隨後,d,n
102,24,只有,d,v
103,24,出來,vd,f
104,24,唯一,a,b
105,24,是,v,u
106,24,個把,q,m
107,24,回去,f,v
108,25,當,c,p
109,25,一層層,m,d
110,25,時候,t,n
111,25,，,w,u
112,25,把,p,v
113,25,整個,m,a
114,26,說,vd,v
115,26,紅,a,n
116,26,有,a,v
117,27,們,k,s
118,27,將,v,p
119,27,園門,s,n
120,27,去,v,f
121,27,有人,r,n
122,27,去,v,f
123,28,笑,vd,v
124,28,老太太,nr,n
125,29,時侯,t,n
126,29,新,z,a
127,29,不,d,vd
128,29,一留,v,n
129,30,走,vd,v
130,30,來,v,f
131,30,至,p,f
132,30,里間,s,n
133,31,怒,a,v
134,31,，,u,w
135,31,被,u,p
136,31,教,v,w
137,32,差,vn,v
138,33,日,t,q
139,33,至,p,v
140,33,日,t,q
141,33,前後,d,n
142,33,以,v,p
143,33,咳嗽,n,vn
144,33,為,p,v
145,33,號,n,b
146,33,在,p,v
147,33,門,s,n
148,33,叫,vd,v
149,33,怎的,y,r
150,33,連日,d,t
151,34,過來,vd,f
152,34,老人家,nd,n
153,34,小的,n,r
154,34,使不的,a,vn
155,35,喜,a,
156,35,得,v,d
157,36,將,v,p
158,36,大小,z,b
159,36,出,f,vd
160,37,行者,n,nr
161,37,過,f,vd
162,37,來,u,v
163,37,來,u,vd
164,37,血淋淋,a,z
165,37,在,f,p
166,37,鐵棒,n,w
167,37,被,u,p
168,37,將,v,n
169,37,也,y,u
170,38,將,v,p
171,38,道,n,d
172,38,細,d,ad
173,38,同道,a,n
174,38,之,y,u
175,39,猴王,n,nr
176,39,將,v,p
177,39,縱,v,vn
178,39,觔斗,n,v
179,39,真,d,ad
180,39,十分,d,a
181,40,有,v,p
182,40,東土大唐,l,ns
183,40,遠,ad,d
184,40,取經,v,vn
185,40,現在,t,n
186,40,手到病除,i,l
187,40,功,v,n
188,41,言,n,v
189,41,畢,v,d
190,41,與,v,p
191,41,朝,p,v
192,41,無,d,v
193,41,考究,a,n
194,42,見,v,w
195,42,親切,d,ad
196,42,答,vd,v
197,43,苦,d,ad
198,43,善,an,ad
199,43,惡,an,ad
200,44,妥,ad,d
201,44,頃刻,t,n
202,44,復,d,v
203,44,成,v,p
204,44,那等,d,r
205,44,真,ad,n
206,44,整,Bg,b
207,44,游,Bg,v
208,45,已,d,n
209,45,被,u,p
210,45,莫說,v,c
211,45,無,d,m
212,45,即,d,v
213,45,此,s,r
214,45,有人,r,n
215,45,美貌,a,n
216,45,多情,a,an
217,46,方方,a,
218,46,來,d,n
219,46,大,an,a
220,46,桌,Ng,n
221,46,椅,Ng,n
222,47,一日,t,m
223,47,清早,t,n
224,47,蒼然,z,a
225,48,和,c,p
226,48,全,d,ad
227,48,不必,v,d
228,48,替,v,p
229,48,得了,y,u
230,49,況且,c,v
231,49,上回,t,n
232,50,在,f,p
