,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
1,《,中,國,革,命,記,》,第,三,冊,（,一,九,一,一,年,上,海,自,由,社,編,印,）,記,載,﹕,辛,亥,九,月,十,四,日,杭,州,府,為,民,軍,佔,領,﹐,紹,興,府,即,日,宣,佈,光,復,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,他,剛,剛,一,蹌,踉,﹐,那,用,整,株,的,木,料,做,成,的,柵,欄,門,便,跟,¨,他,的,腳,跟,闔,上,了,﹐,其,餘,的,三,面,都,是,牆,壁,﹐,仔,細,看,時,﹐,屋,角,上,還,有,兩,個,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,說,是,〈,外,傳,〉,﹐,〈,內,傳,〉,在,那,裡,呢,﹖,倘,用,〈,內,傳,〉,﹐,阿,Ｑ,又,決,不,是,神,仙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,而,阿,Ｑ,自,己,也,不,說,﹐,獨,有,和,別,人,口,角,的,時,候,﹐,間,或,瞪,著,眼,睛,道,﹕,“,我,們,先,前,─,─,比,你,闊,的,多,啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,殊,不,料,這,卻,使,百,里,聞,名,的,舉,人,老,爺,有,這,樣,怕,﹐,於,是,他,未,免,也,有,些,〈,神,往,〉,了,﹐,況,且,未,莊,的,一,群,鳥,男,女,的,慌,張,的,神,情,﹐,也,使,阿,Ｑ,更,快,意,,,,,,,,,,,,,,,,,,,,,,,,
6,其,中,自,然,也,有,可,以,勉,力,仿,效,的,，,如,“,子,路,負,米,”,，,“,黃,香,扇,枕,”,之,類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,但,是,，,“,活,無,常,學,者,”,，,名,稱,不,大,冠,冕,，,我,不,想,幹,下,去,了,，,只,在,這,裏,下,一,個,武,斷,：,－,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,所,以,，,一,個,是,漂,亮,的,女,人,，,只,是,很,有,些,村,婦,樣,，,大,家,都,稱,她,無,常,嫂,；,這,樣,看,來,，,無,常,是,和,我,們,平,輩,的,，,無,怪,他,不,擺,教,授,先,生,的,架,子,,,,,,,,,,,,,,,,,,,,,,,,,
9,譬,如,城,隍,廟,或,東,嶽,廟,中,，,大,殿,後,面,就,有,一,間,暗,室,，,叫,作,“,陰,司,間,”,，,在,才,可,辨,色,的,昏,暗,中,，,塑,著,各,種,鬼,：,吊,死,鬼,、,跌,死,鬼,、,虎,傷,鬼,、,科,場,鬼,，,…,…,而,一,進,門,口,所,看,見,的,長,而,白,的,東,西,就,是,他
10,但,是,哭,不,出,筍,來,，,還,不,過,拋,臉,而,已,，,到,“,臥,冰,求,鯉,”,，,可,就,有,性,命,之,虞,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,古,久,先,生,的,陳,年,流,水,簿,子,：,這,裡,比,喻,我,國,封,建,主,義,統,治,的,長,久,歷,史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,他,們,可,是,父,子,兄,弟,夫,婦,朋,友,師,生,仇,敵,和,各,不,相,識,的,人,，,都,結,成,一,伙,，,互,相,勸,勉,，,互,相,牽,掣,，,死,也,不,肯,跨,過,這,一,步,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,有,了,四,千,年,吃,人,履,歷,的,我,，,當,初,雖,然,不,知,道,，,現,在,明,白,，,難,見,真,的,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,他,們,這,群,人,，,又,想,吃,人,，,又,是,鬼,鬼,祟,祟,，,想,法,子,遮,掩,，,不,敢,直,截,下,手,，,真,要,令,我,笑,死,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,他,們,—,—,也,有,給,知,縣,打,枷,過,的,，,也,有,給,紳,士,掌,過,嘴,的,，,也,有,衙,役,佔,了,他,妻,子,的,，,也,有,老,子,娘,被,債,主,逼,死,的,；,他,們,那,時,候,的,臉,色,，,全,沒,有,昨,天,這,麼,怕,，,也,沒,有,這,麼,凶,,,,,,,,,,,
16,在,研,究,以,赛,亚,三,十,三,、,三,十,四,章,时,，,深,信,一,切,差,会,在,华,的,机,构,都,有,一,天,要,消,没,，,在,大,磨,难,时,，,有,许,多,人,因,惧,怕,冷,淡,、,跌,倒,，,不,敢,承,认,主,，,经,过,大,磨,难,后,，,人,心,方,饥,渴,慕,义,,,,,,,,
17,金,笔,告,诉,我,，,金,地,夫,妇,因,为,孩,子,不,肯,穿,衣,便,大,打,孩,子,，,成,为,全,乡,笑,料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,最,初,打,几,条,鱼,时,，,尚,知,归,荣,耀,于,神,，,打,鱼,打,多,了,，,就,喧,宾,夺,主,，,不,将,荣,耀,归,于,神,，,反,自,夸,自,己,是,老,手,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
